ダウンロードした時刻：2019/10/10 15:38:38

,酒田,酒田,酒田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2002/12/1,5.0,11.3,0.8
2002/12/2,4.7,10.8,-0.2
2002/12/3,5.3,11.0,0.8
2002/12/4,6.6,8.8,3.2
2002/12/5,9.3,13.6,5.7
2002/12/6,5.0,6.2,3.4
2002/12/7,4.6,8.1,1.2
2002/12/8,0.9,4.3,-1.3
2002/12/9,0.9,3.3,-0.8
2002/12/10,-0.1,2.9,-2.7
2002/12/11,0.8,2.5,-1.3
2002/12/12,0.8,2.8,-1.4
2002/12/13,1.1,2.8,-2.1
2002/12/14,2.5,5.5,-0.4
2002/12/15,7.7,11.8,2.7
2002/12/16,6.8,11.9,3.1
2002/12/17,7.0,12.1,4.7
2002/12/18,6.0,9.7,1.7
2002/12/19,4.9,7.1,2.9
2002/12/20,3.8,5.0,1.8
2002/12/21,3.1,5.0,-0.3
2002/12/22,2.1,5.2,-0.8
2002/12/23,3.8,6.7,1.0
2002/12/24,3.6,7.4,0.6
2002/12/25,2.3,5.1,-0.3
2002/12/26,-0.1,1.6,-2.1
2002/12/27,-2.3,0.3,-5.0
2002/12/28,2.4,4.4,0.2
2002/12/29,0.7,3.8,-1.7
2002/12/30,1.5,4.1,-1.8
2002/12/31,0.1,2.4,-2.2
2003/1/1,-0.7,2.0,-3.0
2003/1/2,-1.5,0.1,-3.8
2003/1/3,-0.1,3.5,-5.4
2003/1/4,2.1,5.0,-0.7
2003/1/5,-0.9,0.2,-3.3
2003/1/6,0.2,2.0,-2.8
2003/1/7,1.8,2.9,0.3
2003/1/8,2.4,4.3,1.1
2003/1/9,2.8,5.6,0.1
2003/1/10,4.4,6.8,2.8
2003/1/11,3.2,4.3,1.3
2003/1/12,3.2,5.7,-1.1
2003/1/13,4.6,9.6,-1.3
2003/1/14,4.1,9.1,0.2
2003/1/15,-1.1,1.4,-2.9
2003/1/16,2.7,5.5,-0.9
2003/1/17,4.6,7.2,1.4
2003/1/18,2.3,4.6,0.0
2003/1/19,2.7,5.2,-1.2
2003/1/20,0.4,2.9,-2.1
2003/1/21,-0.3,1.6,-2.7
2003/1/22,0.8,3.2,-2.2
2003/1/23,0.8,2.6,-0.9
2003/1/24,2.1,4.0,-0.7
2003/1/25,2.0,2.8,0.1
2003/1/26,2.2,4.6,-0.1
2003/1/27,4.4,6.2,1.9
2003/1/28,4.7,9.3,1.1
2003/1/29,-1.0,2.8,-3.9
2003/1/30,-1.3,0.8,-3.9
2003/1/31,0.0,1.4,-1.9
2003/2/1,0.0,1.3,-2.3
2003/2/2,0.2,2.8,-2.3
2003/2/3,0.5,2.6,-1.8
2003/2/4,1.0,3.3,-1.2
2003/2/5,-0.8,2.2,-5.0
2003/2/6,1.2,3.9,-1.2
2003/2/7,5.2,8.3,1.1
2003/2/8,6.0,8.7,3.5
2003/2/9,5.9,10.3,3.5
2003/2/10,5.4,8.0,2.5
2003/2/11,3.2,4.8,2.1
2003/2/12,0.0,3.2,-2.2
2003/2/13,-0.2,2.6,-1.6
2003/2/14,2.3,3.7,0.4
2003/2/15,3.3,6.5,0.8
2003/2/16,3.7,7.3,0.4
2003/2/17,4.4,5.9,3.0
2003/2/18,2.9,6.4,-1.2
2003/2/19,2.1,7.1,-3.6
2003/2/20,4.5,8.8,1.5
2003/2/21,3.1,4.8,1.4
2003/2/22,3.1,7.6,-0.8
2003/2/23,2.3,5.6,-1.4
2003/2/24,1.2,5.1,-3.0
2003/2/25,2.4,5.4,0.0
2003/2/26,4.1,6.5,1.0
2003/2/27,1.2,3.6,-0.9
2003/2/28,2.4,6.1,-0.5
2003/3/1,4.1,9.5,-0.6
2003/3/2,5.6,9.1,1.9
2003/3/3,4.2,10.8,0.6
2003/3/4,-0.1,1.6,-2.6
2003/3/5,2.0,4.5,-2.6
2003/3/6,4.3,6.9,2.4
2003/3/7,4.5,5.6,3.5
2003/3/8,3.0,4.0,1.7
2003/3/9,1.9,4.4,0.3
2003/3/10,0.4,2.7,-1.5
2003/3/11,0.5,2.4,-1.5
2003/3/12,1.7,3.9,-0.4
2003/3/13,3.3,5.3,1.6
2003/3/14,5.1,8.1,2.2
2003/3/15,4.1,8.5,1.3
2003/3/16,5.8,9.8,1.3
2003/3/17,4.5,7.7,2.1
2003/3/18,5.2,8.4,3.3
2003/3/19,4.6,9.2,-0.3
2003/3/20,3.7,6.3,0.7
2003/3/21,3.4,7.4,-0.6
2003/3/22,3.7,9.0,-1.0
2003/3/23,3.6,9.1,-2.2
2003/3/24,7.9,14.2,0.1
2003/3/25,9.9,15.4,4.6
2003/3/26,8.3,12.8,4.7
2003/3/27,9.7,15.0,4.6
2003/3/28,6.8,9.9,5.1
2003/3/29,6.6,9.2,5.1
2003/3/30,7.5,11.2,4.5
2003/3/31,8.3,12.0,5.1
