ダウンロードした時刻：2019/10/10 15:37:44

,宮古,宮古,宮古
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/12/1,4.9,8.7,2.9
1986/12/2,2.9,7.6,-1.1
1986/12/3,2.8,8.1,-2.7
1986/12/4,7.1,14.3,1.7
1986/12/5,4.9,8.6,0.0
1986/12/6,3.5,8.5,-1.5
1986/12/7,5.6,12.0,1.2
1986/12/8,4.9,8.4,0.3
1986/12/9,8.4,14.6,1.2
1986/12/10,7.4,14.6,-0.1
1986/12/11,5.2,8.6,0.6
1986/12/12,5.5,11.8,-1.9
1986/12/13,3.0,9.0,-2.5
1986/12/14,3.7,7.4,0.0
1986/12/15,3.1,6.5,-0.3
1986/12/16,2.0,6.1,-1.4
1986/12/17,-0.9,2.2,-3.6
1986/12/18,1.1,6.0,-5.3
1986/12/19,9.9,13.8,2.9
1986/12/20,2.6,7.4,-1.0
1986/12/21,3.5,9.6,-2.8
1986/12/22,-0.7,3.5,-2.9
1986/12/23,3.8,9.5,-1.5
1986/12/24,5.3,10.7,0.1
1986/12/25,4.3,7.9,-1.4
1986/12/26,1.0,7.4,-2.9
1986/12/27,-0.6,2.6,-3.3
1986/12/28,0.2,2.5,-2.6
1986/12/29,0.2,5.7,-2.1
1986/12/30,0.3,5.5,-4.4
1986/12/31,3.8,7.4,-1.5
1987/1/1,-0.5,5.7,-3.8
1987/1/2,-1.8,1.2,-5.8
1987/1/3,2.2,7.7,-2.7
1987/1/4,-1.8,2.6,-4.3
1987/1/5,-2.8,1.2,-7.7
1987/1/6,-0.5,4.8,-3.5
1987/1/7,-0.3,3.4,-4.3
1987/1/8,3.3,10.0,-1.4
1987/1/9,-0.7,2.8,-4.3
1987/1/10,-4.7,-1.9,-7.0
1987/1/11,-1.5,3.9,-6.2
1987/1/12,-1.4,1.3,-3.7
1987/1/13,-0.5,2.5,-5.0
1987/1/14,-2.9,0.6,-6.6
1987/1/15,-0.7,3.8,-4.5
1987/1/16,-0.5,4.6,-6.9
1987/1/17,5.5,10.4,1.0
1987/1/18,-0.1,3.5,-3.5
1987/1/19,-2.8,1.9,-6.6
1987/1/20,-5.4,-0.3,-8.4
1987/1/21,-4.8,2.0,-11.3
1987/1/22,-1.3,4.2,-5.4
1987/1/23,2.1,7.8,-5.8
1987/1/24,3.8,7.7,-1.3
1987/1/25,-2.5,2.3,-5.7
1987/1/26,-2.8,0.7,-7.7
1987/1/27,0.5,4.2,-2.4
1987/1/28,2.3,6.3,-0.2
1987/1/29,4.5,8.8,-2.6
1987/1/30,3.6,8.8,-2.3
1987/1/31,-1.8,3.0,-5.0
1987/2/1,-3.8,1.5,-7.4
1987/2/2,-2.9,2.6,-9.4
1987/2/3,-2.1,-0.3,-3.9
1987/2/4,-0.5,2.8,-3.3
1987/2/5,-0.4,4.6,-5.6
1987/2/6,-1.1,5.7,-7.5
1987/2/7,2.4,8.0,-3.4
1987/2/8,2.7,7.7,-2.9
1987/2/9,2.3,8.3,-2.9
1987/2/10,4.3,8.3,-0.9
1987/2/11,9.4,14.6,2.7
1987/2/12,3.4,7.8,-2.0
1987/2/13,-1.8,2.9,-6.0
1987/2/14,-0.5,4.4,-4.6
1987/2/15,-2.9,0.9,-5.3
1987/2/16,-3.0,0.1,-5.6
1987/2/17,-0.8,4.4,-4.4
1987/2/18,-1.1,3.2,-3.1
1987/2/19,-1.7,1.9,-4.9
1987/2/20,-2.0,3.6,-5.5
1987/2/21,-2.3,4.1,-8.6
1987/2/22,-0.8,5.3,-6.5
1987/2/23,2.4,10.6,-2.1
1987/2/24,6.4,12.3,-0.7
1987/2/25,2.1,8.4,-4.5
1987/2/26,-2.0,1.3,-4.6
1987/2/27,-0.3,3.6,-3.4
1987/2/28,-1.5,2.3,-3.7
1987/3/1,-0.9,3.9,-4.6
1987/3/2,-1.4,5.0,-5.2
1987/3/3,2.9,6.5,-3.9
1987/3/4,6.2,11.2,1.8
1987/3/5,6.5,11.5,1.6
1987/3/6,-1.0,2.6,-4.4
1987/3/7,-0.3,5.3,-4.8
1987/3/8,0.5,6.2,-4.6
1987/3/9,1.4,8.3,-2.3
1987/3/10,0.5,5.8,-2.9
1987/3/11,0.9,4.9,-1.9
1987/3/12,1.6,8.4,-2.2
1987/3/13,4.1,7.8,-3.0
1987/3/14,9.5,16.7,5.8
1987/3/15,2.4,5.9,0.5
1987/3/16,1.3,4.6,-2.0
1987/3/17,3.3,8.6,-2.2
1987/3/18,1.3,3.1,0.0
1987/3/19,3.6,9.2,-1.8
1987/3/20,0.9,2.6,0.1
1987/3/21,2.8,6.8,-0.6
1987/3/22,4.1,9.9,-0.9
1987/3/23,6.2,10.2,3.0
1987/3/24,10.3,16.6,5.6
1987/3/25,6.7,12.4,0.8
1987/3/26,1.4,5.4,-1.0
1987/3/27,3.6,9.3,-1.7
1987/3/28,5.0,11.0,-1.6
1987/3/29,7.7,15.6,-0.7
1987/3/30,7.8,12.8,1.7
1987/3/31,2.7,8.8,-1.3
