ダウンロードした時刻：2019/10/10 15:57:35

,浜松,浜松,浜松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,9.5,14.5,5.2
1981/12/2,4.3,8.0,1.5
1981/12/3,5.4,11.4,1.4
1981/12/4,5.6,12.4,0.5
1981/12/5,8.8,13.7,2.2
1981/12/6,8.7,13.3,4.5
1981/12/7,7.8,12.6,2.2
1981/12/8,7.9,12.6,3.6
1981/12/9,7.4,11.1,4.5
1981/12/10,8.1,12.6,4.9
1981/12/11,8.4,13.4,4.0
1981/12/12,9.1,13.3,5.5
1981/12/13,6.5,9.5,3.3
1981/12/14,3.1,7.1,1.0
1981/12/15,2.5,5.9,0.0
1981/12/16,5.0,10.9,0.9
1981/12/17,5.6,12.9,-0.6
1981/12/18,6.0,12.2,0.7
1981/12/19,8.5,13.6,2.6
1981/12/20,6.9,9.4,5.5
1981/12/21,7.9,12.9,4.2
1981/12/22,7.8,13.2,1.7
1981/12/23,9.3,14.3,4.5
1981/12/24,7.5,11.2,3.8
1981/12/25,6.1,9.7,3.3
1981/12/26,8.4,13.7,4.0
1981/12/27,10.6,16.4,4.4
1981/12/28,10.4,15.9,5.2
1981/12/29,9.9,15.1,6.0
1981/12/30,9.6,14.2,6.2
1981/12/31,7.4,9.0,5.3
1982/1/1,7.3,11.7,4.3
1982/1/2,6.3,10.1,2.6
1982/1/3,7.4,12.5,1.7
1982/1/4,11.1,13.3,7.3
1982/1/5,11.4,15.6,7.1
1982/1/6,6.3,9.4,3.2
1982/1/7,3.8,8.4,0.4
1982/1/8,1.9,6.3,-0.5
1982/1/9,6.0,11.6,-0.8
1982/1/10,7.1,11.6,4.0
1982/1/11,7.2,12.8,2.7
1982/1/12,10.1,16.1,5.9
1982/1/13,6.5,10.0,3.5
1982/1/14,4.4,8.2,1.9
1982/1/15,4.5,8.5,1.8
1982/1/16,4.3,8.3,1.2
1982/1/17,3.2,8.8,-0.5
1982/1/18,2.7,6.1,-1.9
1982/1/19,2.6,5.2,0.5
1982/1/20,2.2,6.4,-0.7
1982/1/21,4.8,8.8,-0.4
1982/1/22,8.1,12.4,4.3
1982/1/23,6.9,12.2,3.0
1982/1/24,5.0,9.2,0.8
1982/1/25,6.3,9.6,3.5
1982/1/26,5.8,11.0,2.0
1982/1/27,5.3,10.5,0.8
1982/1/28,3.7,8.3,0.2
1982/1/29,0.0,4.5,-2.1
1982/1/30,0.9,5.6,-2.7
1982/1/31,3.2,7.5,-1.8
1982/2/1,4.4,9.3,1.6
1982/2/2,2.9,7.7,0.3
1982/2/3,4.1,7.7,-0.3
1982/2/4,5.1,8.0,2.3
1982/2/5,3.4,8.0,0.0
1982/2/6,3.4,8.9,-1.5
1982/2/7,1.6,5.4,-0.8
1982/2/8,2.2,7.1,-1.4
1982/2/9,3.5,7.8,-1.0
1982/2/10,4.1,8.0,1.3
1982/2/11,5.2,10.3,0.4
1982/2/12,6.1,10.2,2.2
1982/2/13,5.6,12.0,0.8
1982/2/14,4.9,10.1,1.0
1982/2/15,4.2,9.1,0.5
1982/2/16,6.3,11.4,-0.6
1982/2/17,4.8,6.4,3.1
1982/2/18,7.2,13.5,1.6
1982/2/19,9.4,14.0,4.7
1982/2/20,13.7,19.1,9.3
1982/2/21,9.4,13.4,6.3
1982/2/22,7.9,11.9,5.0
1982/2/23,8.1,13.5,5.0
1982/2/24,6.1,11.8,3.6
1982/2/25,4.8,10.5,1.3
1982/2/26,3.5,8.6,0.0
1982/2/27,5.8,11.0,0.0
1982/2/28,8.4,13.0,2.5
1982/3/1,8.0,11.7,5.9
1982/3/2,5.8,11.4,1.4
1982/3/3,4.9,10.0,0.6
1982/3/4,8.5,13.5,0.8
1982/3/5,12.8,15.8,7.0
1982/3/6,9.8,14.3,6.9
1982/3/7,6.2,10.0,3.0
1982/3/8,6.2,10.9,1.4
1982/3/9,7.7,12.4,3.8
1982/3/10,8.7,14.3,3.4
1982/3/11,11.3,17.4,3.8
1982/3/12,10.5,14.8,5.1
1982/3/13,11.9,17.8,7.9
1982/3/14,11.6,14.9,9.0
1982/3/15,12.9,16.2,9.8
1982/3/16,15.3,20.6,12.8
1982/3/17,13.5,17.9,11.4
1982/3/18,12.2,16.9,8.9
1982/3/19,9.9,12.8,7.9
1982/3/20,10.3,12.5,7.1
1982/3/21,12.1,14.5,9.8
1982/3/22,13.5,19.8,7.3
1982/3/23,15.2,19.5,8.6
1982/3/24,12.9,19.5,5.1
1982/3/25,5.4,10.8,2.7
1982/3/26,5.8,11.6,1.5
1982/3/27,7.8,13.2,3.6
1982/3/28,8.7,14.2,3.3
1982/3/29,9.6,14.3,5.0
1982/3/30,12.6,18.0,4.7
1982/3/31,13.7,16.2,10.5
