ダウンロードした時刻：2019/10/10 15:41:18

,白河,白河,白河
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/12/1,4.4,6.8,1.6
1983/12/2,7.0,13.3,1.7
1983/12/3,3.5,8.5,0.8
1983/12/4,1.4,4.2,-1.0
1983/12/5,3.1,8.0,-3.0
1983/12/6,1.0,3.0,-0.7
1983/12/7,1.2,7.2,-3.2
1983/12/8,3.3,8.1,-3.5
1983/12/9,3.8,10.1,-1.1
1983/12/10,4.3,12.8,-1.2
1983/12/11,5.7,11.5,-0.4
1983/12/12,1.1,2.6,-0.4
1983/12/13,2.7,8.8,-2.6
1983/12/14,2.6,6.9,-1.0
1983/12/15,1.0,5.1,-3.8
1983/12/16,-0.1,3.7,-3.4
1983/12/17,-2.8,-1.4,-4.1
1983/12/18,-2.4,-0.3,-6.2
1983/12/19,-0.5,4.4,-5.2
1983/12/20,-1.9,0.3,-5.4
1983/12/21,-0.2,6.4,-5.4
1983/12/22,0.6,5.2,-6.6
1983/12/23,3.2,8.2,-1.3
1983/12/24,-0.9,2.3,-3.6
1983/12/25,-1.9,4.9,-5.8
1983/12/26,-1.1,1.8,-3.9
1983/12/27,-1.6,2.2,-6.2
1983/12/28,-3.4,4.4,-9.3
1983/12/29,-2.5,3.9,-8.5
1983/12/30,-1.9,6.0,-8.5
1983/12/31,0.6,6.0,-4.4
1984/1/1,-0.6,3.8,-4.2
1984/1/2,-0.6,5.5,-5.2
1984/1/3,-2.4,1.3,-7.1
1984/1/4,0.1,2.7,-1.2
1984/1/5,-1.4,2.3,-5.3
1984/1/6,-1.6,1.1,-5.9
1984/1/7,-2.4,1.3,-7.1
1984/1/8,-3.9,2.4,-9.4
1984/1/9,-2.6,4.8,-9.2
1984/1/10,1.0,6.9,-4.6
1984/1/11,-2.4,0.1,-3.9
1984/1/12,-3.1,0.0,-8.4
1984/1/13,-2.6,3.2,-9.3
1984/1/14,-2.4,4.3,-7.7
1984/1/15,1.3,5.8,-6.2
1984/1/16,-4.4,0.4,-6.4
1984/1/17,-4.9,-1.8,-7.8
1984/1/18,-3.8,0.0,-7.2
1984/1/19,-4.0,-2.4,-6.4
1984/1/20,-3.8,-0.2,-7.2
1984/1/21,-3.7,1.9,-11.1
1984/1/22,-1.3,0.3,-4.5
1984/1/23,-0.2,2.1,-4.2
1984/1/24,-3.3,-0.6,-8.0
1984/1/25,-4.7,1.6,-12.6
1984/1/26,-4.0,1.2,-9.8
1984/1/27,-3.6,0.7,-9.7
1984/1/28,-2.4,1.8,-7.8
1984/1/29,-3.5,0.3,-8.1
1984/1/30,-3.1,1.3,-8.8
1984/1/31,-3.7,-1.3,-8.9
1984/2/1,0.1,4.5,-5.3
1984/2/2,-1.4,5.3,-9.6
1984/2/3,-4.3,-1.1,-7.1
1984/2/4,-5.7,-3.5,-8.6
1984/2/5,-4.4,-0.2,-10.1
1984/2/6,-5.6,-3.3,-8.1
1984/2/7,-7.0,-4.5,-8.7
1984/2/8,-6.0,-3.1,-7.7
1984/2/9,-4.6,-2.1,-7.7
1984/2/10,-3.4,0.1,-7.2
1984/2/11,-2.4,1.3,-6.8
1984/2/12,-3.3,2.3,-11.9
1984/2/13,-1.0,3.9,-3.9
1984/2/14,-2.5,2.4,-7.3
1984/2/15,-3.6,-0.2,-7.2
1984/2/16,-5.8,-2.2,-11.1
1984/2/17,-4.0,-1.3,-6.8
1984/2/18,-3.9,0.2,-6.5
1984/2/19,-2.6,0.7,-5.7
1984/2/20,-1.1,3.9,-6.8
1984/2/21,-0.8,5.2,-6.1
1984/2/22,-0.4,3.1,-7.0
1984/2/23,-1.7,1.9,-3.7
1984/2/24,1.1,2.5,-0.9
1984/2/25,0.2,3.8,-1.6
1984/2/26,-0.9,2.0,-1.9
1984/2/27,0.2,3.2,-3.0
1984/2/28,-3.7,-0.8,-5.3
1984/2/29,-5.1,-1.2,-9.3
1984/3/1,-5.6,0.0,-11.2
1984/3/2,-2.9,4.8,-12.3
1984/3/3,-0.5,4.7,-7.1
1984/3/4,-0.9,4.2,-7.2
1984/3/5,-2.8,3.8,-8.9
1984/3/6,-1.9,3.9,-8.3
1984/3/7,-1.1,2.7,-4.8
1984/3/8,-2.2,3.2,-7.4
1984/3/9,-1.3,3.4,-6.8
1984/3/10,-0.7,1.6,-4.2
1984/3/11,-2.0,0.3,-4.3
1984/3/12,-0.9,5.8,-5.8
1984/3/13,-1.7,1.5,-4.8
1984/3/14,-2.0,2.4,-7.2
1984/3/15,-0.8,6.0,-9.6
1984/3/16,-0.3,1.2,-1.5
1984/3/17,2.1,7.9,-1.3
1984/3/18,1.8,5.3,-0.9
1984/3/19,0.2,4.0,-1.8
1984/3/20,-0.3,2.2,-2.0
1984/3/21,-0.3,3.5,-2.9
1984/3/22,-1.5,1.8,-3.7
1984/3/23,-1.4,3.3,-5.9
1984/3/24,0.1,3.8,-5.4
1984/3/25,3.3,7.2,-1.7
1984/3/26,0.5,5.2,-3.2
1984/3/27,0.9,6.9,-6.6
1984/3/28,1.3,5.5,-2.7
1984/3/29,4.8,11.8,-0.9
1984/3/30,6.6,15.9,-1.3
1984/3/31,4.4,10.6,-0.5
