ダウンロードした時刻：2019/10/10 16:08:16

,彦根,彦根,彦根
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/12/1,6.6,12.2,-0.2
1985/12/2,8.0,13.3,4.2
1985/12/3,6.1,10.6,3.2
1985/12/4,8.0,10.4,3.4
1985/12/5,9.6,14.3,5.1
1985/12/6,7.5,11.9,3.2
1985/12/7,8.1,12.2,5.1
1985/12/8,7.3,9.9,3.5
1985/12/9,5.0,8.3,2.7
1985/12/10,1.2,3.1,-0.9
1985/12/11,2.9,6.4,0.2
1985/12/12,2.9,6.8,-0.5
1985/12/13,4.0,7.6,1.1
1985/12/14,6.4,10.2,3.6
1985/12/15,2.0,6.4,-1.6
1985/12/16,0.9,4.7,-2.3
1985/12/17,0.1,3.0,-2.0
1985/12/18,0.4,2.7,-2.6
1985/12/19,2.2,6.5,-2.0
1985/12/20,2.4,4.1,0.3
1985/12/21,3.6,6.6,-0.2
1985/12/22,4.0,7.1,0.7
1985/12/23,6.3,8.6,4.6
1985/12/24,3.3,5.3,2.1
1985/12/25,3.8,6.9,-1.2
1985/12/26,6.0,8.8,4.2
1985/12/27,5.6,8.8,3.6
1985/12/28,4.9,8.9,-0.2
1985/12/29,4.2,7.9,-2.5
1985/12/30,8.0,9.1,7.1
1985/12/31,7.6,10.5,5.7
1986/1/1,3.1,6.8,1.0
1986/1/2,2.0,4.8,-0.3
1986/1/3,1.2,4.1,-2.9
1986/1/4,3.4,5.8,1.7
1986/1/5,0.4,3.3,-2.6
1986/1/6,-0.2,2.9,-3.0
1986/1/7,2.3,7.1,-1.6
1986/1/8,2.5,7.6,-1.6
1986/1/9,0.9,4.4,-1.7
1986/1/10,0.9,5.3,-2.4
1986/1/11,0.0,2.7,-2.7
1986/1/12,0.7,4.1,-1.4
1986/1/13,0.8,5.5,-3.3
1986/1/14,1.3,3.4,0.3
1986/1/15,3.6,7.4,1.2
1986/1/16,4.6,7.6,0.8
1986/1/17,5.6,8.3,3.3
1986/1/18,5.1,8.4,3.4
1986/1/19,3.2,8.5,-1.9
1986/1/20,4.5,9.0,-1.1
1986/1/21,4.5,7.6,1.9
1986/1/22,0.4,2.6,-0.6
1986/1/23,1.7,4.5,-2.0
1986/1/24,1.5,4.0,-0.2
1986/1/25,0.9,3.0,-0.6
1986/1/26,0.5,3.3,-0.7
1986/1/27,-0.4,2.3,-2.1
1986/1/28,1.1,4.4,-3.3
1986/1/29,2.8,6.3,-0.4
1986/1/30,1.3,4.5,-2.5
1986/1/31,4.0,7.8,0.4
1986/2/1,2.1,5.7,-0.6
1986/2/2,1.3,4.8,-1.9
1986/2/3,1.3,5.0,-2.5
1986/2/4,1.1,4.0,-0.7
1986/2/5,1.2,4.5,-1.3
1986/2/6,1.2,4.8,-1.3
1986/2/7,0.7,4.2,-2.3
1986/2/8,0.8,4.2,-3.8
1986/2/9,0.7,3.8,-1.1
1986/2/10,0.3,2.7,-2.1
1986/2/11,0.5,3.6,-3.5
1986/2/12,2.8,7.0,-0.6
1986/2/13,3.2,7.3,-2.6
1986/2/14,4.7,5.6,3.4
1986/2/15,3.0,7.6,0.0
1986/2/16,-0.9,1.5,-2.7
1986/2/17,1.9,4.7,-0.5
1986/2/18,0.7,3.2,-1.7
1986/2/19,3.4,5.1,2.2
1986/2/20,2.9,5.7,0.8
1986/2/21,2.1,4.5,0.8
1986/2/22,2.7,7.1,0.4
1986/2/23,3.3,9.0,-1.4
1986/2/24,-0.1,2.8,-1.5
1986/2/25,0.5,2.6,-1.4
1986/2/26,2.2,6.1,-1.7
1986/2/27,1.8,6.3,-2.0
1986/2/28,-0.5,1.1,-3.0
1986/3/1,1.2,4.0,-2.2
1986/3/2,1.9,4.9,-0.2
1986/3/3,2.1,6.1,0.3
1986/3/4,2.5,6.1,-0.5
1986/3/5,2.5,6.1,-2.1
1986/3/6,5.5,9.2,1.4
1986/3/7,4.4,11.1,-0.8
1986/3/8,5.7,12.0,0.0
1986/3/9,7.7,16.5,-0.1
1986/3/10,8.4,11.6,6.6
1986/3/11,6.1,7.5,5.4
1986/3/12,6.0,9.6,3.1
1986/3/13,6.8,12.8,0.5
1986/3/14,7.7,9.0,5.8
1986/3/15,11.6,15.8,6.9
1986/3/16,7.6,13.1,4.5
1986/3/17,4.7,7.5,2.8
1986/3/18,4.9,7.6,0.9
1986/3/19,7.9,10.9,5.2
1986/3/20,5.0,6.9,3.6
1986/3/21,6.0,8.8,4.4
1986/3/22,5.7,8.7,1.8
1986/3/23,4.9,5.9,3.0
1986/3/24,5.9,8.4,4.2
1986/3/25,5.6,9.4,1.0
1986/3/26,5.5,12.3,-1.1
1986/3/27,7.9,13.9,0.8
1986/3/28,8.3,9.9,7.0
1986/3/29,9.0,11.1,7.3
1986/3/30,8.2,12.5,3.4
1986/3/31,7.9,10.6,4.4
