ダウンロードした時刻：2019/10/10 16:25:48

,宮崎,宮崎,宮崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/12/1,18.3,23.7,14.3
1992/12/2,14.4,20.1,9.3
1992/12/3,11.1,16.8,6.1
1992/12/4,9.8,16.9,3.7
1992/12/5,11.0,16.8,5.1
1992/12/6,14.4,17.0,11.0
1992/12/7,17.2,19.2,15.0
1992/12/8,16.1,19.5,10.6
1992/12/9,12.0,18.1,5.8
1992/12/10,14.3,19.5,11.2
1992/12/11,8.7,12.5,4.1
1992/12/12,7.8,13.9,1.2
1992/12/13,12.4,18.9,6.7
1992/12/14,7.4,11.3,4.6
1992/12/15,5.2,11.4,-0.1
1992/12/16,5.8,12.6,1.0
1992/12/17,7.8,14.7,1.5
1992/12/18,8.7,14.7,3.6
1992/12/19,8.3,15.4,1.5
1992/12/20,11.1,15.5,8.9
1992/12/21,14.6,20.1,8.9
1992/12/22,11.7,16.8,8.2
1992/12/23,9.0,12.5,4.9
1992/12/24,6.9,11.7,2.9
1992/12/25,4.7,10.9,-1.2
1992/12/26,6.2,13.9,-0.5
1992/12/27,11.7,18.9,4.8
1992/12/28,15.5,20.4,12.5
1992/12/29,12.5,16.9,8.0
1992/12/30,10.1,16.3,5.3
1992/12/31,8.5,13.8,4.8
1993/1/1,7.7,13.8,1.6
1993/1/2,9.8,17.2,4.7
1993/1/3,10.5,18.2,4.2
1993/1/4,9.8,13.6,6.7
1993/1/5,9.0,13.9,3.1
1993/1/6,9.9,13.1,6.1
1993/1/7,15.7,20.5,10.8
1993/1/8,11.3,16.5,6.3
1993/1/9,9.5,11.6,6.7
1993/1/10,15.2,20.1,10.8
1993/1/11,11.4,15.2,7.2
1993/1/12,9.5,15.1,3.3
1993/1/13,11.8,16.2,7.6
1993/1/14,13.9,18.1,10.5
1993/1/15,11.7,14.0,9.3
1993/1/16,6.6,9.4,3.5
1993/1/17,7.1,13.2,2.2
1993/1/18,7.0,12.5,3.1
1993/1/19,5.1,9.8,2.0
1993/1/20,5.5,10.1,1.7
1993/1/21,4.4,10.2,-1.4
1993/1/22,5.5,11.8,-1.2
1993/1/23,8.7,12.3,5.4
1993/1/24,8.6,11.6,5.9
1993/1/25,9.4,14.9,4.8
1993/1/26,8.4,16.2,1.3
1993/1/27,7.4,13.8,2.6
1993/1/28,3.4,7.0,0.9
1993/1/29,4.3,12.1,-2.5
1993/1/30,7.4,13.3,2.9
1993/1/31,8.3,15.0,0.5
1993/2/1,7.7,11.9,4.0
1993/2/2,7.4,12.4,2.5
1993/2/3,7.6,17.1,-0.7
1993/2/4,12.8,18.8,8.2
1993/2/5,11.7,19.7,2.9
1993/2/6,18.1,23.6,10.2
1993/2/7,14.2,19.4,5.9
1993/2/8,7.4,13.2,3.6
1993/2/9,6.4,11.2,3.8
1993/2/10,5.6,11.7,-1.2
1993/2/11,8.4,13.7,3.2
1993/2/12,9.4,16.7,3.9
1993/2/13,9.5,18.0,0.9
1993/2/14,10.1,15.4,4.7
1993/2/15,10.2,16.9,2.9
1993/2/16,12.8,17.6,8.6
1993/2/17,13.9,17.4,9.2
1993/2/18,11.6,16.7,5.4
1993/2/19,11.5,15.4,7.8
1993/2/20,9.1,13.6,2.6
1993/2/21,13.5,20.5,9.4
1993/2/22,11.0,14.1,6.4
1993/2/23,4.9,7.7,2.4
1993/2/24,4.8,10.4,1.1
1993/2/25,5.4,12.0,-1.4
1993/2/26,6.8,11.2,3.6
1993/2/27,7.2,12.4,1.5
1993/2/28,10.1,15.2,6.1
1993/3/1,6.1,10.6,3.2
1993/3/2,5.5,10.1,1.2
1993/3/3,7.2,12.8,0.5
1993/3/4,9.4,15.3,4.6
1993/3/5,10.0,18.3,1.5
1993/3/6,12.8,19.0,5.0
1993/3/7,14.7,20.3,8.6
1993/3/8,8.8,13.3,2.7
1993/3/9,7.9,12.5,1.2
1993/3/10,10.8,15.6,6.7
1993/3/11,9.0,13.1,5.7
1993/3/12,8.9,15.6,2.5
1993/3/13,8.5,14.7,1.0
1993/3/14,9.9,14.4,4.2
1993/3/15,11.4,15.0,10.0
1993/3/16,9.2,10.7,7.2
1993/3/17,8.0,11.4,5.8
1993/3/18,7.3,13.8,0.6
1993/3/19,8.0,14.0,0.4
1993/3/20,8.5,14.0,1.9
1993/3/21,10.2,14.9,4.8
1993/3/22,11.5,15.4,9.1
1993/3/23,13.6,19.8,8.3
1993/3/24,18.1,23.6,13.4
1993/3/25,16.0,20.6,13.6
1993/3/26,12.1,13.9,10.7
1993/3/27,13.0,17.1,10.3
1993/3/28,12.7,14.3,11.1
1993/3/29,11.1,14.7,6.8
1993/3/30,9.5,14.8,3.0
1993/3/31,14.2,17.9,10.8
