ダウンロードした時刻：2019/10/10 16:07:52

,京都,京都,京都
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2006/12/1,9.1,13.9,5.4
2006/12/2,8.5,13.6,4.3
2006/12/3,6.4,9.8,3.0
2006/12/4,6.0,11.6,1.8
2006/12/5,5.6,11.7,0.6
2006/12/6,7.0,12.8,2.3
2006/12/7,7.7,10.3,4.0
2006/12/8,10.2,11.9,8.8
2006/12/9,9.0,10.0,7.8
2006/12/10,9.1,13.1,4.4
2006/12/11,6.7,12.9,1.9
2006/12/12,8.3,9.8,5.8
2006/12/13,8.5,9.1,7.6
2006/12/14,9.2,10.6,7.9
2006/12/15,9.5,15.0,5.5
2006/12/16,8.6,12.2,4.4
2006/12/17,8.6,13.2,4.4
2006/12/18,4.9,9.6,2.2
2006/12/19,5.3,11.9,0.8
2006/12/20,6.7,13.5,1.8
2006/12/21,7.8,10.7,5.1
2006/12/22,8.2,13.5,4.7
2006/12/23,8.4,14.4,4.5
2006/12/24,7.2,10.4,4.3
2006/12/25,7.9,14.6,1.9
2006/12/26,10.9,13.7,7.9
2006/12/27,11.9,15.0,9.4
2006/12/28,7.2,12.1,0.6
2006/12/29,1.5,3.6,-0.6
2006/12/30,4.3,8.0,2.0
2006/12/31,4.8,9.3,1.4
2007/1/1,5.2,11.9,-0.8
2007/1/2,7.1,8.6,5.5
2007/1/3,7.7,12.2,5.0
2007/1/4,6.3,11.9,2.8
2007/1/5,6.0,11.5,0.3
2007/1/6,7.5,10.1,5.2
2007/1/7,3.3,6.7,0.6
2007/1/8,5.2,9.8,2.6
2007/1/9,4.2,8.9,1.5
2007/1/10,4.6,10.6,-0.5
2007/1/11,5.8,9.8,1.6
2007/1/12,5.3,10.7,1.4
2007/1/13,5.2,10.0,1.9
2007/1/14,4.5,8.9,1.9
2007/1/15,4.5,10.9,-0.3
2007/1/16,6.1,11.0,1.8
2007/1/17,7.6,10.3,5.5
2007/1/18,6.8,12.5,2.8
2007/1/19,5.2,8.3,1.3
2007/1/20,4.7,10.2,0.0
2007/1/21,6.2,9.6,2.0
2007/1/22,5.2,10.6,1.2
2007/1/23,5.5,9.4,2.4
2007/1/24,5.2,11.9,1.3
2007/1/25,5.6,10.4,1.9
2007/1/26,6.4,12.6,-0.5
2007/1/27,7.3,11.0,4.3
2007/1/28,5.9,9.7,1.8
2007/1/29,5.6,11.1,0.3
2007/1/30,6.9,13.8,0.5
2007/1/31,7.8,12.4,4.2
2007/2/1,4.9,10.4,1.9
2007/2/2,2.9,6.6,0.5
2007/2/3,4.8,9.6,-0.8
2007/2/4,5.9,10.1,1.0
2007/2/5,5.6,13.8,-2.4
2007/2/6,9.3,16.7,2.4
2007/2/7,8.3,14.1,3.5
2007/2/8,6.4,11.0,1.0
2007/2/9,9.5,11.3,7.1
2007/2/10,10.0,13.6,5.5
2007/2/11,5.9,9.9,3.8
2007/2/12,6.6,13.5,0.9
2007/2/13,7.8,14.7,1.8
2007/2/14,10.8,15.8,6.0
2007/2/15,6.7,10.5,4.4
2007/2/16,5.9,10.5,1.5
2007/2/17,4.5,7.8,0.2
2007/2/18,8.7,11.6,6.5
2007/2/19,7.3,12.9,2.7
2007/2/20,6.8,14.9,0.3
2007/2/21,8.1,16.0,1.6
2007/2/22,9.7,16.4,2.4
2007/2/23,10.8,16.2,6.2
2007/2/24,5.3,7.4,2.2
2007/2/25,5.4,9.8,0.0
2007/2/26,9.2,15.8,3.4
2007/2/27,10.4,18.1,4.1
2007/2/28,6.5,9.3,4.3
2007/3/1,6.9,15.3,1.1
2007/3/2,8.5,17.0,1.8
2007/3/3,12.4,17.7,7.2
2007/3/4,16.1,22.8,10.4
2007/3/5,13.8,17.1,9.9
2007/3/6,7.3,11.5,2.5
2007/3/7,4.5,10.2,0.9
2007/3/8,4.3,9.6,-0.1
2007/3/9,6.2,13.2,0.2
2007/3/10,8.3,14.7,1.4
2007/3/11,6.0,9.6,3.2
2007/3/12,4.7,9.7,2.1
2007/3/13,5.3,10.5,1.8
2007/3/14,6.0,11.7,0.7
2007/3/15,5.3,7.8,2.1
2007/3/16,6.2,11.8,1.1
2007/3/17,5.8,10.2,2.6
2007/3/18,3.9,9.2,0.8
2007/3/19,4.0,9.6,-0.2
2007/3/20,4.9,9.9,1.4
2007/3/21,6.8,14.5,0.0
2007/3/22,9.0,17.0,2.6
2007/3/23,11.0,18.5,3.9
2007/3/24,11.4,14.1,8.6
2007/3/25,13.3,17.7,7.7
2007/3/26,11.9,20.4,4.6
2007/3/27,10.6,13.4,7.9
2007/3/28,12.9,20.4,7.6
2007/3/29,15.0,21.5,8.8
2007/3/30,12.3,17.2,6.5
2007/3/31,12.7,18.1,5.2
