ダウンロードした時刻：2019/10/10 16:24:09

,熊本,熊本,熊本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2005/12/1,10.9,18.2,3.8
2005/12/2,10.4,12.8,6.2
2005/12/3,7.4,13.2,2.9
2005/12/4,6.2,11.5,2.8
2005/12/5,4.0,8.1,1.0
2005/12/6,2.6,7.5,-0.8
2005/12/7,4.6,8.5,-0.1
2005/12/8,5.7,9.4,2.7
2005/12/9,4.9,9.8,1.1
2005/12/10,5.8,12.4,-0.1
2005/12/11,6.7,11.8,3.0
2005/12/12,4.6,7.7,2.2
2005/12/13,3.3,6.3,1.4
2005/12/14,4.1,7.7,1.8
2005/12/15,3.1,6.4,0.5
2005/12/16,4.9,8.6,2.0
2005/12/17,3.8,6.4,0.1
2005/12/18,0.1,4.3,-4.4
2005/12/19,3.6,9.9,-0.8
2005/12/20,3.7,10.8,-2.2
2005/12/21,2.5,5.3,-0.8
2005/12/22,1.0,4.4,-2.0
2005/12/23,4.5,9.7,-0.5
2005/12/24,5.3,8.1,0.4
2005/12/25,4.8,12.2,-2.3
2005/12/26,5.3,9.8,0.5
2005/12/27,2.2,7.9,-2.4
2005/12/28,2.9,9.2,-3.7
2005/12/29,5.2,12.2,-1.5
2005/12/30,5.7,12.2,0.4
2005/12/31,6.4,12.3,0.2
2006/1/1,6.0,10.4,2.2
2006/1/2,6.9,12.4,3.2
2006/1/3,5.5,11.1,1.8
2006/1/4,3.2,5.9,-0.1
2006/1/5,3.7,7.3,0.7
2006/1/6,1.8,4.7,-0.3
2006/1/7,0.9,6.4,-3.5
2006/1/8,1.1,8.0,-4.0
2006/1/9,3.9,10.8,-1.6
2006/1/10,4.7,12.1,-0.9
2006/1/11,5.2,13.1,-1.1
2006/1/12,7.2,16.5,-1.2
2006/1/13,10.8,15.7,6.5
2006/1/14,11.8,14.1,9.1
2006/1/15,9.5,12.4,6.5
2006/1/16,6.3,8.5,2.8
2006/1/17,9.0,13.2,3.6
2006/1/18,8.2,10.0,6.4
2006/1/19,7.9,9.6,6.2
2006/1/20,5.3,6.6,3.4
2006/1/21,5.9,9.1,2.8
2006/1/22,4.9,11.0,0.4
2006/1/23,3.6,9.1,-0.8
2006/1/24,3.1,9.4,-2.6
2006/1/25,4.1,11.3,-1.9
2006/1/26,4.5,11.1,-1.7
2006/1/27,5.8,11.6,1.0
2006/1/28,5.5,13.7,-1.3
2006/1/29,9.3,17.0,2.6
2006/1/30,11.3,13.9,8.7
2006/1/31,14.2,18.7,11.0
2006/2/1,11.5,14.0,5.7
2006/2/2,7.1,12.8,2.5
2006/2/3,5.6,9.8,-0.3
2006/2/4,1.4,6.1,-1.4
2006/2/5,2.4,8.4,-4.3
2006/2/6,6.0,9.8,2.6
2006/2/7,7.2,10.9,5.3
2006/2/8,3.4,6.3,0.2
2006/2/9,1.8,6.8,-3.2
2006/2/10,5.5,11.2,-0.8
2006/2/11,9.1,13.8,5.7
2006/2/12,6.7,11.0,0.4
2006/2/13,5.6,15.3,-3.2
2006/2/14,11.7,16.6,3.9
2006/2/15,15.6,20.2,12.3
2006/2/16,11.1,12.5,9.0
2006/2/17,7.8,11.8,2.4
2006/2/18,4.1,8.6,-0.7
2006/2/19,6.3,10.7,2.7
2006/2/20,7.1,9.7,5.0
2006/2/21,10.5,18.1,6.9
2006/2/22,10.0,15.5,4.6
2006/2/23,11.2,16.9,7.7
2006/2/24,11.2,18.5,5.9
2006/2/25,13.5,21.2,6.2
2006/2/26,13.7,18.0,10.1
2006/2/27,10.1,15.4,6.7
2006/2/28,8.3,12.4,4.6
2006/3/1,7.0,8.3,5.2
2006/3/2,5.6,8.6,3.1
2006/3/3,5.0,10.1,1.3
2006/3/4,5.0,12.1,-2.3
2006/3/5,10.1,18.8,0.2
2006/3/6,11.3,13.3,8.4
2006/3/7,11.1,18.9,3.9
2006/3/8,11.9,19.5,5.1
2006/3/9,10.5,15.9,6.1
2006/3/10,13.9,20.1,9.9
2006/3/11,13.2,19.4,6.5
2006/3/12,8.9,13.9,3.3
2006/3/13,2.9,6.5,0.3
2006/3/14,4.9,9.4,1.2
2006/3/15,9.6,15.7,2.6
2006/3/16,10.0,13.2,8.7
2006/3/17,11.9,18.0,5.8
2006/3/18,11.0,12.4,9.7
2006/3/19,10.4,14.0,4.8
2006/3/20,8.8,16.1,1.6
2006/3/21,11.7,17.4,6.3
2006/3/22,13.5,19.3,9.9
2006/3/23,13.6,18.7,8.4
2006/3/24,11.3,17.8,5.1
2006/3/25,11.8,19.5,4.0
2006/3/26,10.9,16.4,8.4
2006/3/27,13.4,20.5,6.3
2006/3/28,10.7,17.5,6.0
2006/3/29,7.8,12.5,4.2
2006/3/30,11.3,16.2,6.1
2006/3/31,10.2,16.7,3.8
