ダウンロードした時刻：2019/10/10 15:43:57

,新潟,新潟,新潟
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2007/12/1,8.7,11.6,6.6
2007/12/2,8.5,10.7,7.3
2007/12/3,7.4,9.2,5.0
2007/12/4,4.3,5.9,2.8
2007/12/5,5.4,7.1,3.6
2007/12/6,6.2,7.4,3.9
2007/12/7,7.2,9.1,5.6
2007/12/8,7.4,11.1,5.3
2007/12/9,7.4,9.0,5.1
2007/12/10,5.8,7.7,4.1
2007/12/11,6.9,9.7,2.9
2007/12/12,8.9,11.0,5.0
2007/12/13,8.4,12.0,5.4
2007/12/14,7.9,10.2,6.3
2007/12/15,4.1,7.1,2.2
2007/12/16,4.1,6.5,1.1
2007/12/17,3.3,6.9,0.9
2007/12/18,3.5,5.5,2.3
2007/12/19,4.1,6.9,1.4
2007/12/20,5.2,10.6,2.1
2007/12/21,6.6,9.8,2.6
2007/12/22,5.3,8.6,2.0
2007/12/23,8.0,11.5,4.7
2007/12/24,7.8,11.4,3.1
2007/12/25,5.7,9.5,2.3
2007/12/26,4.1,7.4,1.8
2007/12/27,5.6,11.5,0.2
2007/12/28,7.7,11.2,3.3
2007/12/29,11.2,12.9,7.8
2007/12/30,4.8,8.3,1.8
2007/12/31,2.5,4.4,0.5
2008/1/1,3.2,5.0,1.1
2008/1/2,4.4,7.0,2.4
2008/1/3,3.8,7.5,1.7
2008/1/4,4.2,8.2,0.9
2008/1/5,4.5,8.9,0.7
2008/1/6,9.1,11.7,5.4
2008/1/7,6.2,9.5,2.8
2008/1/8,6.7,11.3,3.1
2008/1/9,5.7,11.3,2.8
2008/1/10,3.2,5.3,0.4
2008/1/11,5.6,8.8,3.2
2008/1/12,2.9,5.0,1.7
2008/1/13,0.5,2.1,-0.5
2008/1/14,2.4,4.7,0.7
2008/1/15,2.4,5.7,-0.2
2008/1/16,0.6,1.6,-0.3
2008/1/17,0.5,2.3,-1.4
2008/1/18,1.8,4.0,-0.2
2008/1/19,0.4,2.5,-1.0
2008/1/20,2.0,5.2,-0.6
2008/1/21,1.6,3.5,-0.3
2008/1/22,2.0,5.4,-0.7
2008/1/23,2.8,6.1,-0.5
2008/1/24,1.2,7.0,-2.0
2008/1/25,0.1,2.7,-2.3
2008/1/26,0.8,3.1,-0.8
2008/1/27,1.7,4.3,0.0
2008/1/28,2.7,6.4,0.0
2008/1/29,2.9,5.4,0.8
2008/1/30,4.0,6.7,1.8
2008/1/31,2.2,5.1,0.1
2008/2/1,1.6,3.6,-0.2
2008/2/2,1.9,5.7,-0.5
2008/2/3,2.7,5.3,-0.9
2008/2/4,1.3,3.1,0.2
2008/2/5,1.2,3.5,-1.7
2008/2/6,2.6,6.3,0.1
2008/2/7,1.8,3.5,0.1
2008/2/8,1.7,4.0,0.0
2008/2/9,2.4,6.2,-0.4
2008/2/10,2.9,6.9,0.4
2008/2/11,4.1,8.8,-0.2
2008/2/12,2.5,5.5,-0.5
2008/2/13,-0.8,0.8,-3.2
2008/2/14,2.2,3.9,0.0
2008/2/15,1.4,3.6,0.2
2008/2/16,0.7,3.1,-1.6
2008/2/17,0.9,3.1,-1.2
2008/2/18,1.8,5.1,-1.2
2008/2/19,1.4,4.0,0.5
2008/2/20,2.9,8.6,0.1
2008/2/21,3.4,7.1,0.2
2008/2/22,4.0,10.5,-1.7
2008/2/23,2.4,9.1,-1.8
2008/2/24,0.4,1.9,-1.7
2008/2/25,1.1,4.1,-1.2
2008/2/26,2.0,5.9,-1.4
2008/2/27,1.3,3.2,-0.8
2008/2/28,2.6,5.5,-1.1
2008/2/29,6.5,11.3,0.7
2008/3/1,4.7,8.1,1.8
2008/3/2,6.1,9.2,3.3
2008/3/3,5.5,9.0,3.2
2008/3/4,3.8,7.8,1.5
2008/3/5,3.0,7.4,0.4
2008/3/6,3.3,7.4,0.6
2008/3/7,4.0,8.1,1.1
2008/3/8,4.5,9.3,1.1
2008/3/9,6.0,13.0,0.1
2008/3/10,6.3,11.2,3.0
2008/3/11,8.6,14.3,3.9
2008/3/12,6.4,9.2,3.0
2008/3/13,10.3,16.5,4.6
2008/3/14,10.7,14.3,8.9
2008/3/15,8.6,10.5,5.3
2008/3/16,8.6,15.8,2.6
2008/3/17,8.6,11.4,5.5
2008/3/18,8.0,11.1,3.9
2008/3/19,11.1,16.1,6.8
2008/3/20,10.3,12.7,8.2
2008/3/21,9.2,12.0,6.6
2008/3/22,8.4,13.0,4.4
2008/3/23,10.0,14.7,3.0
2008/3/24,10.8,13.5,8.3
2008/3/25,11.5,18.2,4.8
2008/3/26,8.6,11.5,6.5
2008/3/27,8.5,12.8,5.6
2008/3/28,7.8,10.5,6.3
2008/3/29,6.7,9.3,5.0
2008/3/30,6.7,10.2,4.1
2008/3/31,6.3,10.1,4.0
