ダウンロードした時刻：2019/10/10 16:16:27

,高松,高松,高松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2007/12/1,10.0,14.1,6.3
2007/12/2,9.8,15.4,5.4
2007/12/3,10.7,14.3,6.8
2007/12/4,9.1,11.2,6.3
2007/12/5,8.0,11.3,4.0
2007/12/6,7.2,11.8,2.1
2007/12/7,10.1,11.9,6.6
2007/12/8,9.3,14.0,5.0
2007/12/9,9.4,12.8,5.7
2007/12/10,8.0,13.2,2.5
2007/12/11,10.4,13.1,7.4
2007/12/12,11.5,13.9,9.7
2007/12/13,11.3,14.4,9.1
2007/12/14,9.0,11.8,7.3
2007/12/15,9.3,11.9,6.6
2007/12/16,8.6,11.8,6.5
2007/12/17,7.6,11.6,4.3
2007/12/18,8.5,12.7,3.8
2007/12/19,7.9,12.8,3.1
2007/12/20,8.8,12.9,4.6
2007/12/21,8.9,12.6,4.0
2007/12/22,9.5,10.7,8.5
2007/12/23,11.4,13.6,9.3
2007/12/24,9.7,12.8,7.1
2007/12/25,9.2,11.3,6.2
2007/12/26,8.8,13.0,5.4
2007/12/27,8.0,12.6,2.6
2007/12/28,10.7,11.8,7.5
2007/12/29,11.6,13.8,8.5
2007/12/30,6.2,10.5,3.1
2007/12/31,4.5,6.7,3.3
2008/1/1,3.9,6.8,2.4
2008/1/2,5.3,8.7,2.4
2008/1/3,7.7,11.1,4.1
2008/1/4,8.2,11.9,3.7
2008/1/5,7.1,13.1,1.3
2008/1/6,7.2,13.5,1.7
2008/1/7,7.6,10.8,3.4
2008/1/8,11.6,14.7,8.6
2008/1/9,9.2,13.1,5.0
2008/1/10,7.2,12.3,2.2
2008/1/11,8.2,11.5,4.2
2008/1/12,8.9,10.4,6.8
2008/1/13,5.7,8.9,2.8
2008/1/14,4.4,7.4,1.4
2008/1/15,4.4,9.0,-0.5
2008/1/16,6.8,10.4,4.5
2008/1/17,4.3,7.6,0.5
2008/1/18,3.8,7.6,0.5
2008/1/19,3.9,7.0,1.3
2008/1/20,3.0,5.4,1.3
2008/1/21,4.1,6.6,2.1
2008/1/22,3.3,7.0,0.1
2008/1/23,6.2,8.6,4.2
2008/1/24,4.6,8.3,1.8
2008/1/25,3.8,7.2,1.8
2008/1/26,3.2,6.9,-0.7
2008/1/27,3.1,7.8,-0.9
2008/1/28,1.5,5.4,-0.9
2008/1/29,4.1,7.9,0.4
2008/1/30,7.7,10.0,5.5
2008/1/31,5.6,9.6,2.4
2008/2/1,4.8,8.2,2.2
2008/2/2,3.4,6.7,0.3
2008/2/3,3.2,6.4,0.4
2008/2/4,5.5,9.1,2.9
2008/2/5,5.9,8.8,3.9
2008/2/6,4.8,8.2,2.2
2008/2/7,5.1,9.0,2.1
2008/2/8,4.7,9.3,0.3
2008/2/9,3.6,4.8,1.8
2008/2/10,6.6,10.7,2.9
2008/2/11,6.2,10.6,1.1
2008/2/12,6.0,10.4,2.5
2008/2/13,2.7,5.7,0.2
2008/2/14,4.0,8.2,-0.4
2008/2/15,4.5,8.9,0.2
2008/2/16,4.0,8.0,0.4
2008/2/17,3.2,7.8,1.0
2008/2/18,3.5,8.0,-1.1
2008/2/19,5.2,10.4,-0.4
2008/2/20,7.0,11.9,0.7
2008/2/21,6.3,11.5,0.5
2008/2/22,7.6,13.9,1.3
2008/2/23,7.5,12.1,1.4
2008/2/24,2.3,6.3,0.0
2008/2/25,3.0,7.5,-2.4
2008/2/26,6.4,10.7,4.2
2008/2/27,5.1,8.0,2.6
2008/2/28,6.1,10.6,1.9
2008/2/29,7.6,13.9,0.5
2008/3/1,8.8,11.9,4.4
2008/3/2,6.7,12.4,1.5
2008/3/3,7.2,12.2,3.6
2008/3/4,6.4,10.2,3.9
2008/3/5,5.3,9.7,1.9
2008/3/6,6.5,12.0,-0.1
2008/3/7,7.8,12.2,4.6
2008/3/8,6.9,12.9,1.3
2008/3/9,8.3,15.0,2.3
2008/3/10,11.6,16.2,8.3
2008/3/11,11.6,19.7,4.3
2008/3/12,11.8,18.2,5.3
2008/3/13,13.1,21.1,6.0
2008/3/14,12.4,15.2,9.0
2008/3/15,9.8,15.1,4.1
2008/3/16,12.4,19.7,4.4
2008/3/17,12.0,16.7,7.6
2008/3/18,12.0,18.1,5.9
2008/3/19,11.8,14.8,9.2
2008/3/20,10.1,12.7,8.2
2008/3/21,11.2,17.2,5.8
2008/3/22,11.0,18.4,4.5
2008/3/23,12.0,15.0,8.7
2008/3/24,13.4,16.8,9.4
2008/3/25,12.7,19.1,6.7
2008/3/26,10.9,14.9,6.7
2008/3/27,10.1,14.4,4.2
2008/3/28,10.9,15.2,7.4
2008/3/29,10.0,15.1,4.0
2008/3/30,7.8,9.1,7.1
2008/3/31,10.0,14.0,7.4
