ダウンロードした時刻：2017/07/24 15:47:07

,福江,福江,福江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/1/1,14.1,17.7,10.9
1991/1/2,7.3,10.9,5.3
1991/1/3,6.2,7.9,5.1
1991/1/4,6.8,9.3,5.5
1991/1/5,4.5,6.0,3.4
1991/1/6,5.7,7.7,4.1
1991/1/7,7.8,12.5,0.4
1991/1/8,5.0,7.2,4.0
1991/1/9,5.6,8.6,2.2
1991/1/10,7.5,10.0,2.9
1991/1/11,7.7,8.6,6.2
1991/1/12,7.1,8.5,4.6
1991/1/13,5.7,7.1,4.6
1991/1/14,4.8,5.7,3.5
1991/1/15,6.4,10.0,3.3
1991/1/16,8.5,12.6,5.1
1991/1/17,9.2,11.8,6.8
1991/1/18,7.4,10.0,5.0
1991/1/19,8.1,9.7,4.6
1991/1/20,12.0,13.7,9.0
1991/1/21,14.3,17.6,12.0
1991/1/22,11.3,13.9,8.8
1991/1/23,9.2,12.5,6.0
1991/1/24,11.2,16.0,6.2
1991/1/25,8.6,10.6,6.7
1991/1/26,6.5,8.8,5.0
1991/1/27,6.1,8.3,2.4
1991/1/28,6.5,10.2,1.1
1991/1/29,7.8,11.2,4.7
1991/1/30,7.4,11.3,3.7
1991/1/31,7.4,9.1,3.1
1991/2/1,7.3,10.0,5.6
1991/2/2,5.3,8.4,1.3
1991/2/3,5.2,10.2,-1.7
1991/2/4,7.8,10.6,5.5
1991/2/5,5.6,8.8,2.8
1991/2/6,5.8,9.5,1.3
1991/2/7,8.9,12.8,5.4
1991/2/8,8.9,12.2,1.7
1991/2/9,9.1,16.4,0.8
1991/2/10,14.0,17.2,10.8
1991/2/11,10.8,12.2,8.2
1991/2/12,7.9,10.7,4.2
1991/2/13,9.0,10.5,7.1
1991/2/14,11.3,13.2,9.7
1991/2/15,10.5,12.9,8.1
1991/2/16,8.6,10.8,5.8
1991/2/17,6.4,9.2,2.9
1991/2/18,6.7,8.7,3.0
1991/2/19,5.2,7.9,3.3
1991/2/20,3.6,6.6,1.2
1991/2/21,3.2,5.6,1.3
1991/2/22,3.2,10.4,-2.9
1991/2/23,1.0,2.9,-1.3
1991/2/24,1.9,3.5,1.2
1991/2/25,2.7,7.3,-2.4
1991/2/26,2.9,10.5,-3.8
1991/2/27,7.6,15.8,-0.9
1991/2/28,12.1,15.8,8.2
1991/3/1,8.4,12.3,5.7
1991/3/2,8.4,12.1,3.1
1991/3/3,7.5,14.0,1.5
1991/3/4,9.7,12.7,2.4
1991/3/5,12.5,16.9,8.9
1991/3/6,11.4,17.0,6.2
1991/3/7,10.3,13.4,6.0
1991/3/8,13.3,18.0,11.0
1991/3/9,10.6,12.1,8.6
1991/3/10,11.0,16.0,5.9
1991/3/11,13.5,19.4,9.9
1991/3/12,11.1,14.4,9.3
1991/3/13,12.1,15.9,8.1
1991/3/14,9.2,12.1,5.9
1991/3/15,7.9,10.8,6.3
1991/3/16,8.3,10.5,6.3
1991/3/17,7.7,12.0,2.4
1991/3/18,7.6,14.6,0.9
1991/3/19,11.8,17.0,2.9
1991/3/20,17.5,23.0,15.0
1991/3/21,11.5,15.1,9.8
1991/3/22,12.8,17.8,10.5
1991/3/23,11.5,15.1,8.0
1991/3/24,12.9,18.3,6.6
1991/3/25,11.9,12.7,11.1
1991/3/26,13.4,14.7,12.2
1991/3/27,15.0,17.5,12.3
1991/3/28,11.8,12.5,10.2
1991/3/29,12.7,15.9,9.9
1991/3/30,12.0,13.4,10.8
1991/3/31,9.5,12.1,7.9
1991/4/1,7.0,9.5,5.1
1991/4/2,9.3,12.4,6.9
1991/4/3,9.6,15.4,3.3
1991/4/4,10.7,16.4,3.0
1991/4/5,13.6,14.6,11.8
1991/4/6,15.7,19.5,14.0
1991/4/7,14.3,15.0,12.8
1991/4/8,12.7,14.3,11.0
1991/4/9,15.0,20.0,10.7
1991/4/10,16.9,17.9,14.1
1991/4/11,16.1,17.2,15.3
1991/4/12,17.7,20.9,15.2
1991/4/13,16.9,19.0,13.5
1991/4/14,14.3,18.4,9.8
1991/4/15,14.2,20.2,7.6
1991/4/16,16.0,20.1,12.6
1991/4/17,18.7,20.6,16.2
1991/4/18,16.2,21.5,11.6
1991/4/19,12.8,15.2,10.5
1991/4/20,15.2,19.5,12.6
1991/4/21,15.2,19.0,11.3
1991/4/22,15.0,21.5,7.4
1991/4/23,15.8,17.8,12.7
1991/4/24,15.8,18.7,11.8
1991/4/25,15.1,20.6,9.3
1991/4/26,15.3,18.8,10.9
1991/4/27,16.3,21.8,10.2
1991/4/28,17.2,19.1,15.2
1991/4/29,16.5,20.6,12.3
1991/4/30,15.4,20.2,9.8
1991/5/1,15.1,17.7,12.9
