ダウンロードした時刻：2019/10/10 16:26:03

,宮崎,宮崎,宮崎
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/12/1,12.1,19.0,7.0
2003/12/2,12.2,19.8,6.6
2003/12/3,12.8,18.8,8.5
2003/12/4,10.7,17.4,5.2
2003/12/5,12.4,18.0,6.8
2003/12/6,16.6,22.9,12.7
2003/12/7,10.9,14.6,5.5
2003/12/8,8.0,13.6,3.0
2003/12/9,9.1,14.3,3.5
2003/12/10,9.5,15.9,3.9
2003/12/11,10.8,12.3,8.8
2003/12/12,9.6,14.2,4.4
2003/12/13,8.3,13.8,3.9
2003/12/14,7.8,15.3,1.3
2003/12/15,9.0,14.3,4.1
2003/12/16,7.8,14.2,2.0
2003/12/17,10.2,15.6,4.5
2003/12/18,9.4,14.4,6.7
2003/12/19,6.6,9.7,2.5
2003/12/20,4.3,8.7,0.3
2003/12/21,4.9,12.0,-2.0
2003/12/22,9.7,16.3,3.1
2003/12/23,11.7,17.6,6.3
2003/12/24,12.7,20.4,6.3
2003/12/25,12.9,19.2,4.7
2003/12/26,9.4,13.9,5.1
2003/12/27,5.6,11.0,0.5
2003/12/28,5.5,13.0,0.0
2003/12/29,11.0,17.8,1.3
2003/12/30,12.3,18.2,6.8
2003/12/31,10.8,13.7,7.3
2004/1/1,8.7,16.3,1.7
2004/1/2,9.0,15.7,3.1
2004/1/3,8.8,14.9,4.3
2004/1/4,7.4,14.3,1.3
2004/1/5,7.8,14.1,2.0
2004/1/6,7.5,14.0,2.0
2004/1/7,9.3,16.7,2.0
2004/1/8,8.1,12.9,2.7
2004/1/9,7.3,12.7,1.4
2004/1/10,11.1,17.2,5.1
2004/1/11,9.2,12.9,4.4
2004/1/12,7.7,13.4,1.1
2004/1/13,7.0,9.7,4.0
2004/1/14,5.8,12.1,0.5
2004/1/15,6.6,12.4,1.5
2004/1/16,5.6,6.4,4.9
2004/1/17,7.9,12.5,4.7
2004/1/18,8.1,13.8,1.7
2004/1/19,7.7,10.8,3.1
2004/1/20,5.9,12.1,-0.2
2004/1/21,6.4,12.7,3.0
2004/1/22,1.9,6.1,-0.7
2004/1/23,4.2,10.6,-2.9
2004/1/24,5.0,9.6,2.6
2004/1/25,3.5,8.2,-0.1
2004/1/26,4.1,10.7,-2.1
2004/1/27,6.4,12.9,1.0
2004/1/28,4.7,11.4,-1.7
2004/1/29,6.9,15.1,-0.3
2004/1/30,7.5,13.9,1.2
2004/1/31,7.1,14.6,0.1
2004/2/1,9.9,16.6,3.1
2004/2/2,12.0,17.1,8.4
2004/2/3,7.7,11.5,4.2
2004/2/4,5.7,12.1,-0.1
2004/2/5,4.7,8.9,0.5
2004/2/6,4.3,10.0,-0.9
2004/2/7,4.1,8.6,-0.9
2004/2/8,5.5,11.6,-0.7
2004/2/9,6.9,10.9,3.0
2004/2/10,6.3,12.6,0.0
2004/2/11,8.1,17.2,-0.8
2004/2/12,10.1,18.1,4.8
2004/2/13,8.7,16.5,1.7
2004/2/14,11.1,19.9,2.8
2004/2/15,9.4,17.7,4.0
2004/2/16,7.1,14.0,-0.5
2004/2/17,11.5,19.6,2.8
2004/2/18,10.3,16.5,4.9
2004/2/19,10.6,16.7,4.9
2004/2/20,13.2,19.8,6.8
2004/2/21,14.4,21.7,8.4
2004/2/22,14.5,22.8,10.9
2004/2/23,10.6,16.5,4.3
2004/2/24,10.0,16.7,2.4
2004/2/25,14.2,18.8,10.7
2004/2/26,12.9,17.6,7.7
2004/2/27,9.5,15.8,3.7
2004/2/28,11.1,17.3,3.2
2004/2/29,17.0,20.1,12.9
2004/3/1,11.3,15.7,7.9
2004/3/2,10.7,16.3,7.0
2004/3/3,8.1,11.7,3.0
2004/3/4,6.6,11.1,1.9
2004/3/5,7.6,15.4,-0.9
2004/3/6,7.0,11.6,2.1
2004/3/7,5.1,10.5,0.3
2004/3/8,6.9,12.3,-0.6
2004/3/9,10.7,18.2,2.4
2004/3/10,13.0,20.1,4.8
2004/3/11,15.9,22.3,10.2
2004/3/12,11.8,16.2,9.1
2004/3/13,11.1,17.5,6.0
2004/3/14,11.4,17.3,4.6
2004/3/15,13.4,18.6,8.5
2004/3/16,14.2,20.9,5.8
2004/3/17,17.8,23.5,12.7
2004/3/18,16.2,19.3,10.7
2004/3/19,11.6,15.5,6.8
2004/3/20,12.3,17.4,8.2
2004/3/21,10.5,12.3,8.4
2004/3/22,13.4,17.2,9.9
2004/3/23,12.0,16.6,5.7
2004/3/24,15.5,19.7,11.9
2004/3/25,13.1,17.4,10.1
2004/3/26,13.9,18.7,9.8
2004/3/27,12.3,16.8,5.6
2004/3/28,15.0,19.8,10.1
2004/3/29,16.5,22.0,10.7
2004/3/30,18.2,22.5,14.9
2004/3/31,15.6,21.4,10.7
