ダウンロードした時刻：2017/07/24 15:37:11

,秋田,秋田,秋田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2008/1/1,0.8,2.9,-1.4
2008/1/2,0.9,2.2,-1.0
2008/1/3,1.0,4.4,-0.9
2008/1/4,1.9,4.6,-1.1
2008/1/5,0.2,4.2,-3.4
2008/1/6,2.0,5.2,-0.4
2008/1/7,3.6,6.9,0.3
2008/1/8,1.9,4.8,-0.2
2008/1/9,-0.3,2.9,-2.6
2008/1/10,-1.1,1.9,-3.2
2008/1/11,-0.1,2.8,-2.6
2008/1/12,-1.3,0.6,-2.9
2008/1/13,-3.4,-1.2,-5.2
2008/1/14,-2.7,0.3,-7.5
2008/1/15,-0.1,2.9,-2.3
2008/1/16,-2.8,-0.8,-4.5
2008/1/17,-3.6,-0.2,-5.0
2008/1/18,-3.2,-1.0,-4.8
2008/1/19,-2.8,-0.2,-5.6
2008/1/20,0.0,2.4,-3.7
2008/1/21,-2.1,-0.6,-3.5
2008/1/22,-1.4,-0.1,-3.1
2008/1/23,-0.3,2.2,-3.2
2008/1/24,1.1,4.9,-1.2
2008/1/25,-1.2,1.4,-3.1
2008/1/26,-2.8,-1.1,-4.0
2008/1/27,0.2,3.7,-3.7
2008/1/28,3.2,5.3,1.3
2008/1/29,2.4,6.5,0.1
2008/1/30,1.1,4.0,-0.5
2008/1/31,-1.4,0.0,-3.4
2008/2/1,-2.0,0.2,-3.6
2008/2/2,1.0,3.9,-1.1
2008/2/3,-0.3,3.8,-3.4
2008/2/4,-1.5,1.1,-4.6
2008/2/5,-0.4,2.6,-3.2
2008/2/6,-1.1,0.8,-3.4
2008/2/7,-0.9,1.9,-2.7
2008/2/8,-1.4,2.1,-2.5
2008/2/9,0.5,4.7,-2.9
2008/2/10,2.2,6.3,-1.3
2008/2/11,2.3,4.8,-0.7
2008/2/12,0.1,3.0,-4.1
2008/2/13,-3.6,-1.6,-5.7
2008/2/14,-0.7,0.3,-3.1
2008/2/15,-0.9,1.2,-3.4
2008/2/16,-2.7,-0.4,-4.2
2008/2/17,-1.8,1.2,-4.9
2008/2/18,0.1,2.4,-2.2
2008/2/19,1.3,4.8,-2.1
2008/2/20,1.5,4.1,-0.7
2008/2/21,0.5,2.7,-2.0
2008/2/22,0.7,4.3,-2.7
2008/2/23,1.7,5.4,-1.7
2008/2/24,-0.7,1.7,-3.3
2008/2/25,-1.4,2.7,-4.6
2008/2/26,0.6,4.5,-2.1
2008/2/27,-1.1,0.4,-2.5
2008/2/28,1.5,4.4,-2.5
2008/2/29,5.6,9.9,2.1
2008/3/1,2.8,6.2,-0.6
2008/3/2,3.1,6.0,0.6
2008/3/3,1.8,3.4,0.4
2008/3/4,1.6,5.0,0.0
2008/3/5,1.8,4.3,0.3
2008/3/6,0.4,3.4,-1.9
2008/3/7,-0.3,3.1,-2.4
2008/3/8,4.3,8.3,-1.7
2008/3/9,6.6,8.6,3.9
2008/3/10,7.5,13.2,1.0
2008/3/11,7.2,10.1,2.7
2008/3/12,4.0,9.4,-1.3
2008/3/13,6.7,11.5,1.7
2008/3/14,8.0,11.8,5.1
2008/3/15,7.0,9.2,5.4
2008/3/16,7.2,11.9,3.7
2008/3/17,7.3,9.8,2.9
2008/3/18,5.1,10.2,0.0
2008/3/19,8.1,13.6,2.2
2008/3/20,9.3,14.4,5.6
2008/3/21,9.1,16.7,3.3
2008/3/22,6.4,12.4,0.1
2008/3/23,10.4,19.4,1.3
2008/3/24,9.4,12.3,7.7
2008/3/25,10.8,17.2,7.5
2008/3/26,7.0,8.5,5.5
2008/3/27,6.4,10.6,3.3
2008/3/28,5.1,10.1,1.1
2008/3/29,4.6,6.2,2.8
2008/3/30,4.6,7.7,2.8
2008/3/31,5.2,9.0,2.5
2008/4/1,5.7,8.4,1.7
2008/4/2,8.7,12.4,4.3
2008/4/3,7.9,10.4,5.4
2008/4/4,8.7,11.8,6.3
2008/4/5,8.5,12.1,3.6
2008/4/6,7.1,12.7,1.3
2008/4/7,12.0,20.5,2.5
2008/4/8,13.6,18.2,8.2
2008/4/9,12.0,18.3,4.2
2008/4/10,12.3,16.7,8.0
2008/4/11,10.4,15.2,8.2
2008/4/12,7.1,8.5,4.8
2008/4/13,8.9,15.5,2.2
2008/4/14,9.4,12.8,6.7
2008/4/15,9.2,13.2,6.0
2008/4/16,12.4,19.8,5.0
2008/4/17,15.3,20.9,8.0
2008/4/18,15.3,17.0,13.3
2008/4/19,14.5,18.9,10.9
2008/4/20,16.5,24.1,10.2
2008/4/21,16.4,23.9,10.1
2008/4/22,12.7,17.2,7.3
2008/4/23,16.0,23.2,9.4
2008/4/24,13.5,17.2,9.8
2008/4/25,9.6,13.0,4.8
2008/4/26,11.0,19.2,2.3
2008/4/27,10.7,14.9,7.9
2008/4/28,10.3,13.6,6.8
2008/4/29,11.8,18.3,4.4
2008/4/30,16.0,22.8,8.5
2008/5/1,18.1,25.1,12.2
