ダウンロードした時刻：2019/10/10 16:09:00

,彦根,彦根,彦根
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2017/12/1,8.5,10.5,6.2
2017/12/2,7.5,10.9,4.3
2017/12/3,6.9,12.0,2.9
2017/12/4,6.6,9.6,2.5
2017/12/5,7.0,10.5,2.9
2017/12/6,5.1,9.3,1.7
2017/12/7,6.4,10.5,2.9
2017/12/8,5.9,7.8,4.5
2017/12/9,4.1,8.7,0.8
2017/12/10,6.5,11.9,1.0
2017/12/11,7.0,11.2,3.9
2017/12/12,3.7,6.4,2.0
2017/12/13,2.4,5.1,1.1
2017/12/14,2.9,5.8,0.4
2017/12/15,3.6,8.1,-0.3
2017/12/16,5.9,9.8,1.8
2017/12/17,2.7,5.3,1.3
2017/12/18,3.8,7.0,0.3
2017/12/19,4.3,9.5,1.9
2017/12/20,4.3,8.1,2.0
2017/12/21,4.4,7.4,1.9
2017/12/22,3.9,8.6,0.1
2017/12/23,4.8,9.8,0.1
2017/12/24,6.9,13.8,1.7
2017/12/25,6.7,10.2,4.1
2017/12/26,4.5,7.5,1.9
2017/12/27,2.0,3.7,1.0
2017/12/28,3.8,6.0,1.3
2017/12/29,4.5,6.8,2.2
2017/12/30,5.5,8.5,1.4
2017/12/31,4.0,6.9,0.7
2018/1/1,5.1,7.6,3.0
2018/1/2,5.1,7.6,2.2
2018/1/3,2.4,5.1,0.5
2018/1/4,2.7,5.3,0.4
2018/1/5,3.1,5.2,1.6
2018/1/6,3.6,5.6,2.1
2018/1/7,5.1,8.1,2.2
2018/1/8,5.6,7.5,2.2
2018/1/9,6.4,10.3,2.6
2018/1/10,4.0,8.6,0.9
2018/1/11,2.0,5.4,-1.0
2018/1/12,1.2,5.3,-2.5
2018/1/13,1.5,5.5,-2.2
2018/1/14,2.8,6.7,-0.8
2018/1/15,2.3,8.8,-2.5
2018/1/16,5.5,9.3,1.0
2018/1/17,8.2,10.0,6.5
2018/1/18,9.1,12.4,7.5
2018/1/19,7.3,10.6,2.5
2018/1/20,4.3,7.8,0.3
2018/1/21,4.9,9.9,0.8
2018/1/22,2.1,4.8,0.4
2018/1/23,3.9,9.5,0.9
2018/1/24,-0.2,2.8,-3.4
2018/1/25,-1.4,0.9,-2.9
2018/1/26,-0.9,0.2,-2.4
2018/1/27,0.6,3.0,-1.8
2018/1/28,0.3,2.8,-2.5
2018/1/29,2.3,5.0,-0.4
2018/1/30,0.8,3.4,-1.8
2018/1/31,1.8,6.4,-1.6
2018/2/1,1.7,3.0,0.6
2018/2/2,2.6,5.6,-0.1
2018/2/3,2.4,5.4,0.0
2018/2/4,2.1,5.9,-1.0
2018/2/5,-0.1,3.6,-2.0
2018/2/6,0.0,4.4,-4.2
2018/2/7,0.1,4.8,-3.2
2018/2/8,0.2,2.6,-2.2
2018/2/9,1.2,6.2,-3.6
2018/2/10,2.9,5.2,-0.3
2018/2/11,3.2,6.5,0.1
2018/2/12,1.5,5.8,-1.3
2018/2/13,2.3,5.8,-0.5
2018/2/14,4.5,10.3,-1.6
2018/2/15,6.4,8.2,4.7
2018/2/16,5.1,8.3,0.1
2018/2/17,2.4,5.1,-0.2
2018/2/18,1.9,4.9,-0.9
2018/2/19,2.9,7.1,-1.9
2018/2/20,6.4,10.1,2.5
2018/2/21,4.8,7.9,1.9
2018/2/22,3.8,8.3,0.5
2018/2/23,4.0,9.9,-0.9
2018/2/24,4.3,8.6,-0.5
2018/2/25,5.0,8.4,0.2
2018/2/26,6.4,12.0,1.9
2018/2/27,5.9,11.7,0.2
2018/2/28,7.7,13.1,1.8
2018/3/1,10.9,16.6,6.5
2018/3/2,5.2,7.7,1.1
2018/3/3,5.2,10.0,-0.7
2018/3/4,10.8,19.8,3.2
2018/3/5,10.4,13.8,5.9
2018/3/6,5.9,9.2,3.1
2018/3/7,5.1,8.4,0.6
2018/3/8,9.6,14.1,6.9
2018/3/9,6.7,10.9,3.4
2018/3/10,4.5,7.9,0.9
2018/3/11,4.8,10.7,-1.2
2018/3/12,7.4,12.4,4.0
2018/3/13,9.1,17.7,1.8
2018/3/14,12.2,20.5,5.5
2018/3/15,13.8,21.4,6.5
2018/3/16,8.4,13.8,3.7
2018/3/17,5.5,10.3,2.8
2018/3/18,8.7,16.6,1.3
2018/3/19,10.8,12.1,9.7
2018/3/20,7.5,10.0,5.2
2018/3/21,6.6,9.1,4.4
2018/3/22,8.1,11.4,6.3
2018/3/23,7.3,10.9,3.6
2018/3/24,7.6,13.7,1.0
2018/3/25,10.2,17.1,4.0
2018/3/26,11.1,18.5,5.0
2018/3/27,12.4,21.9,5.5
2018/3/28,13.6,22.0,7.4
2018/3/29,12.6,19.4,7.6
2018/3/30,10.2,14.2,6.0
2018/3/31,10.6,18.7,3.2
