ダウンロードした時刻：2019/10/10 15:51:55

,水戸,水戸,水戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,5.5,13.0,-0.5
1995/12/2,6.2,14.1,-1.2
1995/12/3,6.0,14.4,-1.6
1995/12/4,6.6,13.9,1.3
1995/12/5,5.8,13.1,0.7
1995/12/6,5.3,12.6,-1.8
1995/12/7,5.0,13.2,-1.9
1995/12/8,4.1,10.9,-2.8
1995/12/9,4.3,10.2,-0.6
1995/12/10,3.2,11.1,-3.5
1995/12/11,4.0,13.2,-3.3
1995/12/12,5.9,13.4,0.2
1995/12/13,5.5,12.7,-2.0
1995/12/14,4.7,12.7,-1.6
1995/12/15,6.2,15.3,-0.1
1995/12/16,3.8,9.2,-1.4
1995/12/17,2.7,10.5,-3.4
1995/12/18,2.1,9.5,-4.9
1995/12/19,4.0,9.2,0.0
1995/12/20,2.3,9.6,-3.9
1995/12/21,3.7,13.2,-3.1
1995/12/22,4.1,11.7,-3.4
1995/12/23,5.8,14.2,-1.4
1995/12/24,5.8,12.4,0.3
1995/12/25,0.6,5.8,-2.8
1995/12/26,-0.3,4.1,-5.6
1995/12/27,0.8,6.8,-5.1
1995/12/28,1.0,7.7,-6.2
1995/12/29,2.5,8.3,-1.5
1995/12/30,3.2,11.4,-4.1
1995/12/31,2.3,10.3,-4.5
1996/1/1,3.0,10.9,-2.6
1996/1/2,1.1,8.1,-5.6
1996/1/3,4.7,11.4,-2.2
1996/1/4,3.9,8.5,-1.3
1996/1/5,1.7,10.0,-5.5
1996/1/6,3.0,11.9,-3.5
1996/1/7,2.4,10.6,-5.4
1996/1/8,4.6,14.8,-1.8
1996/1/9,1.4,5.1,-1.7
1996/1/10,2.4,8.6,-5.8
1996/1/11,5.2,10.8,-0.2
1996/1/12,4.4,11.3,-3.1
1996/1/13,3.3,11.6,-4.0
1996/1/14,3.8,11.7,-4.5
1996/1/15,9.8,17.9,1.6
1996/1/16,9.8,14.6,4.0
1996/1/17,3.6,7.8,-1.4
1996/1/18,3.4,8.1,-0.4
1996/1/19,0.9,4.9,-3.4
1996/1/20,0.5,2.1,-2.1
1996/1/21,2.1,7.0,-2.6
1996/1/22,3.2,6.6,-1.0
1996/1/23,3.5,8.0,-0.3
1996/1/24,1.9,7.3,-1.5
1996/1/25,1.4,6.7,-4.3
1996/1/26,1.0,5.8,-2.5
1996/1/27,0.2,7.2,-6.9
1996/1/28,2.3,10.1,-6.2
1996/1/29,3.9,11.9,-4.0
1996/1/30,1.6,9.6,-3.4
1996/1/31,-0.8,5.8,-5.9
1996/2/1,-1.6,5.1,-6.8
1996/2/2,-2.8,3.6,-6.8
1996/2/3,-0.4,7.7,-8.9
1996/2/4,0.4,7.3,-7.4
1996/2/5,2.1,8.8,-2.8
1996/2/6,3.0,7.5,-1.5
1996/2/7,3.5,9.3,-1.3
1996/2/8,2.7,7.6,-1.5
1996/2/9,1.7,7.7,-2.8
1996/2/10,1.0,5.8,-2.8
1996/2/11,1.1,9.9,-6.9
1996/2/12,3.6,13.7,-4.1
1996/2/13,5.8,16.3,-2.6
1996/2/14,9.1,19.8,0.2
1996/2/15,7.5,10.3,4.6
1996/2/16,1.5,4.9,-0.2
1996/2/17,-0.7,0.0,-1.7
1996/2/18,0.5,2.7,-1.0
1996/2/19,0.0,4.8,-4.6
1996/2/20,-0.6,4.8,-6.4
1996/2/21,0.4,7.6,-5.1
1996/2/22,0.8,6.8,-6.7
1996/2/23,2.5,9.3,-4.0
1996/2/24,2.3,8.8,-3.2
1996/2/25,3.0,8.4,-2.9
1996/2/26,6.3,11.7,2.7
1996/2/27,5.5,8.5,3.7
1996/2/28,5.8,11.6,0.7
1996/2/29,5.2,10.5,-1.4
1996/3/1,6.5,11.4,3.9
1996/3/2,4.9,10.6,0.8
1996/3/3,2.4,9.0,-3.6
1996/3/4,4.2,11.9,-3.9
1996/3/5,2.8,7.7,-0.8
1996/3/6,2.7,9.0,-3.5
1996/3/7,4.8,10.3,-1.6
1996/3/8,4.1,6.9,1.4
1996/3/9,4.1,10.0,0.0
1996/3/10,4.5,10.5,-1.6
1996/3/11,3.7,8.0,-0.4
1996/3/12,3.6,8.2,0.4
1996/3/13,3.5,8.7,-2.3
1996/3/14,7.0,14.7,-0.6
1996/3/15,6.3,9.2,3.7
1996/3/16,9.1,15.2,4.8
1996/3/17,10.1,12.5,6.8
1996/3/18,8.2,14.8,4.1
1996/3/19,6.4,11.5,3.0
1996/3/20,4.8,9.3,1.0
1996/3/21,8.1,14.3,2.2
1996/3/22,9.9,15.4,6.8
1996/3/23,7.8,13.0,3.0
1996/3/24,5.2,8.9,0.2
1996/3/25,6.8,11.0,4.0
1996/3/26,8.0,14.8,1.6
1996/3/27,7.8,10.3,3.7
1996/3/28,9.0,14.0,6.1
1996/3/29,7.5,12.3,1.9
1996/3/30,11.6,17.0,6.6
1996/3/31,15.6,21.4,12.0
