ダウンロードした時刻：2019/10/10 15:34:40

,函館,函館,函館
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/12/1,-0.2,3.9,-3.1
2001/12/2,-1.3,1.8,-5.0
2001/12/3,-0.2,3.7,-4.5
2001/12/4,-1.5,1.0,-3.6
2001/12/5,-1.5,2.3,-3.6
2001/12/6,-0.8,1.2,-3.1
2001/12/7,-3.7,-1.8,-5.2
2001/12/8,-2.8,-0.8,-4.7
2001/12/9,-3.4,-0.7,-6.3
2001/12/10,-3.1,1.7,-7.8
2001/12/11,-3.2,-0.5,-6.0
2001/12/12,-2.5,1.0,-5.9
2001/12/13,2.2,5.3,-3.2
2001/12/14,-4.7,-0.3,-6.8
2001/12/15,-4.9,-3.4,-6.4
2001/12/16,-3.6,-2.7,-4.6
2001/12/17,-3.7,-0.8,-6.3
2001/12/18,-4.7,-2.2,-6.2
2001/12/19,-5.2,-2.6,-6.4
2001/12/20,-5.0,-3.3,-6.9
2001/12/21,-3.2,-1.0,-5.4
2001/12/22,-1.8,-0.4,-6.1
2001/12/23,-3.7,0.5,-8.7
2001/12/24,-1.8,1.5,-5.0
2001/12/25,-2.5,2.1,-6.9
2001/12/26,-2.3,2.1,-5.5
2001/12/27,-3.2,-0.3,-5.2
2001/12/28,-5.4,-3.8,-6.7
2001/12/29,-1.6,3.1,-6.5
2001/12/30,1.0,4.2,-3.6
2001/12/31,-4.3,-2.6,-5.9
2002/1/1,-3.5,-1.6,-6.1
2002/1/2,-5.7,-2.5,-8.7
2002/1/3,-5.0,-2.7,-9.2
2002/1/4,-1.6,1.0,-3.7
2002/1/5,-2.1,1.8,-5.7
2002/1/6,-1.1,3.8,-6.6
2002/1/7,0.3,5.3,-6.5
2002/1/8,3.8,6.4,-0.6
2002/1/9,-1.0,1.8,-2.8
2002/1/10,-0.7,1.2,-2.7
2002/1/11,-1.4,1.5,-3.8
2002/1/12,-1.3,2.0,-4.1
2002/1/13,-2.3,-0.2,-5.4
2002/1/14,-2.7,0.9,-8.4
2002/1/15,0.9,4.9,-1.9
2002/1/16,-0.6,2.1,-3.7
2002/1/17,-1.3,0.5,-3.5
2002/1/18,-3.0,0.3,-7.1
2002/1/19,-4.4,0.3,-8.1
2002/1/20,-3.1,1.4,-9.6
2002/1/21,5.0,8.4,0.6
2002/1/22,4.9,8.5,2.1
2002/1/23,0.1,2.2,-2.9
2002/1/24,-2.7,-1.3,-3.6
2002/1/25,-2.1,1.2,-6.3
2002/1/26,-1.7,1.8,-4.5
2002/1/27,0.1,1.0,-3.8
2002/1/28,-0.5,0.7,-2.7
2002/1/29,-1.3,3.1,-4.6
2002/1/30,-2.4,1.3,-7.1
2002/1/31,-2.3,2.1,-6.5
2002/2/1,-3.0,0.4,-5.6
2002/2/2,-0.6,3.5,-5.8
2002/2/3,-0.6,4.2,-4.9
2002/2/4,0.6,4.7,-5.8
2002/2/5,4.5,7.0,2.7
2002/2/6,3.4,7.7,0.3
2002/2/7,4.1,7.0,1.0
2002/2/8,3.9,7.4,1.4
2002/2/9,-4.6,2.5,-6.7
2002/2/10,-5.7,-3.5,-7.0
2002/2/11,-5.7,-3.4,-7.5
2002/2/12,-6.1,-4.1,-8.4
2002/2/13,-4.6,0.8,-10.2
2002/2/14,-4.7,0.5,-9.1
2002/2/15,-2.3,1.8,-7.4
2002/2/16,-0.9,3.6,-6.3
2002/2/17,2.9,6.1,-1.9
2002/2/18,1.7,6.1,-3.7
2002/2/19,0.2,3.1,-3.9
2002/2/20,1.7,5.1,-0.3
2002/2/21,1.0,5.8,-4.1
2002/2/22,2.4,4.7,0.4
2002/2/23,0.5,4.5,-2.4
2002/2/24,-0.4,2.9,-5.0
2002/2/25,2.4,7.2,-2.2
2002/2/26,3.6,8.2,0.0
2002/2/27,4.4,10.2,-0.7
2002/2/28,4.6,10.6,1.0
2002/3/1,3.3,9.6,-1.4
2002/3/2,-3.3,3.6,-8.5
2002/3/3,-4.9,-0.3,-9.2
2002/3/4,-1.0,1.8,-6.0
2002/3/5,4.2,8.5,0.4
2002/3/6,1.1,3.0,-0.1
2002/3/7,-0.2,1.6,-3.7
2002/3/8,-0.8,2.5,-4.6
2002/3/9,6.0,10.9,-1.3
2002/3/10,5.1,8.7,-1.4
2002/3/11,1.7,5.3,-2.2
2002/3/12,0.7,5.0,-2.5
2002/3/13,3.1,8.3,-4.0
2002/3/14,7.6,11.5,2.0
2002/3/15,5.9,9.2,2.2
2002/3/16,3.5,6.7,-1.2
2002/3/17,5.2,9.5,1.8
2002/3/18,2.5,7.5,-1.6
2002/3/19,2.6,8.2,-2.3
2002/3/20,4.6,10.0,0.5
2002/3/21,7.5,13.9,1.3
2002/3/22,5.4,7.3,1.6
2002/3/23,3.9,8.2,0.6
2002/3/24,0.4,4.5,-2.2
2002/3/25,2.9,8.3,-4.5
2002/3/26,8.1,13.2,2.2
2002/3/27,5.4,8.6,-0.3
2002/3/28,4.1,7.8,-1.0
2002/3/29,7.3,10.6,2.2
2002/3/30,7.1,12.9,3.5
2002/3/31,6.2,10.6,2.1
