ダウンロードした時刻：2019/10/10 15:53:39

,岐阜,岐阜,岐阜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/12/1,8.3,14.4,3.1
2013/12/2,8.5,14.1,4.1
2013/12/3,8.7,14.6,4.1
2013/12/4,8.7,15.1,3.5
2013/12/5,9.2,16.1,3.5
2013/12/6,8.7,12.9,4.5
2013/12/7,8.9,12.5,6.4
2013/12/8,8.5,13.1,3.9
2013/12/9,6.9,11.3,1.1
2013/12/10,9.4,14.3,5.9
2013/12/11,7.5,10.6,4.9
2013/12/12,6.0,9.3,3.0
2013/12/13,3.6,7.6,1.1
2013/12/14,4.0,8.7,0.8
2013/12/15,5.5,9.6,2.5
2013/12/16,6.4,9.4,3.8
2013/12/17,7.3,11.7,2.7
2013/12/18,6.3,7.3,5.4
2013/12/19,7.5,9.0,5.8
2013/12/20,5.1,8.6,2.1
2013/12/21,4.9,8.3,2.2
2013/12/22,5.4,8.3,1.9
2013/12/23,5.8,9.8,2.0
2013/12/24,4.9,10.9,-0.1
2013/12/25,5.0,10.0,0.3
2013/12/26,6.3,9.0,2.9
2013/12/27,5.8,10.9,1.5
2013/12/28,1.7,4.9,-0.2
2013/12/29,1.5,5.8,-2.0
2013/12/30,3.1,8.3,-2.1
2013/12/31,5.1,10.5,1.0
2014/1/1,5.2,9.4,2.2
2014/1/2,6.2,9.7,3.3
2014/1/3,5.3,10.1,0.3
2014/1/4,6.2,11.7,3.2
2014/1/5,4.3,8.8,0.1
2014/1/6,3.9,9.5,-1.4
2014/1/7,4.1,10.4,-2.3
2014/1/8,5.4,6.4,4.2
2014/1/9,5.7,11.2,1.1
2014/1/10,1.6,4.8,-0.9
2014/1/11,3.1,7.1,0.8
2014/1/12,4.4,8.8,1.2
2014/1/13,3.0,6.2,-1.0
2014/1/14,2.0,7.9,-3.0
2014/1/15,3.9,8.4,1.0
2014/1/16,4.6,10.2,0.0
2014/1/17,4.7,10.3,0.9
2014/1/18,3.6,8.6,-1.2
2014/1/19,2.5,5.5,-0.4
2014/1/20,2.3,7.3,-2.0
2014/1/21,3.5,7.3,0.6
2014/1/22,3.2,7.9,-0.8
2014/1/23,3.7,10.5,-2.1
2014/1/24,4.8,11.9,-1.7
2014/1/25,7.3,12.8,1.9
2014/1/26,6.2,11.3,1.2
2014/1/27,3.2,8.8,-1.5
2014/1/28,5.1,11.4,-0.9
2014/1/29,6.8,12.9,1.8
2014/1/30,4.5,6.4,2.3
2014/1/31,8.5,12.7,4.4
2014/2/1,6.8,13.7,0.1
2014/2/2,8.2,11.7,6.0
2014/2/3,10.0,12.8,6.2
2014/2/4,5.2,10.5,0.7
2014/2/5,0.8,3.9,-1.2
2014/2/6,1.3,4.0,-2.0
2014/2/7,3.4,8.6,-2.2
2014/2/8,1.8,5.5,0.3
2014/2/9,5.9,10.1,2.5
2014/2/10,4.0,9.1,0.4
2014/2/11,3.1,8.6,-0.4
2014/2/12,3.7,10.7,-2.3
2014/2/13,4.7,9.7,0.2
2014/2/14,1.6,3.5,0.3
2014/2/15,4.9,8.2,1.9
2014/2/16,6.2,10.2,2.9
2014/2/17,5.0,11.2,-0.3
2014/2/18,3.8,7.6,2.1
2014/2/19,4.2,9.6,1.2
2014/2/20,4.2,11.1,-1.4
2014/2/21,4.2,9.0,0.3
2014/2/22,4.0,9.0,-1.6
2014/2/23,5.1,11.8,-0.7
2014/2/24,5.3,11.9,-1.4
2014/2/25,7.6,13.0,2.5
2014/2/26,9.1,15.2,1.3
2014/2/27,10.1,11.4,8.1
2014/2/28,12.4,18.0,8.0
2014/3/1,10.7,13.9,8.9
2014/3/2,9.9,15.5,7.2
2014/3/3,7.7,11.5,2.2
2014/3/4,6.3,11.0,0.2
2014/3/5,7.9,11.6,4.2
2014/3/6,3.5,7.3,0.9
2014/3/7,2.8,7.1,-1.4
2014/3/8,4.2,9.2,0.7
2014/3/9,5.7,11.7,0.8
2014/3/10,1.7,4.6,-0.7
2014/3/11,4.5,10.6,-1.9
2014/3/12,9.1,16.9,1.2
2014/3/13,9.5,13.2,6.9
2014/3/14,7.2,10.4,3.9
2014/3/15,6.6,11.4,1.7
2014/3/16,9.0,16.7,1.5
2014/3/17,11.5,19.2,2.9
2014/3/18,10.9,12.3,8.3
2014/3/19,10.5,15.8,5.4
2014/3/20,9.5,11.6,7.4
2014/3/21,6.2,9.3,3.9
2014/3/22,7.0,11.9,3.1
2014/3/23,10.0,17.3,1.9
2014/3/24,12.6,20.4,4.5
2014/3/25,14.3,19.4,8.3
2014/3/26,12.0,13.9,10.3
2014/3/27,14.6,20.1,9.9
2014/3/28,14.3,21.9,6.5
2014/3/29,15.2,20.3,9.1
2014/3/30,15.0,20.3,12.0
2014/3/31,13.3,18.1,10.6
