ダウンロードした時刻：2019/10/10 15:47:10

,高田,高田,高田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2003/12/1,11.4,12.9,10.1
2003/12/2,11.5,14.4,9.1
2003/12/3,10.7,14.9,7.5
2003/12/4,4.9,8.7,3.7
2003/12/5,5.6,11.1,1.5
2003/12/6,10.3,14.3,2.9
2003/12/7,5.2,12.3,1.5
2003/12/8,5.4,9.6,1.5
2003/12/9,5.1,6.0,3.5
2003/12/10,3.9,6.3,1.5
2003/12/11,5.2,8.9,0.3
2003/12/12,7.4,10.7,5.1
2003/12/13,6.5,10.9,2.8
2003/12/14,5.9,12.4,1.2
2003/12/15,7.9,13.3,1.6
2003/12/16,5.2,8.2,2.7
2003/12/17,6.7,12.2,1.1
2003/12/18,5.9,8.6,3.3
2003/12/19,3.7,8.2,0.3
2003/12/20,2.0,5.2,-1.1
2003/12/21,4.2,7.3,1.2
2003/12/22,7.7,12.6,2.1
2003/12/23,7.2,12.7,3.7
2003/12/24,7.6,14.1,4.7
2003/12/25,9.4,15.5,4.1
2003/12/26,3.0,7.9,0.2
2003/12/27,1.5,3.5,0.2
2003/12/28,4.2,8.5,1.5
2003/12/29,7.4,13.4,3.6
2003/12/30,5.6,8.1,1.3
2003/12/31,6.1,9.6,1.7
2004/1/1,6.7,10.7,4.4
2004/1/2,7.2,11.0,3.4
2004/1/3,6.6,10.4,3.8
2004/1/4,4.8,8.2,1.1
2004/1/5,1.0,2.3,-0.7
2004/1/6,1.5,5.8,-1.0
2004/1/7,4.1,9.4,-1.1
2004/1/8,1.8,3.5,-0.3
2004/1/9,2.6,6.8,-1.1
2004/1/10,3.8,9.2,-2.9
2004/1/11,2.0,3.1,-0.1
2004/1/12,2.4,7.2,-0.7
2004/1/13,4.6,9.2,-0.3
2004/1/14,0.8,3.0,-1.1
2004/1/15,1.5,2.8,0.0
2004/1/16,0.4,2.6,-3.1
2004/1/17,0.1,4.2,-3.7
2004/1/18,1.8,6.8,-3.2
2004/1/19,5.8,9.2,1.3
2004/1/20,4.4,9.3,1.4
2004/1/21,3.5,8.7,-1.2
2004/1/22,-0.1,4.7,-3.1
2004/1/23,0.5,3.1,-2.6
2004/1/24,0.8,3.1,-0.2
2004/1/25,-0.2,0.4,-1.6
2004/1/26,0.3,4.4,-1.9
2004/1/27,-0.1,0.9,-2.2
2004/1/28,3.6,7.6,-0.2
2004/1/29,2.2,3.9,0.5
2004/1/30,1.7,3.8,0.5
2004/1/31,2.5,4.9,0.0
2004/2/1,2.1,7.3,-1.5
2004/2/2,5.8,10.9,-2.6
2004/2/3,2.7,6.5,0.8
2004/2/4,1.6,4.6,0.1
2004/2/5,1.3,3.0,-0.9
2004/2/6,1.1,3.3,-0.8
2004/2/7,0.3,2.1,-1.0
2004/2/8,1.4,6.5,-2.7
2004/2/9,1.0,2.2,0.3
2004/2/10,0.6,4.5,-3.3
2004/2/11,1.5,7.9,-5.8
2004/2/12,3.4,6.7,0.8
2004/2/13,3.2,7.0,0.3
2004/2/14,7.6,13.6,-0.8
2004/2/15,3.7,6.4,0.4
2004/2/16,2.3,5.2,-1.0
2004/2/17,3.5,7.9,-1.3
2004/2/18,4.7,8.1,-0.2
2004/2/19,7.8,13.7,1.6
2004/2/20,6.9,12.7,2.0
2004/2/21,8.8,16.5,-0.3
2004/2/22,14.6,21.9,3.0
2004/2/23,4.9,12.5,2.1
2004/2/24,4.0,8.8,-0.7
2004/2/25,7.8,15.2,1.1
2004/2/26,6.0,13.0,1.5
2004/2/27,1.3,3.8,-0.9
2004/2/28,4.8,11.5,0.1
2004/2/29,7.1,10.5,2.9
2004/3/1,2.2,4.8,0.8
2004/3/2,1.9,8.7,-1.2
2004/3/3,-0.1,1.9,-1.4
2004/3/4,-0.3,4.5,-2.6
2004/3/5,0.4,5.2,-4.7
2004/3/6,3.2,8.5,-1.9
2004/3/7,0.8,3.1,-0.9
2004/3/8,2.2,6.8,-1.1
2004/3/9,5.6,11.7,0.5
2004/3/10,10.3,17.9,0.0
2004/3/11,10.1,18.7,4.8
2004/3/12,7.2,11.6,3.5
2004/3/13,4.2,14.5,0.7
2004/3/14,5.0,11.0,1.4
2004/3/15,5.1,10.8,1.0
2004/3/16,8.9,19.2,-0.4
2004/3/17,17.1,25.4,5.0
2004/3/18,2.8,9.7,0.1
2004/3/19,3.3,9.5,-1.0
2004/3/20,5.3,12.0,-1.3
2004/3/21,6.4,13.4,0.1
2004/3/22,5.2,10.2,3.0
2004/3/23,6.5,12.2,3.2
2004/3/24,9.0,17.3,-0.1
2004/3/25,9.1,13.3,5.4
2004/3/26,7.7,11.3,4.5
2004/3/27,6.5,11.2,2.5
2004/3/28,9.6,18.3,0.3
2004/3/29,13.9,21.5,3.4
2004/3/30,13.8,23.2,8.0
2004/3/31,10.0,13.7,7.0
