ダウンロードした時刻：2019/10/10 16:26:35

,種子島,種子島,種子島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/12/1,13.1,16.2,11.0
1989/12/2,15.6,19.1,13.1
1989/12/3,16.4,19.6,11.6
1989/12/4,17.7,20.7,13.4
1989/12/5,18.5,20.9,16.9
1989/12/6,17.9,20.2,16.4
1989/12/7,18.2,21.8,15.7
1989/12/8,13.5,16.4,11.8
1989/12/9,12.1,14.7,7.5
1989/12/10,12.2,15.7,8.8
1989/12/11,14.6,19.2,7.5
1989/12/12,16.1,19.3,10.8
1989/12/13,15.6,18.5,12.0
1989/12/14,13.9,17.2,10.3
1989/12/15,12.0,15.4,8.3
1989/12/16,14.5,17.1,12.2
1989/12/17,15.1,17.8,12.6
1989/12/18,14.7,18.0,11.7
1989/12/19,13.9,16.5,12.1
1989/12/20,13.4,17.3,9.8
1989/12/21,15.8,20.0,10.7
1989/12/22,14.7,17.1,13.0
1989/12/23,14.7,16.7,13.4
1989/12/24,14.5,16.3,13.5
1989/12/25,14.6,16.9,12.5
1989/12/26,14.1,14.8,13.2
1989/12/27,10.9,13.7,9.0
1989/12/28,10.7,13.8,9.1
1989/12/29,11.4,13.4,9.2
1989/12/30,10.7,13.6,8.5
1989/12/31,9.7,11.2,8.8
1990/1/1,10.6,12.7,6.8
1990/1/2,11.8,15.2,9.2
1990/1/3,10.0,12.0,8.8
1990/1/4,9.4,11.2,8.3
1990/1/5,11.6,15.3,8.9
1990/1/6,12.6,16.7,9.4
1990/1/7,10.1,13.5,7.8
1990/1/8,13.5,16.8,8.3
1990/1/9,16.7,18.7,13.9
1990/1/10,15.9,20.4,12.8
1990/1/11,13.5,15.7,10.6
1990/1/12,14.3,17.2,12.7
1990/1/13,10.5,12.9,7.5
1990/1/14,10.3,13.0,5.3
1990/1/15,10.9,13.5,6.4
1990/1/16,10.5,13.1,8.4
1990/1/17,9.8,12.6,5.5
1990/1/18,15.2,19.3,10.0
1990/1/19,14.1,17.9,11.5
1990/1/20,9.2,11.6,7.8
1990/1/21,9.7,12.4,6.8
1990/1/22,11.3,12.4,8.0
1990/1/23,6.7,9.8,4.5
1990/1/24,5.8,8.8,1.2
1990/1/25,6.3,8.0,5.1
1990/1/26,7.7,10.5,5.7
1990/1/27,8.3,9.5,7.2
1990/1/28,13.0,15.7,8.5
1990/1/29,17.3,20.5,15.6
1990/1/30,14.9,17.3,13.9
1990/1/31,14.0,15.2,12.7
1990/2/1,11.5,13.1,9.1
1990/2/2,12.2,13.8,9.2
1990/2/3,13.8,15.4,12.6
1990/2/4,13.0,15.1,11.4
1990/2/5,13.4,15.8,10.7
1990/2/6,13.9,14.7,12.9
1990/2/7,14.4,17.9,11.2
1990/2/8,12.8,13.7,11.2
1990/2/9,13.6,17.4,10.7
1990/2/10,16.5,18.8,11.9
1990/2/11,15.6,19.5,12.9
1990/2/12,13.6,16.6,10.6
1990/2/13,12.7,15.7,8.5
1990/2/14,14.1,16.6,11.6
1990/2/15,15.4,18.5,13.8
1990/2/16,14.1,16.6,12.3
1990/2/17,13.0,15.6,10.8
1990/2/18,16.8,19.4,12.6
1990/2/19,17.3,20.1,15.3
1990/2/20,15.3,18.4,13.1
1990/2/21,15.6,18.1,11.2
1990/2/22,17.5,19.6,15.5
1990/2/23,19.2,22.7,17.8
1990/2/24,15.9,18.4,14.2
1990/2/25,15.4,18.3,14.1
1990/2/26,13.9,15.0,12.3
1990/2/27,15.0,18.6,13.1
1990/2/28,13.7,14.8,12.4
1990/3/1,15.2,16.8,14.4
1990/3/2,15.8,19.8,13.9
1990/3/3,14.5,17.3,12.3
1990/3/4,13.3,16.4,10.7
1990/3/5,12.9,15.7,11.2
1990/3/6,12.7,15.3,10.9
1990/3/7,12.6,15.9,9.3
1990/3/8,11.4,15.2,7.6
1990/3/9,13.6,18.1,10.8
1990/3/10,14.3,18.2,11.3
1990/3/11,16.9,20.7,11.6
1990/3/12,14.5,18.3,11.5
1990/3/13,12.8,18.2,6.1
1990/3/14,16.6,19.1,11.4
1990/3/15,17.0,19.7,13.5
1990/3/16,14.9,17.9,13.0
1990/3/17,14.4,16.6,11.5
1990/3/18,13.6,16.3,10.1
1990/3/19,12.9,17.7,7.5
1990/3/20,15.5,18.7,13.2
1990/3/21,17.2,21.5,13.5
1990/3/22,17.7,22.0,13.1
1990/3/23,18.6,22.9,15.2
1990/3/24,20.5,23.4,18.1
1990/3/25,13.7,18.4,11.9
1990/3/26,14.7,16.9,13.2
1990/3/27,16.5,19.5,13.5
1990/3/28,18.9,22.2,16.7
1990/3/29,17.8,20.4,16.8
1990/3/30,16.7,20.1,15.1
1990/3/31,16.4,18.7,15.0
