ダウンロードした時刻：2017/07/24 15:43:47

,浜田,浜田,浜田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2007/1/1,8.1,12.9,1.9
2007/1/2,9.6,13.0,7.3
2007/1/3,8.9,13.8,4.6
2007/1/4,7.3,12.7,3.7
2007/1/5,6.7,12.5,2.1
2007/1/6,6.9,11.4,2.4
2007/1/7,6.4,8.4,1.7
2007/1/8,6.8,8.0,6.1
2007/1/9,7.3,10.4,3.7
2007/1/10,6.9,9.7,4.6
2007/1/11,6.8,10.0,2.0
2007/1/12,7.1,8.8,1.9
2007/1/13,6.0,7.5,5.0
2007/1/14,5.7,9.9,2.2
2007/1/15,6.2,11.7,1.4
2007/1/16,8.6,11.7,6.7
2007/1/17,9.1,10.7,7.4
2007/1/18,8.9,10.4,7.7
2007/1/19,7.3,11.9,3.5
2007/1/20,7.3,12.2,3.9
2007/1/21,6.5,12.2,2.6
2007/1/22,6.4,10.9,2.4
2007/1/23,6.4,10.9,2.5
2007/1/24,5.7,10.5,2.4
2007/1/25,7.1,12.0,3.1
2007/1/26,8.0,12.1,4.4
2007/1/27,5.6,8.3,2.2
2007/1/28,3.8,8.0,1.5
2007/1/29,5.0,9.9,1.3
2007/1/30,6.8,11.3,0.7
2007/1/31,5.9,9.8,4.5
2007/2/1,4.5,6.3,1.2
2007/2/2,3.3,6.9,0.3
2007/2/3,6.8,11.3,0.8
2007/2/4,8.9,12.4,3.8
2007/2/5,9.4,15.1,2.4
2007/2/6,12.0,16.2,6.8
2007/2/7,9.3,16.2,5.2
2007/2/8,11.1,16.9,5.6
2007/2/9,11.8,14.3,10.4
2007/2/10,9.7,11.0,7.7
2007/2/11,7.8,10.0,5.6
2007/2/12,8.4,13.5,4.5
2007/2/13,9.4,15.2,3.6
2007/2/14,13.2,19.5,6.0
2007/2/15,6.7,8.7,4.7
2007/2/16,5.9,11.7,1.4
2007/2/17,5.8,7.5,1.8
2007/2/18,8.3,10.8,5.1
2007/2/19,7.7,13.5,3.4
2007/2/20,8.5,15.1,2.8
2007/2/21,8.3,15.0,3.5
2007/2/22,10.9,19.6,2.7
2007/2/23,10.3,13.5,7.3
2007/2/24,6.8,12.1,2.3
2007/2/25,5.6,11.7,1.9
2007/2/26,6.8,14.3,-0.2
2007/2/27,9.1,15.6,3.4
2007/2/28,7.4,12.0,3.0
2007/3/1,7.3,15.5,-0.4
2007/3/2,11.3,17.4,5.3
2007/3/3,13.9,18.0,10.3
2007/3/4,17.0,23.7,11.5
2007/3/5,12.7,20.4,9.0
2007/3/6,3.9,9.1,2.6
2007/3/7,4.3,5.9,2.7
2007/3/8,5.1,7.8,2.4
2007/3/9,4.8,9.1,1.3
2007/3/10,7.0,12.6,0.4
2007/3/11,6.5,10.5,4.2
2007/3/12,6.1,9.6,2.3
2007/3/13,8.0,12.2,2.3
2007/3/14,7.5,14.4,1.5
2007/3/15,5.5,10.5,3.5
2007/3/16,7.1,13.9,2.8
2007/3/17,6.6,12.3,2.5
2007/3/18,6.2,11.8,1.7
2007/3/19,5.3,12.0,0.0
2007/3/20,5.8,11.8,2.0
2007/3/21,7.6,14.9,0.8
2007/3/22,10.4,16.2,4.8
2007/3/23,11.7,17.3,5.8
2007/3/24,15.8,20.3,10.0
2007/3/25,13.3,17.5,8.9
2007/3/26,14.2,17.5,9.9
2007/3/27,13.4,17.2,9.6
2007/3/28,15.3,18.7,9.8
2007/3/29,15.0,20.7,10.8
2007/3/30,11.6,21.5,6.8
2007/3/31,16.5,25.8,5.9
2007/4/1,14.3,16.4,12.3
2007/4/2,12.6,16.4,9.6
2007/4/3,9.2,13.6,5.6
2007/4/4,8.1,10.5,5.0
2007/4/5,8.3,13.9,2.8
2007/4/6,10.1,16.1,4.5
2007/4/7,11.5,17.5,6.3
2007/4/8,11.5,17.1,6.6
2007/4/9,11.2,18.0,6.1
2007/4/10,11.4,18.4,3.9
2007/4/11,11.5,18.0,5.9
2007/4/12,13.1,20.6,6.2
2007/4/13,16.3,22.6,10.1
2007/4/14,13.5,17.9,8.6
2007/4/15,13.3,19.1,7.7
2007/4/16,11.0,16.9,8.9
2007/4/17,11.3,15.2,8.6
2007/4/18,9.3,12.6,4.9
2007/4/19,10.5,17.2,3.4
2007/4/20,16.5,24.8,6.6
2007/4/21,21.2,25.0,18.1
2007/4/22,17.7,22.0,12.5
2007/4/23,13.1,17.9,8.3
2007/4/24,12.8,17.5,6.3
2007/4/25,15.4,17.7,13.1
2007/4/26,16.2,20.4,10.4
2007/4/27,15.7,19.7,7.7
2007/4/28,16.6,20.3,9.7
2007/4/29,15.2,19.8,9.3
2007/4/30,18.5,24.4,11.2
2007/5/1,16.5,22.1,12.5
