ダウンロードした時刻：2019/10/10 15:32:53

,室蘭,室蘭,室蘭
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,-2.3,-0.5,-3.6
1981/12/2,-1.7,0.9,-3.3
1981/12/3,-0.8,2.0,-3.9
1981/12/4,3.3,5.0,1.8
1981/12/5,2.8,6.3,-0.5
1981/12/6,0.6,1.6,-0.8
1981/12/7,0.9,4.5,-2.0
1981/12/8,0.4,1.6,-0.6
1981/12/9,0.5,1.5,-0.6
1981/12/10,1.4,3.0,-0.4
1981/12/11,5.4,7.3,2.5
1981/12/12,5.9,8.2,3.1
1981/12/13,-0.2,3.1,-2.1
1981/12/14,-2.5,-1.1,-3.9
1981/12/15,2.9,5.5,-1.2
1981/12/16,2.0,4.4,0.0
1981/12/17,2.1,2.9,-0.2
1981/12/18,0.7,2.8,-0.8
1981/12/19,3.9,5.1,2.7
1981/12/20,2.1,5.2,0.4
1981/12/21,3.0,4.2,1.1
1981/12/22,5.5,7.6,2.7
1981/12/23,5.6,8.1,0.6
1981/12/24,-4.0,0.6,-5.9
1981/12/25,-0.6,4.0,-4.9
1981/12/26,3.0,4.9,-0.8
1981/12/27,4.1,6.2,0.7
1981/12/28,1.2,5.0,-2.4
1981/12/29,1.6,4.2,-2.0
1981/12/30,0.6,2.8,-1.5
1981/12/31,-0.6,1.3,-2.1
1982/1/1,0.0,1.4,-1.7
1982/1/2,-3.2,-0.2,-5.0
1982/1/3,-0.7,1.8,-4.2
1982/1/4,4.9,6.6,1.1
1982/1/5,0.1,4.7,-3.7
1982/1/6,-2.2,-0.5,-4.7
1982/1/7,-4.3,-0.7,-6.6
1982/1/8,-0.8,2.6,-5.8
1982/1/9,2.0,3.8,-0.8
1982/1/10,-1.6,0.6,-3.5
1982/1/11,1.3,4.5,-3.0
1982/1/12,2.4,7.5,-4.0
1982/1/13,-5.3,-3.6,-6.6
1982/1/14,-5.9,-4.2,-7.1
1982/1/15,-7.3,-6.0,-8.4
1982/1/16,-5.3,-3.1,-8.2
1982/1/17,-3.8,-1.3,-5.3
1982/1/18,-1.9,1.9,-4.0
1982/1/19,-1.8,0.2,-4.1
1982/1/20,-3.9,-0.9,-6.0
1982/1/21,-1.1,2.0,-4.2
1982/1/22,-2.7,-1.5,-4.3
1982/1/23,-2.4,-0.9,-4.4
1982/1/24,-1.0,0.1,-2.6
1982/1/25,-3.1,-0.9,-6.4
1982/1/26,-4.4,-1.8,-7.5
1982/1/27,-3.6,-1.7,-5.2
1982/1/28,-2.3,0.2,-4.5
1982/1/29,-2.6,-0.6,-4.6
1982/1/30,-4.6,-3.8,-5.2
1982/1/31,-3.3,-1.4,-5.1
1982/2/1,-6.3,-4.6,-8.5
1982/2/2,-5.7,-3.6,-8.5
1982/2/3,-1.6,1.5,-4.8
1982/2/4,-7.5,-4.6,-9.2
1982/2/5,-6.9,-4.5,-9.3
1982/2/6,-5.7,-4.0,-7.0
1982/2/7,-5.7,-4.0,-7.3
1982/2/8,-6.5,-5.0,-7.7
1982/2/9,-6.2,-4.5,-8.0
1982/2/10,-4.7,-2.7,-6.9
1982/2/11,-3.3,-2.2,-5.2
1982/2/12,-1.8,-0.3,-4.0
1982/2/13,-2.3,0.2,-5.6
1982/2/14,-2.9,-1.3,-6.4
1982/2/15,-2.4,-1.0,-3.9
1982/2/16,-1.7,-0.6,-3.3
1982/2/17,-0.9,0.8,-2.2
1982/2/18,-0.8,0.9,-2.4
1982/2/19,0.4,2.2,-2.8
1982/2/20,0.6,1.3,-0.4
1982/2/21,1.2,3.0,-0.6
1982/2/22,-0.6,2.8,-3.2
1982/2/23,-2.5,-0.8,-4.2
1982/2/24,-3.1,-0.7,-5.1
1982/2/25,-4.9,-3.4,-6.1
1982/2/26,-4.2,-2.9,-6.5
1982/2/27,0.8,2.7,-3.0
1982/2/28,2.1,4.3,-0.6
1982/3/1,1.7,3.6,0.3
1982/3/2,0.7,3.7,-1.3
1982/3/3,-0.1,1.9,-2.4
1982/3/4,1.8,4.8,-0.4
1982/3/5,1.4,3.2,0.6
1982/3/6,-2.8,2.1,-4.3
1982/3/7,-4.0,-2.3,-5.0
1982/3/8,-1.4,1.1,-4.3
1982/3/9,-0.5,2.7,-2.9
1982/3/10,1.7,4.8,-2.4
1982/3/11,0.8,2.4,-1.0
1982/3/12,0.6,3.6,-2.8
1982/3/13,1.2,5.0,-1.7
1982/3/14,1.5,5.2,-2.7
1982/3/15,2.4,3.9,1.2
1982/3/16,2.9,6.1,0.6
1982/3/17,0.3,3.1,-0.9
1982/3/18,0.3,3.1,-1.7
1982/3/19,0.2,2.1,-1.2
1982/3/20,0.3,2.7,-1.9
1982/3/21,0.4,1.1,-0.1
1982/3/22,1.1,2.3,-0.2
1982/3/23,0.9,2.6,-0.9
1982/3/24,0.5,2.4,-0.4
1982/3/25,0.3,2.1,-0.8
1982/3/26,-0.1,2.0,-1.3
1982/3/27,0.0,2.3,-1.6
1982/3/28,1.4,4.5,-1.8
1982/3/29,4.7,7.4,0.4
1982/3/30,7.1,10.7,3.8
1982/3/31,4.9,8.4,2.3
