ダウンロードした時刻：2019/10/10 16:24:54

,鹿児島,鹿児島,鹿児島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,9.0,16.2,2.8
1988/12/2,9.9,17.4,3.9
1988/12/3,10.3,17.0,5.2
1988/12/4,10.4,15.0,4.9
1988/12/5,7.6,11.3,2.6
1988/12/6,6.5,14.4,0.2
1988/12/7,9.1,17.9,2.5
1988/12/8,12.1,19.9,5.2
1988/12/9,10.4,13.1,7.2
1988/12/10,7.8,11.5,4.7
1988/12/11,8.3,14.0,4.9
1988/12/12,8.7,16.1,2.5
1988/12/13,11.4,18.9,5.7
1988/12/14,10.3,17.0,5.5
1988/12/15,6.7,9.5,4.1
1988/12/16,4.1,6.7,1.7
1988/12/17,5.0,10.3,0.8
1988/12/18,6.9,13.9,0.7
1988/12/19,10.6,18.5,4.0
1988/12/20,11.6,17.1,6.3
1988/12/21,11.6,16.1,6.9
1988/12/22,8.9,17.0,2.3
1988/12/23,10.9,16.8,5.0
1988/12/24,13.1,18.5,8.2
1988/12/25,10.8,14.4,6.8
1988/12/26,7.4,14.4,1.9
1988/12/27,8.2,12.7,2.8
1988/12/28,8.9,13.8,4.3
1988/12/29,8.5,13.4,2.4
1988/12/30,11.4,17.0,6.3
1988/12/31,13.4,15.9,8.9
1989/1/1,10.0,14.2,3.6
1989/1/2,8.0,15.5,1.1
1989/1/3,9.5,13.1,5.1
1989/1/4,8.5,15.8,2.6
1989/1/5,9.8,14.9,4.9
1989/1/6,13.7,16.3,10.5
1989/1/7,17.3,19.1,14.2
1989/1/8,17.4,19.7,14.5
1989/1/9,14.8,19.5,11.8
1989/1/10,13.2,18.4,8.2
1989/1/11,14.0,16.9,10.7
1989/1/12,13.3,16.7,9.5
1989/1/13,9.9,12.2,7.8
1989/1/14,8.9,10.6,7.7
1989/1/15,8.1,12.3,5.1
1989/1/16,9.8,15.3,4.8
1989/1/17,12.3,17.6,6.7
1989/1/18,16.9,20.6,12.9
1989/1/19,18.6,22.3,14.3
1989/1/20,14.4,21.0,9.5
1989/1/21,11.2,17.1,5.9
1989/1/22,11.6,12.6,10.3
1989/1/23,12.2,14.5,10.7
1989/1/24,9.2,12.8,4.5
1989/1/25,8.6,14.3,2.5
1989/1/26,11.9,15.9,9.1
1989/1/27,6.1,11.0,2.2
1989/1/28,3.6,8.2,-0.1
1989/1/29,5.0,11.4,-0.1
1989/1/30,7.5,14.8,0.6
1989/1/31,9.3,12.6,4.9
1989/2/1,7.8,10.6,5.7
1989/2/2,4.8,7.3,2.6
1989/2/3,4.7,11.5,-1.1
1989/2/4,6.7,13.4,0.6
1989/2/5,9.2,15.6,1.9
1989/2/6,9.6,13.9,5.6
1989/2/7,12.1,17.1,4.6
1989/2/8,14.6,16.7,13.1
1989/2/9,10.5,13.9,9.1
1989/2/10,6.5,9.8,4.3
1989/2/11,7.4,11.1,3.0
1989/2/12,8.1,13.6,3.3
1989/2/13,7.5,11.7,3.6
1989/2/14,9.1,15.0,1.9
1989/2/15,14.2,16.7,9.8
1989/2/16,18.2,20.1,16.6
1989/2/17,18.6,20.5,16.6
1989/2/18,14.9,19.2,10.4
1989/2/19,11.0,17.1,6.6
1989/2/20,12.6,18.0,6.6
1989/2/21,12.5,13.9,11.0
1989/2/22,11.7,16.6,8.4
1989/2/23,12.5,13.8,8.1
1989/2/24,14.0,16.5,11.8
1989/2/25,14.0,19.7,9.4
1989/2/26,10.6,16.4,6.2
1989/2/27,11.5,17.8,2.9
1989/2/28,15.4,21.2,9.5
1989/3/1,16.0,23.4,10.5
1989/3/2,16.4,19.1,14.5
1989/3/3,19.3,23.3,15.9
1989/3/4,14.5,19.9,10.2
1989/3/5,9.6,14.0,7.6
1989/3/6,8.0,11.0,6.4
1989/3/7,5.6,8.9,3.2
1989/3/8,6.2,10.7,2.5
1989/3/9,7.0,12.5,2.0
1989/3/10,7.6,14.6,0.7
1989/3/11,9.6,15.9,1.2
1989/3/12,14.5,18.8,9.2
1989/3/13,15.3,17.5,13.6
1989/3/14,14.5,19.5,10.1
1989/3/15,11.7,17.6,6.3
1989/3/16,12.7,19.6,6.2
1989/3/17,11.7,16.8,8.0
1989/3/18,11.7,16.8,4.1
1989/3/19,11.2,12.9,9.5
1989/3/20,13.7,16.9,9.1
1989/3/21,12.2,20.3,5.6
1989/3/22,12.4,18.9,4.9
1989/3/23,13.1,16.8,7.9
1989/3/24,14.6,16.6,12.0
1989/3/25,11.8,14.6,9.6
1989/3/26,12.1,12.9,9.6
1989/3/27,12.8,17.4,10.1
1989/3/28,9.3,14.4,6.3
1989/3/29,10.7,16.7,4.3
1989/3/30,12.3,18.3,4.1
1989/3/31,15.0,20.8,10.6
