ダウンロードした時刻：2019/10/10 15:43:26

,新潟,新潟,新潟
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/12/1,6.5,8.2,4.4
1983/12/2,10.2,13.4,5.2
1983/12/3,6.3,11.4,3.9
1983/12/4,5.1,7.1,3.9
1983/12/5,4.8,6.8,1.9
1983/12/6,5.8,7.1,3.9
1983/12/7,5.3,7.7,2.7
1983/12/8,6.7,10.4,3.3
1983/12/9,6.8,10.0,3.3
1983/12/10,8.4,12.8,4.3
1983/12/11,7.5,11.4,5.4
1983/12/12,4.9,7.0,2.8
1983/12/13,6.8,12.0,2.5
1983/12/14,5.0,9.4,2.6
1983/12/15,3.3,8.5,0.2
1983/12/16,1.5,3.2,-0.9
1983/12/17,0.0,2.3,-1.4
1983/12/18,1.8,3.0,-1.3
1983/12/19,1.5,4.0,0.5
1983/12/20,1.2,3.1,-0.5
1983/12/21,1.7,4.7,-0.4
1983/12/22,3.3,6.5,-1.0
1983/12/23,4.2,8.5,1.1
1983/12/24,1.2,2.7,-0.3
1983/12/25,1.3,3.5,-0.6
1983/12/26,1.7,3.6,-0.7
1983/12/27,0.9,3.2,-1.9
1983/12/28,0.2,4.1,-5.1
1983/12/29,0.8,3.7,-1.9
1983/12/30,0.9,4.7,-1.5
1983/12/31,-0.1,4.5,-6.8
1984/1/1,2.5,4.2,0.5
1984/1/2,1.3,3.3,0.4
1984/1/3,2.6,5.0,0.1
1984/1/4,3.7,6.4,1.3
1984/1/5,0.8,3.1,-0.9
1984/1/6,2.0,3.6,-0.2
1984/1/7,0.0,2.2,-3.5
1984/1/8,-1.0,2.0,-3.6
1984/1/9,0.5,1.5,-1.3
1984/1/10,2.5,4.8,0.5
1984/1/11,0.9,2.7,-1.0
1984/1/12,0.2,2.5,-2.8
1984/1/13,0.8,3.9,-2.8
1984/1/14,1.7,4.3,-0.7
1984/1/15,1.6,7.2,-1.8
1984/1/16,-2.1,-0.4,-3.5
1984/1/17,-2.2,-0.9,-3.6
1984/1/18,-1.1,-0.2,-2.3
1984/1/19,-1.0,0.3,-2.3
1984/1/20,-1.2,1.6,-2.8
1984/1/21,-1.5,2.5,-8.3
1984/1/22,2.0,3.8,-0.3
1984/1/23,2.6,4.4,0.9
1984/1/24,0.3,2.3,-2.0
1984/1/25,-1.2,-0.1,-2.2
1984/1/26,0.2,2.2,-2.2
1984/1/27,2.1,4.0,0.8
1984/1/28,-0.7,2.2,-1.8
1984/1/29,0.2,1.9,-2.3
1984/1/30,-1.0,0.2,-2.1
1984/1/31,0.1,2.3,-2.2
1984/2/1,0.9,3.8,-2.3
1984/2/2,1.1,4.5,-1.7
1984/2/3,-1.9,0.5,-4.8
1984/2/4,-2.3,-0.9,-4.9
1984/2/5,-1.7,-0.2,-3.0
1984/2/6,-3.9,-1.6,-5.4
1984/2/7,-3.6,-1.6,-5.2
1984/2/8,-2.2,-0.2,-4.1
1984/2/9,-1.5,0.5,-3.0
1984/2/10,-0.6,1.5,-3.2
1984/2/11,0.7,3.5,-2.3
1984/2/12,-0.6,3.2,-6.4
1984/2/13,1.6,4.3,-0.7
1984/2/14,0.2,1.7,-1.0
1984/2/15,-0.5,1.3,-2.6
1984/2/16,-1.6,0.3,-3.3
1984/2/17,-1.5,-0.4,-2.9
1984/2/18,-0.9,0.8,-3.4
1984/2/19,0.1,1.9,-1.7
1984/2/20,1.3,3.9,-2.1
1984/2/21,1.1,4.4,-2.2
1984/2/22,0.5,2.9,-3.1
1984/2/23,1.7,4.3,-1.3
1984/2/24,2.9,4.3,1.6
1984/2/25,2.3,3.6,-0.6
1984/2/26,1.6,2.9,-0.1
1984/2/27,1.9,4.1,0.8
1984/2/28,0.0,2.0,-1.7
1984/2/29,-1.2,0.0,-3.0
1984/3/1,-0.9,1.2,-2.8
1984/3/2,1.3,5.7,-2.5
1984/3/3,2.6,4.4,0.7
1984/3/4,0.4,2.5,-2.0
1984/3/5,-0.5,2.6,-4.2
1984/3/6,0.9,3.8,-2.2
1984/3/7,2.1,4.3,-0.4
1984/3/8,1.2,4.3,-0.5
1984/3/9,1.5,4.9,-1.6
1984/3/10,2.2,4.0,-1.6
1984/3/11,1.7,3.3,-0.1
1984/3/12,1.7,6.0,-0.7
1984/3/13,0.5,3.0,-2.1
1984/3/14,0.9,4.2,-2.9
1984/3/15,1.7,5.6,-4.8
1984/3/16,4.2,6.8,1.9
1984/3/17,3.6,7.3,1.9
1984/3/18,3.0,4.7,2.2
1984/3/19,2.6,5.1,-0.6
1984/3/20,2.3,4.7,0.5
1984/3/21,2.2,5.1,0.0
1984/3/22,1.0,3.4,-1.2
1984/3/23,1.5,4.7,-1.0
1984/3/24,3.3,7.0,-2.1
1984/3/25,4.9,8.8,2.4
1984/3/26,3.0,5.6,0.5
1984/3/27,1.4,4.5,-0.5
1984/3/28,3.0,6.8,0.1
1984/3/29,4.7,10.1,-0.2
1984/3/30,9.6,16.2,2.4
1984/3/31,5.3,8.6,3.3
