ダウンロードした時刻：2017/07/24 15:42:05

,東京,東京,東京
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/1/1,6.0,10.9,2.2
1995/1/2,4.6,8.3,1.8
1995/1/3,5.0,7.6,1.5
1995/1/4,5.6,7.9,3.4
1995/1/5,9.6,14.4,6.0
1995/1/6,5.4,10.3,2.2
1995/1/7,6.4,10.0,1.3
1995/1/8,10.0,13.4,6.7
1995/1/9,11.0,16.1,3.9
1995/1/10,8.6,14.9,4.4
1995/1/11,6.9,10.2,2.3
1995/1/12,7.0,11.0,3.2
1995/1/13,6.0,11.2,1.7
1995/1/14,3.7,7.6,1.4
1995/1/15,3.7,8.3,-1.2
1995/1/16,4.4,7.9,0.5
1995/1/17,3.7,7.7,0.0
1995/1/18,5.3,9.4,0.6
1995/1/19,4.8,8.1,2.2
1995/1/20,5.3,11.0,0.9
1995/1/21,7.4,11.3,3.4
1995/1/22,6.2,7.9,5.3
1995/1/23,10.0,13.7,4.6
1995/1/24,8.5,13.0,5.2
1995/1/25,5.8,9.2,3.8
1995/1/26,6.7,10.4,1.9
1995/1/27,6.4,8.8,3.6
1995/1/28,5.4,9.3,1.2
1995/1/29,6.8,9.9,3.8
1995/1/30,4.8,8.3,1.4
1995/1/31,3.8,7.8,-0.9
1995/2/1,4.5,9.0,0.1
1995/2/2,6.1,9.4,2.3
1995/2/3,6.4,10.0,3.5
1995/2/4,4.6,6.2,1.9
1995/2/5,2.5,4.7,0.8
1995/2/6,5.5,10.2,1.0
1995/2/7,5.6,9.7,2.0
1995/2/8,7.5,12.2,2.0
1995/2/9,8.0,10.1,4.4
1995/2/10,5.8,8.6,3.0
1995/2/11,5.7,9.1,1.4
1995/2/12,7.2,11.4,2.3
1995/2/13,8.8,12.2,4.9
1995/2/14,7.2,9.7,6.0
1995/2/15,6.8,9.9,3.7
1995/2/16,6.7,10.6,4.4
1995/2/17,5.7,10.1,2.2
1995/2/18,6.8,11.4,3.4
1995/2/19,7.5,11.6,3.5
1995/2/20,7.4,11.6,4.0
1995/2/21,6.6,11.0,2.4
1995/2/22,7.1,11.4,3.1
1995/2/23,7.6,11.9,3.0
1995/2/24,8.3,12.6,4.9
1995/2/25,5.8,7.3,4.9
1995/2/26,3.9,6.1,1.2
1995/2/27,7.9,13.9,2.0
1995/2/28,7.4,10.9,4.0
1995/3/1,6.3,11.6,1.0
1995/3/2,7.6,10.3,5.6
1995/3/3,6.4,9.7,3.8
1995/3/4,3.3,4.6,1.3
1995/3/5,5.7,10.2,1.7
1995/3/6,7.2,11.5,2.0
1995/3/7,8.2,12.6,3.6
1995/3/8,10.1,15.4,4.4
1995/3/9,9.8,14.9,5.1
1995/3/10,6.1,9.8,4.0
1995/3/11,10.0,14.6,5.9
1995/3/12,8.5,12.9,6.1
1995/3/13,7.4,12.7,4.2
1995/3/14,9.0,13.3,4.6
1995/3/15,9.4,12.5,7.2
1995/3/16,11.0,14.0,7.5
1995/3/17,15.3,18.0,12.8
1995/3/18,6.6,14.3,4.4
1995/3/19,7.0,10.8,4.2
1995/3/20,9.6,13.9,4.7
1995/3/21,11.8,16.7,6.1
1995/3/22,13.9,19.9,8.0
1995/3/23,11.4,13.4,9.2
1995/3/24,12.2,15.5,10.0
1995/3/25,7.2,12.1,2.6
1995/3/26,3.4,5.6,1.4
1995/3/27,8.9,13.5,4.2
1995/3/28,8.9,13.6,6.1
1995/3/29,8.6,11.7,4.4
1995/3/30,9.6,12.4,7.4
1995/3/31,15.6,19.8,10.7
1995/4/1,13.5,17.2,8.2
1995/4/2,10.0,13.3,7.0
1995/4/3,9.1,13.3,5.9
1995/4/4,10.7,15.7,4.9
1995/4/5,13.2,17.7,8.1
1995/4/6,14.5,18.4,9.6
1995/4/7,14.7,18.8,12.1
1995/4/8,13.9,18.2,10.5
1995/4/9,15.2,20.7,11.6
1995/4/10,14.2,18.5,11.7
1995/4/11,11.2,13.2,8.3
1995/4/12,12.4,18.9,8.8
1995/4/13,13.9,17.3,9.8
1995/4/14,12.6,14.1,11.2
1995/4/15,14.2,19.1,10.1
1995/4/16,13.4,16.3,11.3
1995/4/17,17.5,23.4,13.1
1995/4/18,15.6,18.8,13.8
1995/4/19,17.4,25.5,12.1
1995/4/20,14.3,19.3,9.5
1995/4/21,15.8,21.3,9.7
1995/4/22,17.5,18.9,16.4
1995/4/23,21.5,24.8,17.7
1995/4/24,17.7,21.7,15.2
1995/4/25,15.3,16.8,13.2
1995/4/26,17.6,23.6,13.5
1995/4/27,19.2,24.0,13.7
1995/4/28,18.9,21.6,17.0
1995/4/29,17.9,21.7,15.7
1995/4/30,18.0,22.2,15.6
1995/5/1,16.4,17.7,14.9
