ダウンロードした時刻：2019/10/10 16:05:39

,豊岡,豊岡,豊岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,7.1,12.4,2.9
1988/12/2,6.1,11.9,1.0
1988/12/3,4.7,14.2,0.3
1988/12/4,5.9,12.3,-0.2
1988/12/5,5.0,9.9,1.9
1988/12/6,5.0,12.2,0.8
1988/12/7,5.6,15.7,-1.5
1988/12/8,8.9,18.6,0.7
1988/12/9,8.7,13.9,4.5
1988/12/10,3.7,7.6,1.1
1988/12/11,4.0,9.8,0.2
1988/12/12,4.2,13.4,-2.2
1988/12/13,5.1,14.9,-1.5
1988/12/14,4.6,12.4,-1.1
1988/12/15,2.7,5.8,-1.3
1988/12/16,-0.2,3.0,-2.9
1988/12/17,1.4,2.7,0.0
1988/12/18,2.9,7.3,-1.0
1988/12/19,5.5,11.9,1.7
1988/12/20,6.8,12.5,2.5
1988/12/21,6.9,10.5,4.7
1988/12/22,4.6,7.5,3.1
1988/12/23,4.2,9.8,0.3
1988/12/24,4.5,8.1,0.2
1988/12/25,4.4,7.3,2.0
1988/12/26,3.3,5.4,1.9
1988/12/27,4.8,11.1,1.4
1988/12/28,3.6,4.2,2.4
1988/12/29,3.8,6.4,0.6
1988/12/30,2.2,9.1,-1.1
1988/12/31,4.3,9.7,-1.4
1989/1/1,7.3,9.0,6.0
1989/1/2,4.8,11.5,0.4
1989/1/3,5.0,9.5,0.1
1989/1/4,4.7,7.7,2.8
1989/1/5,3.5,7.9,-0.8
1989/1/6,3.1,9.6,-3.4
1989/1/7,8.7,13.6,3.4
1989/1/8,11.5,13.4,9.3
1989/1/9,10.3,11.3,9.7
1989/1/10,9.2,12.8,6.0
1989/1/11,6.6,8.9,3.3
1989/1/12,6.3,9.4,3.8
1989/1/13,4.3,6.9,3.2
1989/1/14,3.9,9.4,1.5
1989/1/15,2.1,4.3,-1.1
1989/1/16,2.8,10.6,-2.1
1989/1/17,4.0,11.3,-0.3
1989/1/18,3.4,6.4,-1.1
1989/1/19,14.5,17.5,6.2
1989/1/20,12.1,15.1,8.5
1989/1/21,7.9,10.5,4.8
1989/1/22,6.0,8.0,4.1
1989/1/23,4.7,7.8,2.8
1989/1/24,5.9,8.6,3.0
1989/1/25,4.7,10.1,1.8
1989/1/26,2.6,6.2,-0.5
1989/1/27,2.4,6.9,-0.6
1989/1/28,0.8,2.3,-0.4
1989/1/29,1.4,5.6,-0.7
1989/1/30,2.1,9.9,-2.5
1989/1/31,4.5,13.4,-1.3
1989/2/1,3.5,8.1,0.4
1989/2/2,1.2,3.4,-0.1
1989/2/3,1.0,2.9,0.0
1989/2/4,2.1,5.8,0.5
1989/2/5,1.9,7.7,-2.1
1989/2/6,3.0,10.4,-2.0
1989/2/7,3.9,9.5,-0.3
1989/2/8,3.8,6.1,-0.6
1989/2/9,6.7,9.2,4.8
1989/2/10,3.4,5.0,1.5
1989/2/11,2.4,5.5,0.0
1989/2/12,2.7,5.4,0.6
1989/2/13,2.5,7.8,0.5
1989/2/14,2.7,8.5,-0.3
1989/2/15,6.4,15.3,-1.8
1989/2/16,10.5,14.8,7.3
1989/2/17,8.8,10.9,7.5
1989/2/18,6.7,7.7,5.7
1989/2/19,5.0,7.9,-0.1
1989/2/20,6.3,14.2,-1.9
1989/2/21,6.8,7.7,5.7
1989/2/22,5.0,6.1,2.8
1989/2/23,5.0,8.4,2.1
1989/2/24,6.2,8.4,3.7
1989/2/25,7.1,8.2,6.3
1989/2/26,4.6,7.1,0.4
1989/2/27,5.0,14.4,-2.0
1989/2/28,11.7,17.6,4.5
1989/3/1,8.4,14.5,3.7
1989/3/2,7.9,13.5,1.2
1989/3/3,14.0,19.4,8.3
1989/3/4,11.3,19.1,6.6
1989/3/5,5.8,8.1,1.8
1989/3/6,4.7,11.9,-0.9
1989/3/7,4.6,9.8,0.9
1989/3/8,3.1,5.8,1.5
1989/3/9,4.4,10.1,0.3
1989/3/10,4.8,12.8,0.0
1989/3/11,5.5,13.6,-1.4
1989/3/12,8.1,17.6,-1.0
1989/3/13,11.2,15.0,8.0
1989/3/14,11.5,17.8,6.5
1989/3/15,7.3,13.8,2.8
1989/3/16,6.8,11.9,0.8
1989/3/17,6.5,8.2,4.3
1989/3/18,6.5,10.0,2.6
1989/3/19,5.1,10.9,-1.1
1989/3/20,5.2,9.9,-0.8
1989/3/21,6.6,10.2,3.7
1989/3/22,6.6,10.2,4.2
1989/3/23,6.3,10.9,2.8
1989/3/24,9.0,12.2,4.2
1989/3/25,8.4,12.8,5.5
1989/3/26,6.5,11.2,1.8
1989/3/27,5.2,10.4,-0.1
1989/3/28,6.9,11.0,2.5
1989/3/29,6.7,14.6,0.3
1989/3/30,9.6,18.1,0.6
1989/3/31,14.1,18.9,9.0
