É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:55:30

,çbï{,çbï{,çbï{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1998/12/1,8.9,16.1,3.9
1998/12/2,8.4,11.0,5.7
1998/12/3,5.9,7.9,3.8
1998/12/4,6.1,8.8,3.9
1998/12/5,6.0,6.6,5.3
1998/12/6,8.6,12.7,5.1
1998/12/7,7.2,8.3,6.1
1998/12/8,8.9,12.6,6.9
1998/12/9,7.5,13.4,1.8
1998/12/10,5.6,10.2,1.3
1998/12/11,6.2,13.2,1.3
1998/12/12,4.2,9.2,-1.2
1998/12/13,4.0,11.5,-1.2
1998/12/14,4.9,14.1,-1.7
1998/12/15,7.8,15.6,2.8
1998/12/16,6.8,12.5,2.9
1998/12/17,6.8,17.2,0.3
1998/12/18,5.4,11.7,-0.7
1998/12/19,5.9,13.9,0.2
1998/12/20,7.2,14.7,1.2
1998/12/21,4.2,10.8,-1.0
1998/12/22,3.7,11.3,-2.3
1998/12/23,6.5,13.5,-0.8
1998/12/24,6.6,11.1,1.2
1998/12/25,3.3,8.0,-2.9
1998/12/26,4.9,14.5,-1.1
1998/12/27,4.3,9.8,0.2
1998/12/28,4.7,12.2,-1.3
1998/12/29,5.8,12.8,1.3
1998/12/30,5.4,14.1,-0.4
1998/12/31,3.3,10.1,-1.1
1999/1/1,3.2,9.8,-1.9
1999/1/2,1.6,8.2,-3.9
1999/1/3,3.1,10.6,-3.1
1999/1/4,2.7,10.8,-3.8
1999/1/5,2.3,9.5,-4.3
1999/1/6,3.1,9.7,-2.1
1999/1/7,5.0,14.9,-1.6
1999/1/8,2.5,5.0,-1.0
1999/1/9,0.6,5.6,-4.1
1999/1/10,1.2,8.7,-6.3
1999/1/11,5.4,9.4,0.0
1999/1/12,2.5,10.6,-4.7
1999/1/13,2.9,11.4,-4.1
1999/1/14,3.4,10.9,-2.9
1999/1/15,0.9,3.7,-1.7
1999/1/16,3.3,10.2,-2.9
1999/1/17,4.7,9.5,-0.1
1999/1/18,3.5,11.5,-3.4
1999/1/19,2.5,6.5,-1.9
1999/1/20,5.4,13.7,0.4
1999/1/21,4.9,10.3,-0.8
1999/1/22,2.7,11.3,-4.1
1999/1/23,4.6,12.9,-3.2
1999/1/24,3.7,5.9,2.7
1999/1/25,4.8,7.6,2.4
1999/1/26,7.5,14.9,4.3
1999/1/27,6.2,11.5,2.1
1999/1/28,6.7,15.8,-0.3
1999/1/29,3.3,9.2,-1.3
1999/1/30,2.7,8.5,-1.6
1999/1/31,2.7,11.6,-4.7
1999/2/1,3.6,9.7,-1.6
1999/2/2,3.0,10.9,-1.9
1999/2/3,1.1,5.5,-1.6
1999/2/4,0.0,6.4,-4.0
1999/2/5,0.7,8.5,-6.6
1999/2/6,4.2,11.4,-1.7
1999/2/7,3.8,13.3,-4.3
1999/2/8,5.1,14.9,-2.9
1999/2/9,4.8,12.7,-1.6
1999/2/10,5.4,13.4,-1.5
1999/2/11,1.7,5.4,0.1
1999/2/12,2.2,7.0,-1.8
1999/2/13,1.0,4.6,-2.4
1999/2/14,0.3,8.0,-7.2
1999/2/15,1.7,8.9,-5.1
1999/2/16,4.2,12.9,-3.2
1999/2/17,5.8,15.5,-2.1
1999/2/18,7.5,16.5,0.0
1999/2/19,6.3,12.4,0.4
1999/2/20,2.8,11.0,-3.7
1999/2/21,2.9,8.9,-2.0
1999/2/22,3.3,11.1,-4.9
1999/2/23,4.7,13.8,-3.6
1999/2/24,1.8,4.0,-1.2
1999/2/25,6.6,13.2,1.6
1999/2/26,7.1,15.2,-0.9
1999/2/27,10.0,20.2,2.1
1999/2/28,5.8,13.2,0.5
1999/3/1,6.8,15.5,-2.0
1999/3/2,9.2,18.9,0.5
1999/3/3,9.2,16.4,3.7
1999/3/4,8.7,17.7,0.7
1999/3/5,11.0,19.1,2.1
1999/3/6,14.3,21.5,10.0
1999/3/7,9.3,11.1,7.0
1999/3/8,8.1,10.8,5.3
1999/3/9,6.8,10.4,4.7
1999/3/10,6.6,10.4,4.2
1999/3/11,5.3,7.6,2.8
1999/3/12,6.2,12.7,0.9
1999/3/13,8.3,15.0,1.6
1999/3/14,12.2,20.1,4.0
1999/3/15,13.0,15.4,12.0
1999/3/16,14.9,20.4,8.2
1999/3/17,12.2,20.4,3.8
1999/3/18,14.8,21.9,8.2
1999/3/19,13.2,14.8,11.7
1999/3/20,5.8,13.7,2.7
1999/3/21,3.9,8.4,1.7
1999/3/22,4.8,8.5,0.3
1999/3/23,5.1,13.8,-3.0
1999/3/24,9.9,17.9,1.9
1999/3/25,14.0,20.4,8.5
1999/3/26,15.0,20.8,11.0
1999/3/27,12.0,16.1,6.7
1999/3/28,8.2,12.0,6.1
1999/3/29,7.0,14.0,1.9
1999/3/30,6.3,10.5,2.5
1999/3/31,7.9,14.5,4.3
