ダウンロードした時刻：2019/10/10 15:40:29

,福島,福島,福島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/12/1,5.3,7.2,3.2
1983/12/2,10.6,13.8,4.4
1983/12/3,5.6,11.9,1.8
1983/12/4,3.4,6.7,1.1
1983/12/5,4.0,9.2,-1.3
1983/12/6,3.5,5.9,1.0
1983/12/7,3.5,9.0,-0.6
1983/12/8,5.0,10.1,-1.1
1983/12/9,5.1,10.7,0.0
1983/12/10,6.5,12.9,0.5
1983/12/11,6.5,11.5,2.0
1983/12/12,3.1,5.6,0.6
1983/12/13,6.4,11.4,1.0
1983/12/14,4.0,7.1,0.9
1983/12/15,3.0,6.7,-1.2
1983/12/16,0.0,2.2,-2.1
1983/12/17,-2.0,0.0,-3.8
1983/12/18,-1.6,2.3,-6.1
1983/12/19,0.1,2.9,-4.9
1983/12/20,0.8,3.0,-1.4
1983/12/21,2.8,8.9,-1.9
1983/12/22,1.7,6.4,-3.1
1983/12/23,3.6,9.5,-0.6
1983/12/24,0.6,4.0,-1.3
1983/12/25,0.1,6.2,-2.6
1983/12/26,0.9,3.5,-1.9
1983/12/27,0.1,4.0,-3.1
1983/12/28,-1.0,4.6,-5.6
1983/12/29,-0.3,5.3,-4.6
1983/12/30,0.8,6.9,-3.2
1983/12/31,1.0,7.0,-4.4
1984/1/1,0.2,3.5,-2.8
1984/1/2,1.1,4.3,-1.5
1984/1/3,-1.1,0.5,-3.5
1984/1/4,0.4,2.0,-0.7
1984/1/5,-0.1,3.0,-3.5
1984/1/6,0.5,2.1,-2.3
1984/1/7,-0.6,2.0,-4.9
1984/1/8,-3.0,3.4,-8.7
1984/1/9,-0.1,5.7,-5.8
1984/1/10,2.2,5.6,-1.1
1984/1/11,-0.9,1.8,-2.9
1984/1/12,-1.7,1.4,-5.6
1984/1/13,-1.2,3.4,-6.0
1984/1/14,-0.8,4.1,-4.9
1984/1/15,2.5,9.6,-2.1
1984/1/16,-3.5,0.1,-5.0
1984/1/17,-4.3,-3.3,-5.1
1984/1/18,-2.2,-0.1,-4.6
1984/1/19,-2.4,0.0,-5.2
1984/1/20,-2.0,1.3,-5.1
1984/1/21,-2.9,1.6,-8.3
1984/1/22,0.0,1.2,-2.4
1984/1/23,0.7,4.8,-1.5
1984/1/24,-1.5,1.1,-3.8
1984/1/25,-2.5,2.6,-7.5
1984/1/26,-2.3,1.3,-7.8
1984/1/27,-0.7,3.9,-4.3
1984/1/28,-1.4,3.8,-7.7
1984/1/29,-0.4,3.1,-3.2
1984/1/30,-1.3,3.1,-5.8
1984/1/31,-1.5,0.4,-4.7
1984/2/1,1.9,4.8,-1.9
1984/2/2,0.4,6.7,-5.0
1984/2/3,-2.4,0.9,-5.3
1984/2/4,-3.8,-2.0,-5.8
1984/2/5,-2.5,0.1,-6.3
1984/2/6,-4.3,-1.7,-6.5
1984/2/7,-5.2,-2.0,-8.6
1984/2/8,-4.2,-0.3,-7.2
1984/2/9,-3.5,-1.7,-5.2
1984/2/10,-1.5,1.0,-4.6
1984/2/11,-0.2,3.1,-2.8
1984/2/12,-1.9,2.5,-8.3
1984/2/13,0.9,5.2,-1.6
1984/2/14,0.0,3.1,-3.8
1984/2/15,-2.0,0.8,-5.4
1984/2/16,-3.4,-0.3,-7.4
1984/2/17,-2.3,0.1,-5.3
1984/2/18,-2.2,1.6,-5.1
1984/2/19,-0.9,1.7,-4.2
1984/2/20,0.8,5.6,-3.2
1984/2/21,1.6,5.8,-1.5
1984/2/22,0.9,4.2,-2.5
1984/2/23,-1.2,0.2,-2.9
1984/2/24,2.7,5.4,0.0
1984/2/25,1.3,4.0,-2.2
1984/2/26,-0.1,1.3,-2.2
1984/2/27,2.0,4.8,-0.7
1984/2/28,-1.1,1.4,-3.6
1984/2/29,-2.9,-0.8,-5.8
1984/3/1,-2.2,1.8,-7.2
1984/3/2,-0.2,6.1,-7.2
1984/3/3,2.0,5.2,-1.9
1984/3/4,0.7,6.2,-4.0
1984/3/5,-0.1,4.5,-4.7
1984/3/6,-0.2,5.5,-4.3
1984/3/7,0.7,4.3,-3.8
1984/3/8,0.9,4.9,-2.5
1984/3/9,1.2,5.3,-2.1
1984/3/10,-0.5,2.3,-3.5
1984/3/11,-0.3,3.0,-2.4
1984/3/12,0.7,4.0,-3.2
1984/3/13,0.5,3.7,-2.6
1984/3/14,0.0,5.3,-4.2
1984/3/15,1.3,7.9,-5.9
1984/3/16,1.0,3.1,-0.2
1984/3/17,3.7,10.5,0.2
1984/3/18,2.8,6.6,0.7
1984/3/19,3.0,7.4,0.1
1984/3/20,1.2,2.7,-0.2
1984/3/21,2.2,5.3,0.6
1984/3/22,1.1,4.5,-1.1
1984/3/23,1.3,5.8,-1.6
1984/3/24,1.4,7.1,-4.7
1984/3/25,4.9,9.2,1.0
1984/3/26,2.4,6.9,0.4
1984/3/27,4.2,8.9,-1.5
1984/3/28,2.9,7.9,-1.6
1984/3/29,4.7,12.5,-3.0
1984/3/30,6.1,12.0,1.8
1984/3/31,5.4,10.8,1.5
