ダウンロードした時刻：2019/10/10 16:26:37

,種子島,種子島,種子島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1991/12/1,17.3,19.1,15.2
1991/12/2,16.2,18.8,13.9
1991/12/3,16.7,20.5,13.1
1991/12/4,16.9,20.6,13.7
1991/12/5,16.2,20.6,12.1
1991/12/6,18.5,22.8,15.1
1991/12/7,17.0,19.8,14.0
1991/12/8,17.5,19.9,14.5
1991/12/9,13.8,15.5,10.8
1991/12/10,13.8,18.1,7.9
1991/12/11,15.6,19.2,12.4
1991/12/12,10.0,12.6,7.9
1991/12/13,10.3,13.7,5.9
1991/12/14,13.0,16.1,10.6
1991/12/15,15.7,19.3,11.6
1991/12/16,17.1,20.3,15.3
1991/12/17,19.0,22.1,16.2
1991/12/18,16.6,18.9,12.7
1991/12/19,14.6,17.6,11.3
1991/12/20,14.9,17.0,10.0
1991/12/21,17.0,19.3,14.8
1991/12/22,17.9,20.5,14.8
1991/12/23,18.7,21.7,17.0
1991/12/24,17.4,20.7,15.5
1991/12/25,17.9,19.8,15.7
1991/12/26,16.9,18.4,14.7
1991/12/27,16.0,18.3,14.0
1991/12/28,11.5,14.8,7.8
1991/12/29,9.2,10.5,7.7
1991/12/30,9.8,12.7,7.4
1991/12/31,11.6,15.6,6.9
1992/1/1,14.7,18.7,12.1
1992/1/2,16.4,18.4,13.8
1992/1/3,13.4,15.4,12.3
1992/1/4,12.4,14.3,10.6
1992/1/5,14.0,16.9,8.2
1992/1/6,17.9,21.5,15.6
1992/1/7,15.8,18.6,12.7
1992/1/8,13.3,16.1,10.3
1992/1/9,14.3,16.7,11.8
1992/1/10,11.7,12.8,9.9
1992/1/11,12.6,15.3,10.6
1992/1/12,14.0,17.6,11.1
1992/1/13,14.5,18.8,11.2
1992/1/14,11.0,13.0,8.7
1992/1/15,9.7,12.5,7.9
1992/1/16,11.1,14.0,5.7
1992/1/17,11.9,13.5,10.0
1992/1/18,10.0,10.8,8.7
1992/1/19,10.5,13.1,8.3
1992/1/20,11.7,14.8,7.9
1992/1/21,12.7,14.5,11.5
1992/1/22,12.1,13.8,9.9
1992/1/23,11.6,13.3,10.5
1992/1/24,11.4,14.7,9.0
1992/1/25,12.1,15.0,8.7
1992/1/26,14.0,17.1,12.2
1992/1/27,12.9,15.3,11.4
1992/1/28,13.6,17.0,11.1
1992/1/29,16.4,19.6,12.5
1992/1/30,16.7,18.8,13.8
1992/1/31,11.2,14.3,8.8
1992/2/1,9.0,11.5,6.8
1992/2/2,9.4,13.6,4.6
1992/2/3,16.3,20.6,10.8
1992/2/4,13.3,16.5,10.5
1992/2/5,12.3,15.2,10.6
1992/2/6,12.6,16.5,9.3
1992/2/7,11.1,12.4,9.2
1992/2/8,9.3,12.7,6.0
1992/2/9,9.6,11.5,8.1
1992/2/10,10.2,12.4,8.4
1992/2/11,10.7,12.7,8.0
1992/2/12,12.3,13.3,10.9
1992/2/13,12.5,14.8,10.6
1992/2/14,11.4,14.0,7.8
1992/2/15,10.3,12.7,7.0
1992/2/16,11.0,13.2,8.0
1992/2/17,10.2,13.3,5.9
1992/2/18,12.3,15.2,10.3
1992/2/19,12.2,13.9,11.2
1992/2/20,9.5,12.5,7.5
1992/2/21,8.7,11.2,7.2
1992/2/22,9.9,12.5,8.3
1992/2/23,10.4,13.6,8.5
1992/2/24,10.3,12.9,7.6
1992/2/25,11.9,14.3,10.6
1992/2/26,13.0,17.2,7.4
1992/2/27,15.4,20.0,10.3
1992/2/28,17.8,20.9,14.6
1992/2/29,19.6,23.6,16.7
1992/3/1,18.8,21.6,17.0
1992/3/2,16.4,18.1,13.5
1992/3/3,13.6,14.1,13.0
1992/3/4,15.1,16.9,13.3
1992/3/5,16.6,18.7,14.0
1992/3/6,13.0,15.3,11.1
1992/3/7,11.1,14.4,8.6
1992/3/8,13.1,16.7,7.8
1992/3/9,15.0,16.4,13.0
1992/3/10,16.1,19.0,14.1
1992/3/11,15.9,18.9,11.8
1992/3/12,15.3,15.9,14.4
1992/3/13,15.8,17.8,14.3
1992/3/14,18.4,21.1,15.9
1992/3/15,20.0,23.4,18.3
1992/3/16,18.5,21.3,15.8
1992/3/17,14.8,17.2,13.6
1992/3/18,17.4,20.1,15.2
1992/3/19,14.6,16.6,13.4
1992/3/20,15.6,17.2,13.2
1992/3/21,16.5,20.7,12.2
1992/3/22,14.6,17.0,12.5
1992/3/23,16.8,20.2,15.0
1992/3/24,15.8,17.2,14.7
1992/3/25,16.4,17.4,15.0
1992/3/26,16.3,17.4,15.4
1992/3/27,15.8,16.8,15.1
1992/3/28,16.8,18.2,15.7
1992/3/29,17.8,18.9,16.8
1992/3/30,17.8,21.9,15.7
1992/3/31,16.6,18.2,15.0
