ダウンロードした時刻：2017/07/24 15:46:04

,徳島,徳島,徳島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1983/1/1,6.0,10.4,1.8
1983/1/2,6.9,10.5,2.7
1983/1/3,7.4,9.8,5.6
1983/1/4,6.0,9.8,2.7
1983/1/5,9.4,16.2,2.3
1983/1/6,9.8,13.1,6.0
1983/1/7,9.6,13.1,5.4
1983/1/8,9.9,15.0,5.6
1983/1/9,5.6,8.1,3.5
1983/1/10,3.3,5.9,1.8
1983/1/11,4.5,8.6,1.7
1983/1/12,5.5,8.5,3.1
1983/1/13,6.0,8.9,3.7
1983/1/14,5.8,9.4,2.7
1983/1/15,6.1,10.2,2.9
1983/1/16,6.8,12.5,1.2
1983/1/17,6.8,11.2,1.6
1983/1/18,7.4,9.3,5.5
1983/1/19,5.4,7.9,2.6
1983/1/20,2.4,5.5,0.6
1983/1/21,2.4,5.4,0.4
1983/1/22,1.3,4.7,-0.6
1983/1/23,2.3,6.8,-1.4
1983/1/24,5.5,10.3,-1.4
1983/1/25,5.0,10.1,0.5
1983/1/26,7.9,13.4,1.3
1983/1/27,7.9,12.2,4.5
1983/1/28,8.7,15.5,3.3
1983/1/29,8.2,13.1,1.4
1983/1/30,8.0,16.4,4.8
1983/1/31,4.9,8.7,1.5
1983/2/1,6.0,10.5,-0.7
1983/2/2,9.7,11.8,8.0
1983/2/3,7.4,9.4,3.8
1983/2/4,4.9,9.5,1.6
1983/2/5,5.8,12.6,-0.2
1983/2/6,7.9,14.6,2.5
1983/2/7,8.5,11.5,4.1
1983/2/8,5.4,8.9,2.4
1983/2/9,6.0,8.4,2.6
1983/2/10,4.1,6.7,1.2
1983/2/11,4.1,9.2,-1.4
1983/2/12,2.9,7.2,0.5
1983/2/13,1.8,5.2,-0.3
1983/2/14,2.7,7.3,-1.6
1983/2/15,7.5,15.1,0.1
1983/2/16,6.3,10.2,1.6
1983/2/17,6.1,7.7,4.2
1983/2/18,4.2,8.6,-0.3
1983/2/19,2.4,7.2,-0.9
1983/2/20,2.0,6.3,-1.5
1983/2/21,2.6,7.1,-1.6
1983/2/22,3.7,9.3,0.4
1983/2/23,5.4,12.3,-1.6
1983/2/24,6.4,8.6,4.1
1983/2/25,6.8,10.3,4.4
1983/2/26,5.6,9.3,2.4
1983/2/27,6.0,10.7,1.5
1983/2/28,6.2,12.2,1.7
1983/3/1,7.1,13.0,0.2
1983/3/2,15.5,21.8,10.6
1983/3/3,11.2,15.6,8.5
1983/3/4,8.2,11.4,6.3
1983/3/5,5.9,9.1,3.8
1983/3/6,6.1,11.8,1.7
1983/3/7,4.9,9.8,1.2
1983/3/8,4.5,8.2,1.6
1983/3/9,6.0,9.8,-0.2
1983/3/10,7.3,8.7,5.4
1983/3/11,9.5,14.3,5.7
1983/3/12,8.2,12.9,3.7
1983/3/13,9.7,12.7,7.3
1983/3/14,6.4,8.9,4.6
1983/3/15,6.8,11.3,1.3
1983/3/16,7.3,8.8,5.6
1983/3/17,8.2,12.3,6.1
1983/3/18,5.1,7.9,2.9
1983/3/19,6.5,11.9,1.8
1983/3/20,10.0,14.5,2.7
1983/3/21,12.5,16.4,10.2
1983/3/22,13.3,17.9,8.5
1983/3/23,14.5,16.1,11.2
1983/3/24,11.8,16.6,8.4
1983/3/25,8.9,12.4,6.1
1983/3/26,8.3,10.9,4.7
1983/3/27,9.8,13.5,6.7
1983/3/28,11.2,14.6,9.0
1983/3/29,9.1,10.0,8.5
1983/3/30,10.5,12.3,8.8
1983/3/31,11.3,13.1,9.5
1983/4/1,11.1,13.3,9.6
1983/4/2,12.8,17.3,7.6
1983/4/3,12.5,16.0,8.8
1983/4/4,13.9,18.2,9.8
1983/4/5,13.2,18.9,8.1
1983/4/6,15.0,21.4,7.1
1983/4/7,14.3,18.1,11.2
1983/4/8,15.7,21.8,12.3
1983/4/9,15.5,20.5,9.8
1983/4/10,14.8,16.1,13.5
1983/4/11,16.3,19.3,13.6
1983/4/12,16.1,21.6,12.9
1983/4/13,16.3,21.0,11.4
1983/4/14,16.4,19.5,13.9
1983/4/15,17.9,23.0,15.0
1983/4/16,14.3,17.4,11.7
1983/4/17,13.2,15.1,11.7
1983/4/18,15.9,20.2,10.7
1983/4/19,17.8,20.5,15.7
1983/4/20,17.7,22.6,12.4
1983/4/21,15.6,20.7,9.0
1983/4/22,18.8,25.1,15.1
1983/4/23,17.0,21.0,13.8
1983/4/24,17.2,22.9,11.7
1983/4/25,18.2,26.9,10.9
1983/4/26,19.2,24.6,11.8
1983/4/27,20.6,25.6,16.8
1983/4/28,22.5,27.3,17.2
1983/4/29,21.2,27.2,14.7
1983/4/30,15.3,19.7,11.6
1983/5/1,13.7,16.8,10.7
