ダウンロードした時刻：2019/10/10 16:21:35

,佐賀,佐賀,佐賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/12/1,9.7,16.6,3.6
2001/12/2,10.9,17.8,5.2
2001/12/3,11.2,16.0,5.7
2001/12/4,13.0,17.4,9.1
2001/12/5,12.4,16.7,7.9
2001/12/6,9.8,12.8,5.1
2001/12/7,7.1,12.0,2.8
2001/12/8,7.8,14.0,2.3
2001/12/9,9.2,15.4,3.7
2001/12/10,10.1,13.7,7.3
2001/12/11,8.6,12.9,5.8
2001/12/12,9.8,14.4,4.8
2001/12/13,11.3,14.9,7.9
2001/12/14,6.2,8.3,4.9
2001/12/15,6.3,9.6,1.4
2001/12/16,4.1,7.8,-0.6
2001/12/17,4.6,6.2,2.2
2001/12/18,5.6,12.6,1.4
2001/12/19,6.1,12.9,0.8
2001/12/20,6.3,12.5,0.8
2001/12/21,6.9,10.6,4.5
2001/12/22,5.2,7.8,1.2
2001/12/23,5.0,10.1,1.2
2001/12/24,5.6,9.8,1.1
2001/12/25,4.2,6.5,1.0
2001/12/26,5.6,11.4,0.5
2001/12/27,5.7,9.6,1.7
2001/12/28,5.1,9.2,0.8
2001/12/29,4.0,7.6,-0.3
2001/12/30,5.7,8.5,0.1
2001/12/31,3.8,10.3,-1.8
2002/1/1,6.6,11.6,2.5
2002/1/2,2.2,5.4,-0.1
2002/1/3,2.9,7.4,-1.6
2002/1/4,6.3,11.4,0.2
2002/1/5,8.4,12.8,1.5
2002/1/6,4.4,10.6,-1.3
2002/1/7,5.7,10.8,0.3
2002/1/8,4.5,5.9,2.6
2002/1/9,5.1,10.4,0.4
2002/1/10,6.1,10.8,0.1
2002/1/11,9.3,15.7,3.3
2002/1/12,8.5,15.3,1.1
2002/1/13,10.7,15.6,6.4
2002/1/14,11.2,13.1,7.7
2002/1/15,14.6,18.0,11.0
2002/1/16,14.5,17.6,11.8
2002/1/17,10.4,13.1,6.3
2002/1/18,7.5,9.9,6.2
2002/1/19,7.1,12.1,4.4
2002/1/20,6.8,10.3,2.3
2002/1/21,7.5,10.4,3.1
2002/1/22,4.1,6.5,1.5
2002/1/23,3.6,7.2,1.0
2002/1/24,4.8,9.3,0.5
2002/1/25,4.7,9.9,-0.9
2002/1/26,6.4,8.4,5.0
2002/1/27,8.3,11.2,6.4
2002/1/28,5.6,8.7,2.4
2002/1/29,4.5,7.1,2.1
2002/1/30,5.3,9.7,1.9
2002/1/31,4.6,8.8,0.9
2002/2/1,3.9,9.9,-1.6
2002/2/2,6.3,12.5,2.5
2002/2/3,7.1,12.8,1.8
2002/2/4,7.2,13.5,0.4
2002/2/5,8.3,13.3,5.3
2002/2/6,8.1,15.5,1.1
2002/2/7,8.2,15.5,3.6
2002/2/8,7.9,16.0,-1.4
2002/2/9,8.1,12.1,4.4
2002/2/10,5.6,8.9,3.3
2002/2/11,5.4,7.7,3.5
2002/2/12,5.0,9.8,0.6
2002/2/13,5.0,10.0,-0.6
2002/2/14,6.1,12.2,2.0
2002/2/15,6.2,12.7,-0.1
2002/2/16,6.8,13.8,-0.1
2002/2/17,8.9,13.0,4.8
2002/2/18,7.4,10.9,1.3
2002/2/19,3.7,7.5,-1.2
2002/2/20,5.3,13.0,-2.1
2002/2/21,8.7,14.1,1.3
2002/2/22,12.5,17.2,7.9
2002/2/23,9.5,15.2,2.8
2002/2/24,10.1,15.5,5.9
2002/2/25,9.3,16.4,2.6
2002/2/26,9.0,13.4,4.6
2002/2/27,10.1,11.4,8.4
2002/2/28,11.2,12.2,8.4
2002/3/1,10.6,16.1,4.4
2002/3/2,10.3,13.4,5.7
2002/3/3,10.4,16.6,6.5
2002/3/4,10.3,16.9,3.8
2002/3/5,10.9,13.1,8.7
2002/3/6,9.4,13.1,7.1
2002/3/7,6.7,10.7,1.4
2002/3/8,6.5,14.3,-0.6
2002/3/9,8.2,16.0,0.3
2002/3/10,12.5,19.0,4.4
2002/3/11,12.7,19.0,6.1
2002/3/12,10.8,17.4,3.5
2002/3/13,13.4,22.2,4.1
2002/3/14,13.0,16.6,9.0
2002/3/15,15.5,19.9,11.2
2002/3/16,13.4,20.4,8.2
2002/3/17,13.4,19.0,7.9
2002/3/18,12.4,18.3,6.6
2002/3/19,11.1,18.4,3.3
2002/3/20,14.3,21.0,7.4
2002/3/21,14.8,18.8,10.6
2002/3/22,9.9,11.1,9.0
2002/3/23,10.6,14.0,7.6
2002/3/24,9.6,12.0,6.7
2002/3/25,10.5,15.7,4.4
2002/3/26,14.4,18.6,9.6
2002/3/27,13.6,16.9,7.3
2002/3/28,13.9,21.3,4.5
2002/3/29,14.5,16.4,12.3
2002/3/30,15.1,21.6,9.9
2002/3/31,14.2,21.4,8.4
