É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 16:16:48

,âFòaìá,âFòaìá,âFòaìá
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1984/12/1,12.1,18.7,6.1
1984/12/2,9.4,13.3,5.2
1984/12/3,7.4,16.4,2.0
1984/12/4,9.6,19.5,2.2
1984/12/5,13.0,20.9,7.5
1984/12/6,11.6,15.9,7.1
1984/12/7,9.1,17.6,3.6
1984/12/8,8.5,17.3,2.2
1984/12/9,12.9,19.7,5.4
1984/12/10,18.2,22.7,14.4
1984/12/11,16.5,20.8,14.6
1984/12/12,13.6,17.6,11.1
1984/12/13,12.2,17.3,8.6
1984/12/14,12.8,14.6,9.9
1984/12/15,9.6,13.2,5.9
1984/12/16,9.2,11.6,6.6
1984/12/17,10.0,16.0,6.3
1984/12/18,7.4,10.2,3.4
1984/12/19,5.8,9.8,2.7
1984/12/20,6.1,10.7,2.9
1984/12/21,7.3,11.8,1.7
1984/12/22,4.8,8.3,0.9
1984/12/23,2.3,4.5,1.0
1984/12/24,2.6,4.3,1.0
1984/12/25,2.1,4.1,0.7
1984/12/26,4.8,8.4,2.0
1984/12/27,5.2,9.5,2.4
1984/12/28,4.4,6.2,2.4
1984/12/29,1.9,4.0,-0.9
1984/12/30,1.7,3.6,-0.8
1984/12/31,5.0,7.6,0.7
1985/1/1,3.8,12.1,-1.7
1985/1/2,6.2,14.1,-0.2
1985/1/3,7.6,13.1,4.7
1985/1/4,7.0,11.1,3.9
1985/1/5,5.4,10.2,2.6
1985/1/6,4.6,9.1,1.5
1985/1/7,4.7,8.8,1.7
1985/1/8,4.3,9.5,1.1
1985/1/9,5.0,11.8,1.4
1985/1/10,5.6,9.2,2.7
1985/1/11,4.0,10.6,-0.5
1985/1/12,5.6,12.7,-0.4
1985/1/13,4.2,8.6,-1.1
1985/1/14,-1.0,0.5,-3.0
1985/1/15,1.6,7.0,-2.2
1985/1/16,5.2,10.4,-0.2
1985/1/17,3.4,9.1,-0.6
1985/1/18,3.3,7.0,-0.1
1985/1/19,6.8,13.5,0.4
1985/1/20,7.3,10.5,4.9
1985/1/21,5.5,11.3,0.9
1985/1/22,6.9,16.3,-0.6
1985/1/23,8.7,15.5,2.7
1985/1/24,4.9,9.4,0.6
1985/1/25,4.0,9.5,0.4
1985/1/26,3.0,10.3,-1.9
1985/1/27,5.0,10.6,-1.9
1985/1/28,5.3,8.7,2.1
1985/1/29,2.8,7.3,-0.3
1985/1/30,0.1,2.6,-2.1
1985/1/31,2.7,9.3,-1.3
1985/2/1,6.5,14.9,-1.0
1985/2/2,7.4,13.2,0.8
1985/2/3,7.5,16.2,0.5
1985/2/4,7.5,14.1,1.0
1985/2/5,7.5,11.3,5.0
1985/2/6,7.5,9.9,5.3
1985/2/7,8.8,15.7,3.7
1985/2/8,10.4,14.3,5.7
1985/2/9,13.3,17.6,9.7
1985/2/10,7.7,12.6,5.6
1985/2/11,7.3,13.0,2.9
1985/2/12,7.7,12.5,2.9
1985/2/13,7.8,12.9,4.8
1985/2/14,5.1,9.9,0.9
1985/2/15,4.4,10.5,-2.0
1985/2/16,7.1,10.8,3.3
1985/2/17,6.3,10.9,1.0
1985/2/18,6.8,13.0,1.1
1985/2/19,9.6,15.0,5.3
1985/2/20,6.3,10.2,3.5
1985/2/21,3.6,6.5,1.7
1985/2/22,1.8,4.5,-0.7
1985/2/23,3.7,7.4,2.0
1985/2/24,2.4,7.4,-1.3
1985/2/25,3.8,10.4,-1.7
1985/2/26,5.5,9.4,2.1
1985/2/27,6.6,8.7,5.2
1985/2/28,10.1,11.9,7.3
1985/3/1,9.7,15.1,5.8
1985/3/2,9.1,12.0,5.2
1985/3/3,9.4,13.2,5.5
1985/3/4,8.0,14.2,3.0
1985/3/5,6.9,9.5,4.7
1985/3/6,7.8,15.3,1.9
1985/3/7,9.8,15.2,4.3
1985/3/8,15.3,18.6,10.3
1985/3/9,9.5,13.9,5.4
1985/3/10,9.1,14.8,3.8
1985/3/11,6.8,8.5,5.8
1985/3/12,6.9,12.5,2.8
1985/3/13,7.1,11.5,2.2
1985/3/14,8.4,12.5,4.8
1985/3/15,7.8,14.7,1.5
1985/3/16,10.8,16.4,2.7
1985/3/17,13.8,18.5,10.6
1985/3/18,10.8,13.9,6.9
1985/3/19,10.5,14.0,7.4
1985/3/20,7.9,12.4,3.4
1985/3/21,9.7,15.9,6.4
1985/3/22,10.6,17.8,4.0
1985/3/23,9.9,15.4,7.0
1985/3/24,11.2,17.9,4.4
1985/3/25,17.3,21.1,10.9
1985/3/26,16.4,20.3,13.6
1985/3/27,16.9,20.7,12.8
1985/3/28,14.1,20.9,8.9
1985/3/29,11.6,17.9,7.0
1985/3/30,9.3,14.6,5.0
1985/3/31,7.2,11.8,2.6
