ダウンロードした時刻：2017/07/24 15:38:33

,相川,相川,相川
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1989/1/1,5.5,9.1,4.3
1989/1/2,6.2,9.1,3.8
1989/1/3,7.1,9.5,3.4
1989/1/4,2.5,3.9,-0.1
1989/1/5,4.2,6.7,2.1
1989/1/6,5.9,9.2,2.1
1989/1/7,8.0,11.2,1.7
1989/1/8,8.0,10.1,3.1
1989/1/9,7.8,12.2,2.7
1989/1/10,9.9,11.7,7.5
1989/1/11,7.6,10.4,5.0
1989/1/12,3.8,5.0,2.3
1989/1/13,2.7,3.3,2.1
1989/1/14,0.8,4.3,-1.2
1989/1/15,0.1,1.9,-1.8
1989/1/16,4.4,7.6,0.1
1989/1/17,3.2,6.9,-0.4
1989/1/18,6.1,10.0,-0.4
1989/1/19,7.9,9.5,5.5
1989/1/20,8.6,10.2,7.3
1989/1/21,6.2,7.9,4.3
1989/1/22,2.5,4.3,1.5
1989/1/23,5.4,8.8,1.8
1989/1/24,5.3,8.0,3.6
1989/1/25,2.7,5.7,-0.5
1989/1/26,7.6,11.2,1.3
1989/1/27,4.8,9.4,1.4
1989/1/28,-1.2,1.9,-2.9
1989/1/29,2.8,5.2,-0.2
1989/1/30,3.5,7.3,0.5
1989/1/31,7.5,10.8,1.4
1989/2/1,3.7,8.3,1.0
1989/2/2,1.0,2.7,-0.6
1989/2/3,0.3,1.6,-1.6
1989/2/4,2.9,4.7,-0.3
1989/2/5,4.7,5.9,3.4
1989/2/6,5.7,9.0,2.4
1989/2/7,5.2,8.0,1.1
1989/2/8,5.7,9.4,1.1
1989/2/9,6.0,7.6,4.3
1989/2/10,3.2,5.3,1.5
1989/2/11,1.7,4.6,-0.4
1989/2/12,3.0,5.2,0.4
1989/2/13,3.5,6.1,1.0
1989/2/14,4.3,7.8,0.0
1989/2/15,6.3,9.7,-0.1
1989/2/16,8.3,9.2,7.0
1989/2/17,4.7,7.0,3.6
1989/2/18,4.5,6.0,2.4
1989/2/19,4.1,6.9,0.4
1989/2/20,6.7,10.5,-0.6
1989/2/21,4.2,7.7,0.8
1989/2/22,2.4,4.3,1.0
1989/2/23,1.7,6.0,-2.3
1989/2/24,3.3,5.3,1.0
1989/2/25,3.6,6.8,1.6
1989/2/26,3.6,6.4,1.3
1989/2/27,4.7,7.5,2.1
1989/2/28,10.6,15.4,4.8
1989/3/1,6.5,10.5,0.9
1989/3/2,4.7,9.8,-1.1
1989/3/3,12.0,15.6,4.3
1989/3/4,10.3,16.5,4.2
1989/3/5,3.3,4.9,1.4
1989/3/6,3.5,6.7,0.2
1989/3/7,3.7,6.3,1.0
1989/3/8,2.5,4.5,1.1
1989/3/9,4.1,6.8,0.4
1989/3/10,7.1,9.4,4.6
1989/3/11,8.6,10.7,6.4
1989/3/12,8.7,10.6,6.9
1989/3/13,10.6,15.0,7.1
1989/3/14,9.7,12.9,8.0
1989/3/15,6.8,8.9,4.0
1989/3/16,5.6,8.7,2.5
1989/3/17,3.9,6.0,2.2
1989/3/18,4.5,6.1,3.0
1989/3/19,5.3,8.7,1.6
1989/3/20,5.3,8.0,2.3
1989/3/21,5.7,8.4,3.7
1989/3/22,6.0,8.7,4.2
1989/3/23,4.9,7.4,1.9
1989/3/24,7.5,9.9,1.8
1989/3/25,6.6,9.6,4.1
1989/3/26,5.9,9.7,1.9
1989/3/27,7.5,12.1,2.4
1989/3/28,7.4,10.1,6.5
1989/3/29,6.5,10.6,1.9
1989/3/30,8.2,13.0,1.4
1989/3/31,12.2,16.2,7.7
1989/4/1,10.6,14.9,6.9
1989/4/2,9.2,12.9,6.3
1989/4/3,12.3,18.5,7.0
1989/4/4,7.3,10.2,2.3
1989/4/5,6.2,11.6,1.2
1989/4/6,8.3,12.1,5.3
1989/4/7,12.3,19.1,3.1
1989/4/8,13.0,16.5,10.5
1989/4/9,10.3,13.9,7.4
1989/4/10,11.1,14.5,6.9
1989/4/11,8.2,14.1,5.9
1989/4/12,8.5,10.1,5.4
1989/4/13,9.4,12.5,7.6
1989/4/14,12.2,17.6,6.8
1989/4/15,14.0,18.3,11.1
1989/4/16,13.4,17.7,10.5
1989/4/17,10.7,12.4,9.0
1989/4/18,11.3,13.4,9.1
1989/4/19,11.6,15.2,7.6
1989/4/20,12.0,17.5,6.6
1989/4/21,10.9,16.6,4.5
1989/4/22,17.2,22.1,9.2
1989/4/23,13.9,17.8,12.4
1989/4/24,10.5,12.7,9.1
1989/4/25,7.4,9.1,4.2
1989/4/26,9.8,13.6,3.3
1989/4/27,13.0,17.6,9.4
1989/4/28,7.7,9.5,5.2
1989/4/29,9.1,13.1,3.2
1989/4/30,13.0,18.0,5.9
1989/5/1,14.4,17.4,11.0
