ダウンロードした時刻：2019/10/10 16:12:27

,洲本,洲本,洲本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/12/1,9.5,12.6,5.6
1986/12/2,9.6,12.4,7.8
1986/12/3,11.5,14.2,8.4
1986/12/4,10.0,13.2,7.6
1986/12/5,9.6,12.4,6.3
1986/12/6,11.6,14.4,7.8
1986/12/7,10.5,15.0,6.8
1986/12/8,8.3,10.6,5.8
1986/12/9,8.4,11.9,4.7
1986/12/10,8.6,9.7,6.6
1986/12/11,9.4,13.0,5.8
1986/12/12,10.2,12.8,7.0
1986/12/13,11.6,14.0,8.6
1986/12/14,11.7,12.4,10.9
1986/12/15,10.5,12.4,6.3
1986/12/16,7.0,9.3,4.3
1986/12/17,7.4,10.0,5.4
1986/12/18,11.4,16.9,6.5
1986/12/19,9.5,12.5,6.6
1986/12/20,5.8,7.4,4.2
1986/12/21,6.6,10.5,2.8
1986/12/22,6.4,8.5,3.8
1986/12/23,5.9,8.6,2.6
1986/12/24,9.7,13.0,6.6
1986/12/25,10.2,11.9,8.3
1986/12/26,7.7,10.6,4.2
1986/12/27,5.4,8.4,3.4
1986/12/28,4.8,8.2,1.8
1986/12/29,4.3,7.1,2.0
1986/12/30,7.6,10.8,3.3
1986/12/31,12.0,15.5,8.3
1987/1/1,6.4,11.1,3.6
1987/1/2,8.0,16.4,3.7
1987/1/3,10.8,16.5,7.6
1987/1/4,7.2,10.1,4.3
1987/1/5,3.8,5.9,2.1
1987/1/6,6.8,10.4,2.8
1987/1/7,7.6,11.8,3.7
1987/1/8,8.1,12.1,5.7
1987/1/9,8.6,12.5,4.9
1987/1/10,5.7,8.5,2.8
1987/1/11,2.8,5.3,1.1
1987/1/12,3.7,5.2,2.0
1987/1/13,1.3,4.2,-1.7
1987/1/14,2.4,4.8,-0.8
1987/1/15,6.0,9.6,3.3
1987/1/16,9.0,13.3,4.3
1987/1/17,10.1,13.2,6.1
1987/1/18,5.6,7.9,3.4
1987/1/19,4.6,6.6,1.9
1987/1/20,2.5,5.7,-0.2
1987/1/21,2.6,6.2,-0.2
1987/1/22,5.1,8.9,2.0
1987/1/23,10.0,15.4,5.1
1987/1/24,6.0,10.2,1.9
1987/1/25,1.3,4.8,-0.9
1987/1/26,2.4,5.7,-1.7
1987/1/27,5.0,8.5,1.3
1987/1/28,5.9,9.3,2.1
1987/1/29,8.2,11.7,4.8
1987/1/30,9.1,13.3,4.3
1987/1/31,4.5,8.8,2.0
1987/2/1,3.0,6.5,0.8
1987/2/2,2.6,4.3,1.6
1987/2/3,2.2,3.9,-0.2
1987/2/4,2.5,4.7,1.1
1987/2/5,5.4,8.7,2.4
1987/2/6,7.1,10.6,3.9
1987/2/7,8.9,14.9,5.2
1987/2/8,8.8,13.2,4.6
1987/2/9,9.4,13.1,4.9
1987/2/10,10.7,14.2,5.7
1987/2/11,16.1,19.6,11.9
1987/2/12,11.6,17.4,6.4
1987/2/13,6.6,9.5,4.6
1987/2/14,8.9,14.0,5.4
1987/2/15,5.7,9.5,2.6
1987/2/16,5.4,9.8,0.9
1987/2/17,4.3,6.0,3.6
1987/2/18,5.9,8.7,4.0
1987/2/19,3.5,6.1,1.3
1987/2/20,3.8,7.4,1.0
1987/2/21,4.4,8.4,2.1
1987/2/22,3.5,5.7,1.9
1987/2/23,6.9,12.0,2.5
1987/2/24,8.5,12.2,4.7
1987/2/25,3.0,9.9,0.4
1987/2/26,2.0,5.1,0.4
1987/2/27,2.1,6.7,-0.5
1987/2/28,2.7,6.5,-1.5
1987/3/1,3.8,7.5,0.7
1987/3/2,1.9,6.2,-0.7
1987/3/3,5.3,10.2,-0.6
1987/3/4,8.0,11.8,3.9
1987/3/5,12.5,17.3,7.9
1987/3/6,11.9,17.5,6.1
1987/3/7,2.7,6.1,0.7
1987/3/8,4.2,7.4,2.2
1987/3/9,4.2,5.9,2.5
1987/3/10,4.7,7.5,1.1
1987/3/11,5.7,8.6,3.7
1987/3/12,7.5,10.6,3.1
1987/3/13,8.1,9.5,6.6
1987/3/14,9.4,10.8,6.9
1987/3/15,6.5,10.6,2.8
1987/3/16,7.5,12.1,3.9
1987/3/17,5.9,6.7,5.1
1987/3/18,9.6,13.7,6.0
1987/3/19,11.5,16.1,6.0
1987/3/20,10.3,16.3,6.8
1987/3/21,10.5,15.7,5.6
1987/3/22,13.8,18.3,11.0
1987/3/23,12.8,14.4,11.1
1987/3/24,13.2,18.4,9.0
1987/3/25,7.0,11.3,2.8
1987/3/26,4.1,8.7,0.1
1987/3/27,6.4,10.9,1.2
1987/3/28,8.0,11.3,3.5
1987/3/29,7.7,9.5,6.3
1987/3/30,8.4,10.8,5.9
1987/3/31,7.2,10.8,2.7
