ダウンロードした時刻：2017/07/24 15:41:24

,銚子,銚子,銚子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,5.3,9.2,0.8
1985/1/2,4.7,9.2,0.3
1985/1/3,5.3,8.4,3.0
1985/1/4,5.4,7.9,1.5
1985/1/5,2.3,5.7,-0.6
1985/1/6,3.7,6.4,-0.1
1985/1/7,2.8,6.6,-0.1
1985/1/8,3.6,8.0,0.3
1985/1/9,5.4,9.1,0.4
1985/1/10,7.2,11.8,3.6
1985/1/11,7.6,9.9,3.7
1985/1/12,6.4,9.6,1.7
1985/1/13,5.6,9.2,1.4
1985/1/14,1.9,6.8,-2.1
1985/1/15,2.4,6.7,-4.1
1985/1/16,7.4,12.7,0.2
1985/1/17,3.2,6.6,0.5
1985/1/18,1.8,4.9,-2.2
1985/1/19,5.1,7.2,0.6
1985/1/20,6.4,12.5,2.9
1985/1/21,4.5,8.8,1.4
1985/1/22,4.8,10.0,-0.2
1985/1/23,6.7,10.9,1.7
1985/1/24,4.3,6.3,2.8
1985/1/25,2.5,6.2,0.6
1985/1/26,2.3,6.9,-1.2
1985/1/27,4.0,8.0,-1.7
1985/1/28,6.8,12.0,1.3
1985/1/29,3.0,6.8,-0.6
1985/1/30,-0.2,3.4,-2.6
1985/1/31,2.8,6.9,-3.2
1985/2/1,7.4,12.4,2.9
1985/2/2,7.6,11.1,2.9
1985/2/3,8.0,11.6,4.5
1985/2/4,8.0,9.6,4.1
1985/2/5,7.9,9.9,5.0
1985/2/6,9.2,10.3,7.2
1985/2/7,10.3,12.6,8.0
1985/2/8,9.1,10.8,8.5
1985/2/9,12.8,16.2,9.0
1985/2/10,10.9,15.6,5.2
1985/2/11,6.6,11.2,3.2
1985/2/12,7.1,10.6,2.5
1985/2/13,7.5,12.4,2.5
1985/2/14,3.4,7.7,0.1
1985/2/15,4.1,8.9,-0.1
1985/2/16,5.8,8.4,2.4
1985/2/17,6.9,9.4,3.5
1985/2/18,6.6,9.3,2.0
1985/2/19,8.8,11.7,5.9
1985/2/20,10.6,14.1,7.7
1985/2/21,8.5,14.4,2.3
1985/2/22,3.7,8.5,-0.6
1985/2/23,5.1,9.0,0.8
1985/2/24,4.1,8.5,1.1
1985/2/25,4.5,8.0,0.1
1985/2/26,6.1,7.3,5.0
1985/2/27,5.9,6.9,5.2
1985/2/28,5.7,6.5,4.8
1985/3/1,6.3,8.0,5.4
1985/3/2,6.7,8.0,4.2
1985/3/3,7.6,11.4,5.2
1985/3/4,5.9,9.9,3.0
1985/3/5,6.3,9.9,4.4
1985/3/6,4.8,6.0,4.2
1985/3/7,6.7,8.1,5.2
1985/3/8,10.6,14.5,6.8
1985/3/9,10.1,15.7,5.4
1985/3/10,6.3,8.0,5.5
1985/3/11,4.3,6.0,2.9
1985/3/12,5.3,6.7,1.5
1985/3/13,7.3,8.9,5.2
1985/3/14,4.9,7.4,3.3
1985/3/15,4.5,5.5,3.7
1985/3/16,5.3,7.5,3.6
1985/3/17,7.2,10.2,5.2
1985/3/18,9.3,11.8,6.6
1985/3/19,7.0,9.5,5.1
1985/3/20,7.2,9.4,4.9
1985/3/21,7.1,9.0,6.3
1985/3/22,8.5,10.8,6.5
1985/3/23,7.2,7.8,6.1
1985/3/24,7.2,9.3,5.3
1985/3/25,11.6,15.1,5.3
1985/3/26,12.9,16.0,9.5
1985/3/27,6.8,9.5,4.5
1985/3/28,8.6,10.4,6.2
1985/3/29,7.6,8.3,7.1
1985/3/30,8.4,10.2,7.0
1985/3/31,7.0,8.9,3.9
1985/4/1,7.4,10.5,1.9
1985/4/2,11.3,14.8,5.1
1985/4/3,14.5,17.4,12.5
1985/4/4,15.1,18.1,13.4
1985/4/5,13.4,14.8,11.5
1985/4/6,12.9,14.9,8.7
1985/4/7,14.5,16.8,12.2
1985/4/8,12.9,15.0,11.3
1985/4/9,11.2,13.3,9.2
1985/4/10,11.3,14.1,8.4
1985/4/11,12.8,16.8,10.6
1985/4/12,9.1,12.3,7.8
1985/4/13,8.1,8.8,7.6
1985/4/14,8.4,9.7,7.7
1985/4/15,9.7,12.1,7.7
1985/4/16,9.8,11.7,8.6
1985/4/17,11.1,13.9,7.8
1985/4/18,9.1,11.0,8.4
1985/4/19,12.0,15.0,8.6
1985/4/20,14.0,16.9,11.4
1985/4/21,13.2,16.9,9.6
1985/4/22,15.8,19.5,10.1
1985/4/23,14.5,18.1,12.0
1985/4/24,13.4,19.4,10.4
1985/4/25,14.0,16.8,9.4
1985/4/26,16.6,19.2,14.0
1985/4/27,14.6,17.4,11.1
1985/4/28,12.2,14.4,10.5
1985/4/29,13.0,15.7,10.8
1985/4/30,14.5,17.8,10.7
1985/5/1,16.5,21.1,11.3
