ダウンロードした時刻：2017/07/24 15:42:36

,大島,大島,大島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,5.4,8.1,2.8
1985/1/2,5.5,8.3,2.5
1985/1/3,4.6,6.1,3.3
1985/1/4,4.2,6.6,0.3
1985/1/5,2.7,5.5,-0.3
1985/1/6,4.0,7.5,0.7
1985/1/7,3.1,7.1,-0.1
1985/1/8,3.8,6.3,1.6
1985/1/9,5.1,8.3,1.8
1985/1/10,7.3,10.8,4.3
1985/1/11,7.3,9.9,4.9
1985/1/12,7.4,10.7,5.7
1985/1/13,5.9,8.7,3.5
1985/1/14,1.4,3.6,0.1
1985/1/15,2.5,6.0,-0.9
1985/1/16,6.2,9.5,3.8
1985/1/17,3.1,6.2,-0.1
1985/1/18,2.6,4.6,-0.8
1985/1/19,3.6,6.2,1.6
1985/1/20,7.3,12.3,3.7
1985/1/21,5.4,9.3,2.6
1985/1/22,6.5,10.8,1.8
1985/1/23,6.3,10.2,3.9
1985/1/24,4.1,6.4,2.2
1985/1/25,2.6,6.2,0.4
1985/1/26,2.6,7.2,-0.2
1985/1/27,4.4,8.0,1.7
1985/1/28,7.3,11.8,3.7
1985/1/29,3.8,7.6,1.0
1985/1/30,1.8,5.3,-1.1
1985/1/31,2.4,6.3,-1.9
1985/2/1,7.2,9.6,3.1
1985/2/2,8.1,12.1,5.0
1985/2/3,8.0,11.3,3.7
1985/2/4,6.9,10.7,3.5
1985/2/5,6.7,8.5,5.2
1985/2/6,7.2,9.4,5.1
1985/2/7,9.1,12.9,7.1
1985/2/8,7.5,9.2,5.5
1985/2/9,8.5,15.9,4.5
1985/2/10,10.6,15.1,5.1
1985/2/11,7.3,12.4,4.3
1985/2/12,7.4,10.9,2.8
1985/2/13,9.1,12.5,4.7
1985/2/14,4.2,9.3,1.0
1985/2/15,4.4,9.3,0.0
1985/2/16,6.2,8.1,2.4
1985/2/17,6.9,10.8,3.9
1985/2/18,6.3,8.1,3.3
1985/2/19,5.9,7.7,4.7
1985/2/20,8.6,10.5,5.4
1985/2/21,6.8,10.3,0.6
1985/2/22,2.2,6.0,-0.2
1985/2/23,4.2,8.4,1.2
1985/2/24,3.4,7.4,0.4
1985/2/25,5.1,8.6,1.0
1985/2/26,4.7,6.9,2.0
1985/2/27,5.7,8.0,3.4
1985/2/28,3.7,5.2,3.1
1985/3/1,6.8,8.3,4.2
1985/3/2,9.6,12.6,7.7
1985/3/3,8.3,11.7,5.4
1985/3/4,6.9,10.0,3.7
1985/3/5,6.8,9.9,5.1
1985/3/6,6.6,8.8,5.4
1985/3/7,8.7,12.4,4.3
1985/3/8,10.9,14.7,7.3
1985/3/9,12.3,16.5,7.2
1985/3/10,7.4,9.7,5.7
1985/3/11,3.1,6.6,2.0
1985/3/12,5.9,8.2,3.1
1985/3/13,8.1,10.8,5.3
1985/3/14,5.5,8.3,3.7
1985/3/15,5.1,6.9,3.9
1985/3/16,6.0,9.1,3.2
1985/3/17,7.2,9.0,5.7
1985/3/18,12.0,16.8,8.6
1985/3/19,6.4,11.7,4.5
1985/3/20,7.7,11.0,4.7
1985/3/21,7.0,8.7,6.0
1985/3/22,9.6,13.4,6.8
1985/3/23,6.0,9.5,4.2
1985/3/24,6.5,10.3,3.9
1985/3/25,11.1,16.3,6.6
1985/3/26,14.2,17.1,11.3
1985/3/27,6.7,11.3,3.9
1985/3/28,10.0,13.9,7.4
1985/3/29,9.8,12.3,8.5
1985/3/30,9.9,12.9,8.6
1985/3/31,7.9,13.7,4.0
1985/4/1,8.0,12.8,3.0
1985/4/2,10.3,13.7,5.6
1985/4/3,14.3,18.7,11.4
1985/4/4,14.6,16.1,12.8
1985/4/5,13.4,16.1,11.2
1985/4/6,12.7,17.0,8.8
1985/4/7,13.4,15.6,11.9
1985/4/8,12.2,15.6,10.9
1985/4/9,13.8,18.7,10.8
1985/4/10,13.7,18.7,9.8
1985/4/11,12.9,14.2,11.6
1985/4/12,8.1,11.8,6.7
1985/4/13,9.1,12.6,6.8
1985/4/14,11.6,16.6,7.3
1985/4/15,10.5,13.1,7.2
1985/4/16,10.9,12.9,9.4
1985/4/17,12.8,16.8,9.0
1985/4/18,9.0,11.2,7.8
1985/4/19,12.4,16.3,7.1
1985/4/20,14.7,18.0,12.0
1985/4/21,15.0,19.0,10.5
1985/4/22,15.9,20.0,13.3
1985/4/23,16.5,20.0,13.8
1985/4/24,15.8,21.1,10.0
1985/4/25,14.4,19.1,9.7
1985/4/26,16.4,19.7,13.4
1985/4/27,14.8,18.5,10.9
1985/4/28,12.8,17.3,9.8
1985/4/29,13.7,18.4,9.4
1985/4/30,15.2,20.7,10.9
1985/5/1,16.4,21.5,12.9
