ダウンロードした時刻：2019/10/10 16:06:39

,舞鶴,舞鶴,舞鶴
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2009/12/1,8.7,15.8,5.0
2009/12/2,8.7,16.2,4.9
2009/12/3,8.6,11.0,5.5
2009/12/4,11.3,14.1,6.2
2009/12/5,10.2,17.0,5.0
2009/12/6,8.1,13.1,4.7
2009/12/7,8.1,10.7,3.6
2009/12/8,8.4,12.3,3.0
2009/12/9,7.9,14.0,2.4
2009/12/10,9.2,13.5,4.8
2009/12/11,11.8,13.4,9.5
2009/12/12,12.6,14.8,11.5
2009/12/13,10.1,11.7,7.6
2009/12/14,8.1,13.9,3.9
2009/12/15,5.7,8.9,3.7
2009/12/16,4.9,7.5,2.5
2009/12/17,3.6,7.7,0.0
2009/12/18,1.7,6.1,-1.8
2009/12/19,1.3,5.5,-1.1
2009/12/20,2.9,8.1,-1.5
2009/12/21,1.4,3.1,0.4
2009/12/22,3.5,9.6,0.2
2009/12/23,5.2,9.3,1.1
2009/12/24,5.5,7.1,3.5
2009/12/25,6.1,10.9,2.7
2009/12/26,8.5,13.3,6.3
2009/12/27,5.7,9.5,2.2
2009/12/28,5.3,8.0,2.5
2009/12/29,5.0,10.6,1.7
2009/12/30,5.9,12.3,0.9
2009/12/31,1.4,5.3,-0.8
2010/1/1,0.3,2.0,-1.3
2010/1/2,2.1,4.5,0.5
2010/1/3,3.1,5.3,1.4
2010/1/4,5.1,9.9,0.9
2010/1/5,4.5,10.3,1.0
2010/1/6,1.8,5.3,-0.3
2010/1/7,1.8,3.9,0.3
2010/1/8,2.5,5.7,0.9
2010/1/9,3.0,8.2,0.4
2010/1/10,3.7,5.9,1.7
2010/1/11,5.2,10.3,2.3
2010/1/12,5.0,8.0,2.8
2010/1/13,0.6,3.6,-1.4
2010/1/14,0.2,3.9,-1.8
2010/1/15,1.6,6.9,-1.9
2010/1/16,1.3,4.2,-0.7
2010/1/17,2.1,6.7,-1.4
2010/1/18,4.4,9.3,1.1
2010/1/19,6.4,12.5,1.5
2010/1/20,10.9,18.0,2.4
2010/1/21,8.6,14.2,4.7
2010/1/22,4.7,7.8,2.2
2010/1/23,3.4,8.1,0.4
2010/1/24,3.7,10.8,-0.5
2010/1/25,3.5,7.8,-0.9
2010/1/26,4.3,7.6,0.6
2010/1/27,5.5,12.9,-1.8
2010/1/28,9.4,14.3,3.9
2010/1/29,4.8,11.1,0.3
2010/1/30,5.0,11.0,0.3
2010/1/31,6.1,9.4,2.4
2010/2/1,5.6,7.9,3.2
2010/2/2,5.3,9.3,3.2
2010/2/3,2.2,6.1,-0.4
2010/2/4,1.2,5.9,-1.3
2010/2/5,2.1,6.6,-0.4
2010/2/6,1.6,4.1,-0.3
2010/2/7,3.2,7.2,-0.7
2010/2/8,6.1,11.9,-0.6
2010/2/9,12.7,18.0,9.3
2010/2/10,8.8,10.9,6.6
2010/2/11,6.0,7.7,4.1
2010/2/12,3.9,5.8,1.2
2010/2/13,3.4,7.6,0.0
2010/2/14,4.3,9.9,-0.5
2010/2/15,5.5,7.9,3.1
2010/2/16,3.5,6.1,-0.4
2010/2/17,1.6,4.8,-1.0
2010/2/18,3.3,9.2,-0.6
2010/2/19,2.5,9.4,-0.7
2010/2/20,3.6,9.2,-1.5
2010/2/21,4.3,9.2,-0.6
2010/2/22,6.6,15.9,-1.4
2010/2/23,8.4,15.8,3.4
2010/2/24,11.6,22.5,4.0
2010/2/25,16.5,22.5,9.2
2010/2/26,15.9,19.1,11.9
2010/2/27,9.4,12.3,8.8
2010/2/28,7.4,8.9,5.2
2010/3/1,8.0,12.4,2.7
2010/3/2,8.2,9.4,6.9
2010/3/3,7.5,10.5,4.8
2010/3/4,10.4,14.5,5.6
2010/3/5,11.5,14.0,8.7
2010/3/6,9.2,10.1,8.0
2010/3/7,6.8,8.9,5.8
2010/3/8,6.2,7.1,5.1
2010/3/9,3.3,5.6,1.2
2010/3/10,3.4,6.7,1.5
2010/3/11,3.9,9.3,0.6
2010/3/12,8.5,15.7,-0.4
2010/3/13,10.7,14.1,5.4
2010/3/14,6.5,12.3,1.1
2010/3/15,13.7,17.4,4.9
2010/3/16,10.7,15.5,3.6
2010/3/17,5.4,8.2,2.6
2010/3/18,6.1,11.0,1.1
2010/3/19,9.0,15.3,5.0
2010/3/20,16.8,23.5,6.5
2010/3/21,8.7,20.3,2.3
2010/3/22,6.3,11.4,0.3
2010/3/23,7.3,9.6,5.4
2010/3/24,7.5,9.1,6.5
2010/3/25,6.1,8.3,3.7
2010/3/26,3.6,9.6,0.1
2010/3/27,5.9,11.9,-0.1
2010/3/28,7.6,12.9,5.2
2010/3/29,4.2,6.8,1.0
2010/3/30,4.3,8.3,0.3
2010/3/31,7.8,13.1,0.5
