ダウンロードした時刻：2019/10/10 16:00:26

,横浜,横浜,横浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1988/12/1,8.6,13.6,4.2
1988/12/2,8.4,12.8,3.6
1988/12/3,8.2,12.3,4.5
1988/12/4,9.1,12.3,5.2
1988/12/5,11.0,17.2,7.1
1988/12/6,9.1,13.0,5.2
1988/12/7,8.9,13.1,4.4
1988/12/8,9.7,14.5,4.5
1988/12/9,12.6,16.1,7.2
1988/12/10,9.3,12.1,6.7
1988/12/11,8.4,13.3,3.9
1988/12/12,8.9,13.9,3.1
1988/12/13,9.9,11.6,7.5
1988/12/14,11.8,17.2,6.5
1988/12/15,8.8,12.2,4.9
1988/12/16,5.3,9.5,2.6
1988/12/17,4.8,10.4,0.9
1988/12/18,6.0,10.5,1.3
1988/12/19,7.7,12.1,2.8
1988/12/20,9.5,15.0,3.5
1988/12/21,8.1,11.9,4.9
1988/12/22,6.8,11.4,3.4
1988/12/23,6.5,10.0,3.1
1988/12/24,7.0,11.1,1.9
1988/12/25,6.6,10.9,4.2
1988/12/26,5.6,9.4,2.0
1988/12/27,4.6,7.7,1.7
1988/12/28,4.8,9.4,1.0
1988/12/29,5.7,10.5,1.7
1988/12/30,6.8,11.5,2.2
1988/12/31,7.1,10.0,1.2
1989/1/1,9.2,15.5,6.1
1989/1/2,9.3,14.5,3.3
1989/1/3,8.2,12.2,3.8
1989/1/4,6.5,10.1,4.1
1989/1/5,5.8,10.8,2.7
1989/1/6,6.5,10.8,1.7
1989/1/7,7.9,11.2,4.8
1989/1/8,7.8,9.9,5.5
1989/1/9,9.1,10.3,7.5
1989/1/10,9.3,11.9,6.9
1989/1/11,10.2,13.4,7.3
1989/1/12,8.6,9.6,7.8
1989/1/13,7.8,9.0,7.0
1989/1/14,6.7,7.4,6.1
1989/1/15,4.4,6.1,3.1
1989/1/16,5.2,8.0,2.9
1989/1/17,5.8,8.9,1.8
1989/1/18,8.0,12.2,3.5
1989/1/19,13.6,18.5,8.1
1989/1/20,16.0,18.9,12.1
1989/1/21,10.7,14.0,6.8
1989/1/22,8.3,11.2,5.9
1989/1/23,4.2,8.1,2.3
1989/1/24,8.4,13.7,5.2
1989/1/25,7.3,11.3,3.7
1989/1/26,5.4,7.2,3.6
1989/1/27,9.1,15.0,4.0
1989/1/28,3.4,7.1,0.4
1989/1/29,4.6,10.3,0.0
1989/1/30,7.5,13.5,1.3
1989/1/31,10.1,15.2,2.7
1989/2/1,8.5,13.7,6.1
1989/2/2,5.1,7.7,2.5
1989/2/3,4.4,9.5,0.1
1989/2/4,5.3,9.5,1.8
1989/2/5,7.0,11.7,2.5
1989/2/6,7.0,10.6,3.4
1989/2/7,8.4,12.8,4.5
1989/2/8,8.6,11.9,4.0
1989/2/9,9.7,13.3,7.2
1989/2/10,5.1,8.0,4.0
1989/2/11,5.7,9.6,2.3
1989/2/12,6.1,9.3,2.1
1989/2/13,5.6,8.6,3.2
1989/2/14,7.1,12.7,1.3
1989/2/15,9.1,13.5,2.2
1989/2/16,14.1,16.5,11.7
1989/2/17,9.6,16.2,6.9
1989/2/18,5.6,6.9,4.6
1989/2/19,8.0,10.9,5.5
1989/2/20,10.0,13.7,4.2
1989/2/21,9.0,15.4,4.8
1989/2/22,5.9,8.0,4.1
1989/2/23,5.3,7.6,3.2
1989/2/24,4.1,5.8,2.6
1989/2/25,4.8,5.7,3.8
1989/2/26,7.2,13.7,3.6
1989/2/27,8.1,12.2,3.5
1989/2/28,10.1,14.5,5.4
1989/3/1,13.0,15.8,7.1
1989/3/2,7.7,11.9,4.0
1989/3/3,8.6,11.8,4.0
1989/3/4,15.7,19.5,9.1
1989/3/5,7.6,16.7,5.2
1989/3/6,7.7,10.9,4.6
1989/3/7,5.1,8.1,3.1
1989/3/8,4.3,7.2,2.8
1989/3/9,5.7,9.2,2.6
1989/3/10,7.8,11.9,2.6
1989/3/11,8.9,13.2,3.9
1989/3/12,11.5,16.4,5.6
1989/3/13,11.7,16.7,8.3
1989/3/14,12.2,17.5,9.0
1989/3/15,11.5,16.1,8.5
1989/3/16,9.0,12.9,6.4
1989/3/17,7.6,13.0,4.7
1989/3/18,7.7,12.4,2.8
1989/3/19,8.9,14.8,4.7
1989/3/20,9.4,15.4,5.5
1989/3/21,9.5,14.2,6.6
1989/3/22,7.5,11.2,5.5
1989/3/23,8.9,13.0,4.8
1989/3/24,8.5,10.9,6.9
1989/3/25,10.4,17.1,5.8
1989/3/26,10.4,14.1,6.1
1989/3/27,9.6,13.4,6.3
1989/3/28,7.2,9.0,5.4
1989/3/29,10.0,14.5,6.0
1989/3/30,11.0,15.4,6.3
1989/3/31,11.7,16.7,8.2
