ダウンロードした時刻：2019/10/10 15:52:52

,敦賀,敦賀,敦賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2001/12/1,10.2,14.5,7.1
2001/12/2,9.5,14.4,7.1
2001/12/3,10.9,14.2,7.5
2001/12/4,10.6,14.2,8.6
2001/12/5,11.9,16.2,8.9
2001/12/6,10.3,11.8,8.2
2001/12/7,8.2,10.5,5.4
2001/12/8,8.5,13.4,4.9
2001/12/9,9.7,11.8,8.3
2001/12/10,6.6,8.8,4.9
2001/12/11,6.4,7.9,4.0
2001/12/12,8.2,11.4,3.2
2001/12/13,10.7,13.6,7.8
2001/12/14,4.7,9.8,1.0
2001/12/15,4.6,7.3,1.3
2001/12/16,4.0,7.2,2.2
2001/12/17,6.0,9.9,2.3
2001/12/18,5.8,9.8,3.3
2001/12/19,5.0,7.7,2.6
2001/12/20,5.8,8.8,3.6
2001/12/21,5.8,7.9,4.5
2001/12/22,4.8,7.0,1.6
2001/12/23,4.1,8.4,0.4
2001/12/24,6.5,11.1,2.6
2001/12/25,6.6,10.3,1.9
2001/12/26,6.0,9.0,2.6
2001/12/27,4.9,7.8,2.1
2001/12/28,3.8,6.6,1.2
2001/12/29,5.3,9.4,0.1
2001/12/30,4.5,8.9,1.8
2001/12/31,2.7,4.7,1.3
2002/1/1,5.4,7.4,2.9
2002/1/2,1.5,5.2,-1.9
2002/1/3,1.1,4.1,0.0
2002/1/4,2.9,4.7,0.4
2002/1/5,4.0,6.5,1.5
2002/1/6,3.9,6.1,1.6
2002/1/7,4.8,7.4,2.2
2002/1/8,3.5,5.9,0.8
2002/1/9,2.7,5.2,0.4
2002/1/10,5.8,8.6,2.4
2002/1/11,7.7,10.4,4.6
2002/1/12,7.7,13.5,2.5
2002/1/13,7.4,13.7,3.5
2002/1/14,7.5,12.9,1.6
2002/1/15,11.6,13.7,9.8
2002/1/16,11.6,14.7,8.0
2002/1/17,6.4,8.2,3.4
2002/1/18,4.7,5.8,2.3
2002/1/19,4.5,8.0,0.8
2002/1/20,7.5,12.6,0.2
2002/1/21,10.2,12.1,7.3
2002/1/22,6.0,8.8,2.7
2002/1/23,3.9,6.7,1.0
2002/1/24,3.1,5.4,0.5
2002/1/25,3.9,6.2,0.9
2002/1/26,4.1,8.2,-0.4
2002/1/27,6.8,8.1,5.0
2002/1/28,4.3,7.0,1.0
2002/1/29,1.7,3.3,0.4
2002/1/30,2.7,4.9,0.3
2002/1/31,2.4,4.9,0.7
2002/2/1,2.6,7.3,-0.7
2002/2/2,4.8,9.1,1.6
2002/2/3,5.9,9.3,2.7
2002/2/4,6.5,10.9,3.2
2002/2/5,7.5,11.7,2.1
2002/2/6,6.4,12.9,2.4
2002/2/7,7.7,11.5,4.2
2002/2/8,8.1,10.9,3.3
2002/2/9,4.6,9.5,1.4
2002/2/10,2.8,5.0,0.5
2002/2/11,1.1,4.4,-0.1
2002/2/12,1.5,3.6,0.3
2002/2/13,1.7,4.7,-0.7
2002/2/14,1.4,5.4,-1.9
2002/2/15,3.3,5.8,0.9
2002/2/16,4.4,8.9,-0.3
2002/2/17,7.1,9.0,5.2
2002/2/18,4.3,7.7,1.3
2002/2/19,3.2,4.7,1.4
2002/2/20,6.4,10.5,3.3
2002/2/21,8.1,13.4,2.5
2002/2/22,7.8,9.8,6.1
2002/2/23,8.8,12.2,6.8
2002/2/24,7.4,11.7,4.1
2002/2/25,6.2,9.8,0.1
2002/2/26,8.8,13.9,5.4
2002/2/27,9.4,12.4,4.5
2002/2/28,9.8,10.8,8.1
2002/3/1,10.9,14.8,7.7
2002/3/2,7.7,13.9,4.2
2002/3/3,4.8,9.6,1.1
2002/3/4,5.4,11.6,-0.7
2002/3/5,9.0,12.6,4.0
2002/3/6,9.0,11.0,5.3
2002/3/7,5.0,6.8,3.0
2002/3/8,4.3,9.8,0.4
2002/3/9,8.2,14.8,1.2
2002/3/10,10.4,15.9,4.5
2002/3/11,9.0,12.9,5.1
2002/3/12,9.4,15.0,3.9
2002/3/13,8.7,14.6,3.9
2002/3/14,13.0,17.6,5.1
2002/3/15,13.3,15.8,10.0
2002/3/16,10.8,13.7,8.4
2002/3/17,13.1,19.7,7.4
2002/3/18,10.5,16.3,5.8
2002/3/19,10.9,17.1,4.4
2002/3/20,11.7,16.1,6.8
2002/3/21,14.6,19.3,11.5
2002/3/22,10.2,12.2,8.0
2002/3/23,7.6,10.1,5.0
2002/3/24,5.9,10.5,3.8
2002/3/25,7.4,11.5,2.0
2002/3/26,14.2,19.1,8.9
2002/3/27,10.7,12.9,6.9
2002/3/28,9.1,12.4,2.9
2002/3/29,13.9,17.6,11.5
2002/3/30,12.0,15.5,7.8
2002/3/31,12.5,19.5,7.1
