ダウンロードした時刻：2019/10/10 16:19:56

,厳原,厳原,厳原
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/12/1,14.9,17.8,12.0
1992/12/2,13.8,16.7,11.9
1992/12/3,12.2,15.5,8.0
1992/12/4,12.7,16.3,8.1
1992/12/5,13.8,14.7,12.9
1992/12/6,15.2,17.9,12.2
1992/12/7,16.5,18.9,15.1
1992/12/8,12.0,15.2,6.8
1992/12/9,9.6,14.2,4.9
1992/12/10,11.8,14.7,5.2
1992/12/11,5.6,6.7,4.7
1992/12/12,6.6,10.3,1.3
1992/12/13,10.4,14.0,5.8
1992/12/14,3.9,5.9,2.2
1992/12/15,2.9,5.8,0.0
1992/12/16,5.7,8.3,0.6
1992/12/17,7.3,9.0,5.0
1992/12/18,5.3,9.6,1.6
1992/12/19,8.6,13.9,3.0
1992/12/20,12.7,13.7,11.4
1992/12/21,11.4,14.7,6.5
1992/12/22,6.0,8.4,1.7
1992/12/23,5.0,6.9,3.8
1992/12/24,3.4,5.9,-0.8
1992/12/25,3.2,8.8,-1.1
1992/12/26,6.0,13.0,0.4
1992/12/27,12.0,17.5,6.0
1992/12/28,12.2,13.5,10.8
1992/12/29,8.7,10.8,4.0
1992/12/30,6.5,10.6,2.1
1992/12/31,6.5,10.3,3.2
1993/1/1,6.9,12.5,2.5
1993/1/2,9.8,13.8,5.1
1993/1/3,10.7,13.6,8.6
1993/1/4,7.7,9.9,4.0
1993/1/5,8.1,10.7,3.4
1993/1/6,10.1,12.2,7.8
1993/1/7,10.9,14.2,7.7
1993/1/8,9.3,12.5,4.7
1993/1/9,11.0,13.2,9.0
1993/1/10,8.3,10.5,5.9
1993/1/11,6.4,8.2,4.0
1993/1/12,7.0,10.0,2.7
1993/1/13,8.0,9.5,6.9
1993/1/14,8.1,9.2,6.7
1993/1/15,7.2,9.0,5.1
1993/1/16,3.3,5.1,0.6
1993/1/17,4.1,5.2,3.1
1993/1/18,2.8,4.1,0.9
1993/1/19,1.1,3.3,-0.6
1993/1/20,1.6,3.7,-1.2
1993/1/21,2.5,6.4,-1.9
1993/1/22,4.6,9.0,-0.5
1993/1/23,6.9,9.2,3.9
1993/1/24,8.4,10.3,6.8
1993/1/25,8.9,11.3,5.8
1993/1/26,7.8,9.8,5.1
1993/1/27,3.4,7.2,0.4
1993/1/28,0.8,2.5,-0.8
1993/1/29,3.6,5.8,0.8
1993/1/30,6.0,7.9,4.0
1993/1/31,7.9,10.6,5.6
1993/2/1,4.5,6.4,2.6
1993/2/2,3.7,6.3,0.5
1993/2/3,7.3,11.0,0.2
1993/2/4,7.9,11.9,4.1
1993/2/5,12.5,15.7,4.7
1993/2/6,17.1,18.3,14.7
1993/2/7,8.9,17.4,3.4
1993/2/8,3.3,6.0,1.3
1993/2/9,4.0,5.5,0.9
1993/2/10,4.4,8.1,-0.4
1993/2/11,8.1,10.7,5.8
1993/2/12,7.3,10.3,2.6
1993/2/13,8.4,11.6,2.3
1993/2/14,7.1,10.7,2.8
1993/2/15,8.2,13.0,2.7
1993/2/16,12.0,15.3,7.9
1993/2/17,10.8,12.2,7.8
1993/2/18,8.7,13.0,5.2
1993/2/19,9.1,11.6,5.5
1993/2/20,9.8,11.3,8.7
1993/2/21,12.4,15.6,10.1
1993/2/22,6.2,10.2,1.8
1993/2/23,1.6,2.9,0.5
1993/2/24,0.6,3.4,-1.8
1993/2/25,1.7,6.6,-2.3
1993/2/26,4.9,9.8,-0.6
1993/2/27,6.0,8.8,2.6
1993/2/28,6.5,8.4,3.1
1993/3/1,2.4,3.4,1.0
1993/3/2,3.2,6.4,-0.5
1993/3/3,6.0,9.7,0.8
1993/3/4,8.6,12.9,3.6
1993/3/5,11.2,15.7,4.2
1993/3/6,13.1,17.0,8.8
1993/3/7,8.6,11.9,6.4
1993/3/8,6.3,10.0,2.3
1993/3/9,6.9,10.9,2.0
1993/3/10,8.3,11.9,4.6
1993/3/11,7.3,11.1,3.6
1993/3/12,8.3,12.5,4.4
1993/3/13,8.0,13.8,2.7
1993/3/14,9.6,13.7,5.0
1993/3/15,9.6,11.1,8.3
1993/3/16,6.6,8.3,4.8
1993/3/17,5.4,8.1,3.7
1993/3/18,6.7,9.9,3.8
1993/3/19,7.2,9.6,3.9
1993/3/20,6.7,9.6,3.2
1993/3/21,8.0,12.5,3.6
1993/3/22,10.5,15.4,5.7
1993/3/23,12.3,15.8,8.2
1993/3/24,13.0,16.6,11.0
1993/3/25,11.3,14.1,6.8
1993/3/26,12.0,14.9,9.3
1993/3/27,12.2,15.7,7.6
1993/3/28,11.8,15.3,6.8
1993/3/29,8.0,11.1,4.6
1993/3/30,8.4,13.1,3.1
1993/3/31,12.6,16.0,8.4
