ダウンロードした時刻：2017/07/24 15:40:51

,岐阜,岐阜,岐阜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2007/1/1,5.5,12.0,-0.6
2007/1/2,7.7,11.2,4.7
2007/1/3,8.3,13.2,3.2
2007/1/4,6.9,12.0,2.3
2007/1/5,6.2,12.5,-0.5
2007/1/6,6.0,8.6,4.5
2007/1/7,3.3,6.4,0.1
2007/1/8,3.5,6.6,1.7
2007/1/9,3.9,9.5,-1.1
2007/1/10,4.9,10.2,0.1
2007/1/11,5.1,10.7,0.2
2007/1/12,5.3,10.4,0.9
2007/1/13,4.9,9.8,1.8
2007/1/14,4.0,9.2,-1.0
2007/1/15,4.5,10.9,-1.2
2007/1/16,6.0,11.9,-0.3
2007/1/17,8.0,12.6,5.4
2007/1/18,6.3,10.3,3.2
2007/1/19,6.0,9.7,1.7
2007/1/20,5.6,11.4,0.0
2007/1/21,6.9,11.0,2.0
2007/1/22,7.2,13.1,2.6
2007/1/23,6.7,10.7,3.2
2007/1/24,6.0,12.3,1.8
2007/1/25,6.6,10.3,3.2
2007/1/26,5.6,10.8,-0.6
2007/1/27,7.1,11.2,3.3
2007/1/28,6.0,10.7,1.3
2007/1/29,7.0,12.9,1.4
2007/1/30,7.3,14.1,0.3
2007/1/31,7.8,13.1,3.8
2007/2/1,4.6,10.0,1.0
2007/2/2,2.9,7.3,-0.9
2007/2/3,4.1,9.3,-1.5
2007/2/4,5.8,10.3,1.4
2007/2/5,6.7,15.1,-1.8
2007/2/6,10.2,16.5,3.6
2007/2/7,9.0,14.7,3.9
2007/2/8,7.4,13.7,0.9
2007/2/9,10.3,14.2,7.0
2007/2/10,10.6,14.6,6.4
2007/2/11,6.2,11.3,3.1
2007/2/12,7.2,13.2,3.0
2007/2/13,7.8,14.4,0.9
2007/2/14,9.7,12.6,6.7
2007/2/15,4.1,10.0,1.7
2007/2/16,5.2,9.5,1.5
2007/2/17,4.1,8.1,-1.2
2007/2/18,9.4,16.7,5.3
2007/2/19,8.1,13.5,3.4
2007/2/20,7.4,15.1,0.8
2007/2/21,8.8,16.4,1.6
2007/2/22,9.7,16.4,2.6
2007/2/23,10.3,14.8,7.3
2007/2/24,6.0,10.7,1.5
2007/2/25,5.6,10.8,0.3
2007/2/26,8.3,13.9,4.3
2007/2/27,9.3,16.2,3.0
2007/2/28,8.9,14.1,5.4
2007/3/1,8.2,16.0,0.8
2007/3/2,8.9,16.6,1.8
2007/3/3,11.7,17.6,5.1
2007/3/4,16.0,22.2,10.1
2007/3/5,15.4,17.8,11.3
2007/3/6,7.4,11.7,2.4
2007/3/7,4.2,9.6,1.1
2007/3/8,4.0,8.2,0.7
2007/3/9,6.5,11.5,2.1
2007/3/10,8.0,14.6,1.4
2007/3/11,5.6,9.1,0.3
2007/3/12,2.8,6.9,0.5
2007/3/13,4.5,9.5,0.8
2007/3/14,5.8,10.0,1.8
2007/3/15,5.8,10.0,2.2
2007/3/16,7.2,14.0,0.8
2007/3/17,6.1,10.8,2.7
2007/3/18,5.5,10.7,1.5
2007/3/19,5.8,11.5,0.2
2007/3/20,6.3,11.7,1.5
2007/3/21,8.0,16.1,-0.1
2007/3/22,8.8,16.6,2.8
2007/3/23,11.1,18.7,3.1
2007/3/24,10.1,12.4,7.1
2007/3/25,13.3,17.4,7.3
2007/3/26,11.8,18.9,3.9
2007/3/27,11.3,16.0,6.8
2007/3/28,13.8,21.3,7.2
2007/3/29,15.4,22.0,9.1
2007/3/30,13.8,18.3,9.0
2007/3/31,11.5,15.3,6.3
2007/4/1,15.9,21.5,11.6
2007/4/2,15.1,19.7,11.9
2007/4/3,10.1,14.1,5.9
2007/4/4,6.3,12.4,1.8
2007/4/5,8.6,14.0,2.9
2007/4/6,10.4,17.1,3.3
2007/4/7,11.3,16.5,6.0
2007/4/8,13.5,19.9,6.8
2007/4/9,13.7,19.6,9.1
2007/4/10,13.3,20.5,5.2
2007/4/11,13.5,19.9,8.5
2007/4/12,13.9,21.1,5.4
2007/4/13,16.3,19.9,11.1
2007/4/14,14.7,18.1,10.6
2007/4/15,14.7,22.1,6.8
2007/4/16,12.9,15.5,10.7
2007/4/17,13.1,17.6,10.3
2007/4/18,10.3,14.5,7.8
2007/4/19,13.0,20.7,6.3
2007/4/20,14.9,20.9,7.1
2007/4/21,18.2,20.7,15.5
2007/4/22,18.1,20.6,16.4
2007/4/23,15.8,20.1,10.7
2007/4/24,14.5,19.8,10.3
2007/4/25,15.9,20.0,11.5
2007/4/26,15.0,22.3,8.2
2007/4/27,15.3,21.5,9.2
2007/4/28,15.6,22.2,11.3
2007/4/29,17.2,26.6,7.2
2007/4/30,19.1,27.7,9.6
2007/5/1,15.2,19.2,13.1
