ダウンロードした時刻：2019/10/10 16:22:15

,大分,大分,大分
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/12/1,12.2,18.0,6.9
1994/12/2,14.0,19.7,9.8
1994/12/3,10.1,13.1,7.0
1994/12/4,8.2,11.9,5.4
1994/12/5,11.5,15.3,7.1
1994/12/6,8.2,14.5,2.8
1994/12/7,10.9,19.7,1.5
1994/12/8,12.6,17.8,6.5
1994/12/9,15.0,17.4,12.8
1994/12/10,12.4,14.5,10.4
1994/12/11,11.6,13.3,9.0
1994/12/12,13.0,17.1,8.5
1994/12/13,11.9,14.4,7.4
1994/12/14,8.5,11.6,6.4
1994/12/15,8.2,11.7,6.0
1994/12/16,5.0,7.9,1.5
1994/12/17,4.2,10.3,-0.9
1994/12/18,5.9,11.1,0.6
1994/12/19,7.0,10.9,2.4
1994/12/20,8.1,12.9,2.9
1994/12/21,9.1,11.6,5.4
1994/12/22,6.1,12.8,0.3
1994/12/23,7.5,16.0,0.5
1994/12/24,8.0,11.5,3.2
1994/12/25,11.9,16.2,7.7
1994/12/26,10.1,11.2,8.6
1994/12/27,9.8,14.5,5.0
1994/12/28,9.0,14.7,4.8
1994/12/29,6.8,12.5,2.8
1994/12/30,7.6,12.3,2.6
1994/12/31,9.1,12.6,7.4
1995/1/1,7.8,11.3,3.9
1995/1/2,5.8,11.0,1.3
1995/1/3,6.5,9.2,2.3
1995/1/4,8.8,11.0,7.0
1995/1/5,7.1,9.5,4.8
1995/1/6,5.0,7.8,1.3
1995/1/7,8.6,14.7,1.0
1995/1/8,8.7,15.8,2.5
1995/1/9,11.3,18.3,4.6
1995/1/10,6.7,10.0,4.3
1995/1/11,5.6,8.6,4.2
1995/1/12,5.6,8.9,2.9
1995/1/13,4.6,7.9,2.4
1995/1/14,3.2,6.1,1.3
1995/1/15,4.5,9.2,-0.6
1995/1/16,4.7,9.6,0.3
1995/1/17,6.5,9.8,3.1
1995/1/18,6.9,12.9,0.7
1995/1/19,8.1,10.7,5.4
1995/1/20,7.4,12.3,2.9
1995/1/21,6.5,11.7,-0.1
1995/1/22,12.2,17.5,8.1
1995/1/23,11.5,14.2,7.9
1995/1/24,6.3,8.7,4.3
1995/1/25,5.8,10.4,2.2
1995/1/26,6.5,12.7,1.0
1995/1/27,4.1,8.9,-0.4
1995/1/28,3.2,8.2,-1.2
1995/1/29,4.1,9.7,0.2
1995/1/30,3.3,6.5,-0.9
1995/1/31,1.6,7.4,-3.6
1995/2/1,3.5,7.4,-0.7
1995/2/2,4.0,7.7,-1.2
1995/2/3,4.5,9.3,0.0
1995/2/4,4.7,10.0,0.8
1995/2/5,3.8,7.1,1.1
1995/2/6,4.9,9.3,1.6
1995/2/7,7.6,12.8,3.5
1995/2/8,7.8,14.6,1.3
1995/2/9,8.9,12.1,6.9
1995/2/10,6.7,10.1,2.8
1995/2/11,5.4,10.7,-0.9
1995/2/12,7.4,10.6,3.4
1995/2/13,11.3,14.1,8.9
1995/2/14,9.2,12.7,3.7
1995/2/15,6.5,11.5,1.7
1995/2/16,6.5,10.5,2.8
1995/2/17,5.3,10.7,-0.7
1995/2/18,4.3,9.0,-1.0
1995/2/19,6.0,11.1,2.7
1995/2/20,5.7,9.9,0.0
1995/2/21,6.2,9.4,4.7
1995/2/22,4.2,8.8,-0.4
1995/2/23,5.9,12.8,-0.4
1995/2/24,7.4,12.7,2.6
1995/2/25,8.2,10.8,5.2
1995/2/26,8.1,12.6,3.5
1995/2/27,7.7,12.3,3.9
1995/2/28,6.7,12.7,0.5
1995/3/1,8.6,11.8,6.6
1995/3/2,6.6,10.1,1.7
1995/3/3,5.7,8.8,1.7
1995/3/4,4.8,8.6,2.0
1995/3/5,5.8,11.3,0.4
1995/3/6,8.2,15.5,1.0
1995/3/7,9.3,15.6,3.0
1995/3/8,10.1,17.5,1.6
1995/3/9,9.0,13.5,3.0
1995/3/10,13.1,18.0,8.4
1995/3/11,10.6,15.0,7.2
1995/3/12,8.7,13.8,4.1
1995/3/13,9.6,13.9,6.6
1995/3/14,7.7,12.1,2.3
1995/3/15,8.4,12.4,2.2
1995/3/16,13.3,17.6,8.8
1995/3/17,11.3,14.7,7.4
1995/3/18,8.0,13.1,3.5
1995/3/19,6.8,11.9,2.2
1995/3/20,8.4,16.4,0.1
1995/3/21,11.4,18.3,4.4
1995/3/22,12.8,19.1,6.4
1995/3/23,13.0,17.7,7.9
1995/3/24,12.7,14.0,11.9
1995/3/25,11.5,14.5,8.6
1995/3/26,10.2,14.7,5.6
1995/3/27,9.5,16.3,2.1
1995/3/28,10.2,13.2,6.9
1995/3/29,9.7,13.8,6.2
1995/3/30,11.4,13.3,10.0
1995/3/31,14.5,18.3,11.5
