ダウンロードした時刻：2019/10/10 16:04:37

,米子,米子,米子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2006/12/1,8.6,13.0,5.4
2006/12/2,6.8,9.3,3.4
2006/12/3,5.3,7.1,2.9
2006/12/4,6.2,9.1,4.6
2006/12/5,6.2,11.1,2.0
2006/12/6,7.6,13.8,3.0
2006/12/7,8.5,12.2,3.8
2006/12/8,9.3,11.3,8.4
2006/12/9,9.4,11.2,7.6
2006/12/10,8.7,10.7,6.0
2006/12/11,8.7,12.6,5.9
2006/12/12,9.7,14.3,6.8
2006/12/13,8.2,9.9,4.7
2006/12/14,8.9,10.7,6.6
2006/12/15,9.7,13.6,6.0
2006/12/16,9.4,13.7,6.1
2006/12/17,5.9,8.8,3.1
2006/12/18,5.7,8.5,3.0
2006/12/19,6.7,11.8,3.2
2006/12/20,6.1,13.4,0.6
2006/12/21,7.6,12.7,3.1
2006/12/22,7.5,12.7,3.9
2006/12/23,7.6,12.5,3.4
2006/12/24,7.4,11.9,2.9
2006/12/25,6.9,13.1,2.4
2006/12/26,7.6,10.2,3.6
2006/12/27,10.5,13.4,6.8
2006/12/28,3.9,10.1,-1.0
2006/12/29,1.5,4.1,-0.9
2006/12/30,2.7,4.8,1.0
2006/12/31,4.0,9.1,0.3
2007/1/1,5.1,10.8,-1.2
2007/1/2,8.3,10.5,6.0
2007/1/3,8.8,11.0,5.9
2007/1/4,7.1,10.8,3.4
2007/1/5,7.5,10.6,4.8
2007/1/6,5.9,11.5,1.2
2007/1/7,5.1,8.8,1.2
2007/1/8,5.0,8.2,2.8
2007/1/9,3.8,8.4,1.0
2007/1/10,5.2,10.1,0.8
2007/1/11,4.9,10.8,1.3
2007/1/12,5.1,9.1,0.2
2007/1/13,5.3,8.6,1.6
2007/1/14,4.2,8.7,1.2
2007/1/15,4.8,11.4,-0.2
2007/1/16,7.1,11.0,3.6
2007/1/17,7.0,8.2,4.9
2007/1/18,6.4,10.7,2.8
2007/1/19,5.4,9.3,0.5
2007/1/20,4.7,10.2,0.1
2007/1/21,4.9,10.6,0.0
2007/1/22,5.4,8.5,1.0
2007/1/23,5.6,9.5,1.6
2007/1/24,5.4,9.9,1.0
2007/1/25,5.9,10.6,2.5
2007/1/26,6.2,12.3,2.3
2007/1/27,4.2,6.9,3.1
2007/1/28,3.9,8.6,0.8
2007/1/29,5.3,8.8,1.3
2007/1/30,7.0,13.4,0.5
2007/1/31,5.3,7.7,3.4
2007/2/1,2.4,6.9,0.1
2007/2/2,0.6,1.7,0.1
2007/2/3,4.8,9.0,-0.8
2007/2/4,6.2,9.0,0.3
2007/2/5,7.5,15.4,-1.3
2007/2/6,10.1,15.8,5.8
2007/2/7,7.1,13.4,1.9
2007/2/8,7.2,13.2,1.1
2007/2/9,10.1,11.3,8.9
2007/2/10,7.8,11.1,4.8
2007/2/11,6.2,11.2,2.3
2007/2/12,6.7,13.4,1.8
2007/2/13,8.0,14.4,1.4
2007/2/14,12.0,15.6,6.3
2007/2/15,5.5,8.0,2.6
2007/2/16,4.2,9.8,-0.3
2007/2/17,3.7,6.5,-1.0
2007/2/18,8.2,10.2,6.2
2007/2/19,7.6,11.1,2.5
2007/2/20,6.7,13.4,0.3
2007/2/21,7.5,15.1,0.7
2007/2/22,10.9,18.0,1.3
2007/2/23,9.2,14.7,6.0
2007/2/24,6.0,8.2,2.8
2007/2/25,5.1,8.2,1.4
2007/2/26,6.0,12.2,-0.7
2007/2/27,8.8,15.9,2.5
2007/2/28,7.2,9.5,5.4
2007/3/1,5.5,10.8,-0.6
2007/3/2,7.9,14.6,1.7
2007/3/3,11.0,13.9,8.3
2007/3/4,16.6,23.4,11.4
2007/3/5,14.2,19.3,7.1
2007/3/6,3.8,7.7,1.4
2007/3/7,2.8,6.6,0.5
2007/3/8,3.4,7.9,0.7
2007/3/9,5.1,10.7,-0.1
2007/3/10,7.4,15.0,0.3
2007/3/11,5.9,9.0,2.4
2007/3/12,5.5,9.4,1.4
2007/3/13,5.8,9.3,1.4
2007/3/14,6.1,11.7,0.4
2007/3/15,5.2,8.8,2.7
2007/3/16,6.4,10.1,2.0
2007/3/17,6.4,9.1,4.9
2007/3/18,5.5,9.3,0.3
2007/3/19,3.0,7.6,-1.6
2007/3/20,4.9,9.7,0.5
2007/3/21,6.6,15.3,-1.1
2007/3/22,9.5,16.5,3.4
2007/3/23,11.3,19.5,3.3
2007/3/24,14.5,16.9,8.9
2007/3/25,12.9,18.0,7.3
2007/3/26,12.0,19.2,5.3
2007/3/27,12.9,19.0,7.6
2007/3/28,13.0,17.5,7.2
2007/3/29,12.8,17.7,10.2
2007/3/30,10.9,19.0,5.7
2007/3/31,14.3,22.3,4.8
