É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:51:22

,åFíJ,åFíJ,åFíJ
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
2007/12/1,9.8,15.8,4.2
2007/12/2,9.8,16.6,4.0
2007/12/3,7.2,11.9,3.0
2007/12/4,7.2,13.8,2.2
2007/12/5,6.7,13.5,1.0
2007/12/6,7.7,15.0,2.2
2007/12/7,8.0,16.5,1.1
2007/12/8,9.1,14.5,2.6
2007/12/9,8.3,14.0,4.5
2007/12/10,7.9,13.6,2.1
2007/12/11,7.1,11.4,2.8
2007/12/12,8.4,15.1,1.8
2007/12/13,7.9,9.8,4.5
2007/12/14,7.6,13.2,3.9
2007/12/15,6.3,12.3,0.5
2007/12/16,5.1,10.0,0.7
2007/12/17,3.4,9.0,-2.0
2007/12/18,4.3,10.0,-1.6
2007/12/19,5.3,9.4,0.9
2007/12/20,6.2,13.3,0.9
2007/12/21,7.1,14.3,0.9
2007/12/22,5.5,7.3,3.3
2007/12/23,6.9,12.5,3.0
2007/12/24,8.2,12.1,4.2
2007/12/25,5.0,8.4,0.8
2007/12/26,3.3,9.0,-0.8
2007/12/27,3.7,9.5,-1.6
2007/12/28,5.3,10.1,0.2
2007/12/29,10.2,15.0,5.7
2007/12/30,7.2,11.1,1.6
2007/12/31,3.5,10.0,-1.7
2008/1/1,3.5,10.1,-1.9
2008/1/2,3.9,10.9,-1.7
2008/1/3,4.4,11.1,-1.6
2008/1/4,4.9,12.1,-1.1
2008/1/5,3.9,9.1,0.3
2008/1/6,6.6,14.7,-0.7
2008/1/7,7.0,9.9,3.5
2008/1/8,7.4,15.1,-0.1
2008/1/9,9.3,15.2,5.1
2008/1/10,6.2,10.8,1.5
2008/1/11,5.9,11.4,-0.2
2008/1/12,5.6,7.9,3.2
2008/1/13,3.4,7.4,0.7
2008/1/14,3.7,8.5,0.3
2008/1/15,3.8,8.8,0.9
2008/1/16,4.3,10.0,-0.3
2008/1/17,2.9,7.2,-0.4
2008/1/18,2.2,7.8,-2.1
2008/1/19,3.4,8.3,0.1
2008/1/20,3.2,8.8,-3.3
2008/1/21,4.4,6.8,2.2
2008/1/22,2.3,6.5,-1.9
2008/1/23,1.8,2.9,0.7
2008/1/24,3.5,7.8,-0.2
2008/1/25,2.0,6.5,-0.7
2008/1/26,2.3,8.1,-1.4
2008/1/27,2.3,7.6,-1.6
2008/1/28,2.6,7.0,-3.5
2008/1/29,4.1,7.6,1.8
2008/1/30,6.5,12.4,0.6
2008/1/31,4.2,9.2,0.2
2008/2/1,2.9,8.1,-2.1
2008/2/2,2.9,6.8,-1.8
2008/2/3,1.1,4.3,0.1
2008/2/4,3.7,8.8,-0.6
2008/2/5,3.6,9.7,-1.9
2008/2/6,2.0,4.0,0.4
2008/2/7,3.5,9.3,-1.7
2008/2/8,3.2,10.0,-1.3
2008/2/9,0.2,4.0,-3.2
2008/2/10,5.5,11.0,1.2
2008/2/11,4.0,10.0,-2.2
2008/2/12,4.2,7.1,1.6
2008/2/13,1.6,5.1,-1.3
2008/2/14,3.5,9.9,-1.3
2008/2/15,4.4,10.6,-0.6
2008/2/16,3.4,8.7,-1.5
2008/2/17,1.8,7.4,-1.4
2008/2/18,3.9,10.1,-0.6
2008/2/19,3.6,9.9,-1.9
2008/2/20,5.8,12.8,-2.1
2008/2/21,6.3,12.6,1.2
2008/2/22,6.9,14.4,0.4
2008/2/23,4.6,13.7,-1.1
2008/2/24,1.8,6.7,-2.4
2008/2/25,2.7,8.6,-2.5
2008/2/26,5.0,10.6,-0.8
2008/2/27,4.7,8.9,0.3
2008/2/28,4.7,10.6,-1.3
2008/2/29,6.1,14.4,-2.1
2008/3/1,6.1,13.7,0.5
2008/3/2,7.4,13.1,1.8
2008/3/3,7.4,15.1,1.0
2008/3/4,7.5,13.0,2.8
2008/3/5,5.4,11.7,1.6
2008/3/6,6.0,12.2,-0.2
2008/3/7,7.0,14.2,1.8
2008/3/8,7.7,14.5,2.6
2008/3/9,8.8,17.0,0.6
2008/3/10,7.5,13.0,3.4
2008/3/11,10.6,19.8,0.5
2008/3/12,9.3,14.1,5.9
2008/3/13,9.6,14.6,4.5
2008/3/14,11.1,15.0,7.7
2008/3/15,14.7,21.3,11.4
2008/3/16,13.7,19.2,10.8
2008/3/17,12.7,17.5,9.3
2008/3/18,12.1,17.9,8.9
2008/3/19,10.7,12.7,7.5
2008/3/20,8.7,10.2,7.2
2008/3/21,10.9,16.2,7.2
2008/3/22,10.7,19.5,3.2
2008/3/23,11.0,19.5,2.6
2008/3/24,8.6,12.1,6.1
2008/3/25,10.3,19.2,3.6
2008/3/26,12.5,18.2,8.3
2008/3/27,11.5,17.2,6.1
2008/3/28,11.0,17.9,6.7
2008/3/29,10.7,16.6,6.2
2008/3/30,8.4,14.6,4.3
2008/3/31,7.6,12.8,5.2
