ダウンロードした時刻：2019/10/10 15:39:08

,山形,山形,山形
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1997/12/1,7.0,11.7,1.2
1997/12/2,1.2,6.4,-2.5
1997/12/3,-2.0,-0.4,-3.5
1997/12/4,1.2,5.0,-2.9
1997/12/5,2.1,5.8,-1.2
1997/12/6,1.2,4.3,-0.4
1997/12/7,4.0,6.3,1.0
1997/12/8,6.7,8.3,4.4
1997/12/9,8.0,11.4,4.1
1997/12/10,5.0,11.0,0.1
1997/12/11,2.3,7.9,-0.7
1997/12/12,1.6,3.3,0.1
1997/12/13,1.2,4.1,-1.3
1997/12/14,3.3,8.2,-0.3
1997/12/15,2.8,5.8,-0.2
1997/12/16,3.8,7.7,0.8
1997/12/17,3.5,7.7,-1.0
1997/12/18,5.4,9.1,1.5
1997/12/19,8.3,14.1,4.2
1997/12/20,6.9,12.8,1.6
1997/12/21,1.8,5.4,-1.1
1997/12/22,0.9,3.9,-1.4
1997/12/23,1.8,4.3,0.0
1997/12/24,1.0,6.2,-2.3
1997/12/25,0.3,6.9,-4.6
1997/12/26,0.6,7.8,-5.0
1997/12/27,2.2,8.2,-2.0
1997/12/28,3.7,6.6,-0.9
1997/12/29,2.0,5.8,-1.0
1997/12/30,1.8,4.9,-1.0
1997/12/31,2.6,5.0,0.4
1998/1/1,2.3,6.1,-0.4
1998/1/2,1.1,4.3,-0.7
1998/1/3,2.2,6.8,-2.3
1998/1/4,3.7,11.1,-1.3
1998/1/5,1.0,4.6,-1.9
1998/1/6,-0.6,2.0,-2.2
1998/1/7,-2.8,-1.0,-4.6
1998/1/8,-2.8,-1.1,-4.9
1998/1/9,-1.9,0.6,-3.7
1998/1/10,0.6,2.9,-2.4
1998/1/11,-0.5,2.8,-2.9
1998/1/12,-1.9,0.8,-4.0
1998/1/13,-1.2,2.7,-4.1
1998/1/14,-2.3,0.7,-5.7
1998/1/15,-3.2,-1.7,-4.6
1998/1/16,0.0,2.8,-1.7
1998/1/17,0.0,5.1,-3.1
1998/1/18,0.1,2.6,-3.0
1998/1/19,-0.8,2.9,-3.7
1998/1/20,-1.5,0.7,-3.4
1998/1/21,-0.2,2.3,-2.4
1998/1/22,-2.8,-1.3,-3.9
1998/1/23,-2.1,0.0,-4.0
1998/1/24,-3.8,-2.8,-6.8
1998/1/25,-3.0,0.6,-7.9
1998/1/26,-2.0,-0.9,-3.8
1998/1/27,-3.6,0.2,-7.2
1998/1/28,-4.6,-0.3,-8.3
1998/1/29,-4.0,-0.2,-7.8
1998/1/30,-0.7,5.6,-7.5
1998/1/31,-0.3,2.8,-3.7
1998/2/1,-1.6,1.1,-5.1
1998/2/2,0.1,3.1,-1.8
1998/2/3,0.5,4.4,-2.4
1998/2/4,-1.5,-0.1,-2.9
1998/2/5,-0.7,2.4,-4.7
1998/2/6,0.9,3.9,-1.9
1998/2/7,0.8,3.4,-2.0
1998/2/8,1.0,4.4,-0.7
1998/2/9,1.0,3.3,-1.1
1998/2/10,-1.2,1.2,-2.6
1998/2/11,-0.6,3.9,-3.9
1998/2/12,0.6,9.3,-6.6
1998/2/13,3.6,8.3,-1.4
1998/2/14,0.5,3.5,-2.3
1998/2/15,0.2,2.5,-1.7
1998/2/16,-0.4,3.3,-4.9
1998/2/17,-1.3,2.1,-3.7
1998/2/18,-1.3,2.6,-5.2
1998/2/19,-1.4,4.9,-7.3
1998/2/20,0.5,3.8,-3.0
1998/2/21,1.0,4.3,-1.6
1998/2/22,-0.5,3.1,-3.4
1998/2/23,0.2,6.6,-5.8
1998/2/24,1.3,7.0,-4.5
1998/2/25,3.0,5.6,0.9
1998/2/26,4.5,8.4,1.8
1998/2/27,4.7,9.7,0.8
1998/2/28,3.8,9.2,-1.1
1998/3/1,4.0,6.8,2.2
1998/3/2,4.7,9.9,0.0
1998/3/3,5.7,12.0,1.5
1998/3/4,4.2,11.4,-0.6
1998/3/5,1.7,5.3,-2.0
1998/3/6,3.9,9.8,-1.1
1998/3/7,1.3,5.8,-1.8
1998/3/8,1.6,6.5,-3.2
1998/3/9,3.1,10.5,-3.0
1998/3/10,1.2,5.5,-1.4
1998/3/11,3.1,11.2,-4.1
1998/3/12,5.8,9.9,1.8
1998/3/13,6.0,11.2,2.4
1998/3/14,5.6,11.5,2.4
1998/3/15,0.2,5.6,-3.8
1998/3/16,0.0,5.0,-4.0
1998/3/17,-0.8,2.6,-3.8
1998/3/18,2.5,6.9,-1.1
1998/3/19,5.9,14.1,-1.4
1998/3/20,6.8,16.4,3.1
1998/3/21,4.6,8.6,2.1
1998/3/22,2.5,5.9,0.1
1998/3/23,3.4,8.4,-0.7
1998/3/24,5.5,11.2,1.6
1998/3/25,5.7,12.9,-1.0
1998/3/26,8.0,14.6,1.2
1998/3/27,6.8,9.1,4.5
1998/3/28,10.6,17.3,4.1
1998/3/29,13.9,21.1,4.5
1998/3/30,13.1,20.2,7.0
1998/3/31,5.0,8.3,2.7
