ダウンロードした時刻：2019/10/10 16:26:40

,種子島,種子島,種子島
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/12/1,10.3,13.6,8.2
1996/12/2,10.3,12.6,8.2
1996/12/3,12.6,15.9,10.4
1996/12/4,16.8,20.7,10.6
1996/12/5,17.5,21.0,13.3
1996/12/6,9.9,13.9,6.5
1996/12/7,9.7,13.2,7.1
1996/12/8,11.0,13.2,8.9
1996/12/9,13.2,16.9,9.1
1996/12/10,15.3,16.7,13.5
1996/12/11,14.8,17.7,13.1
1996/12/12,13.7,17.6,11.1
1996/12/13,13.4,15.6,11.5
1996/12/14,15.3,18.0,12.6
1996/12/15,16.4,19.0,13.7
1996/12/16,18.0,20.6,14.5
1996/12/17,18.0,20.6,15.5
1996/12/18,13.6,17.7,11.0
1996/12/19,11.0,13.1,9.7
1996/12/20,11.3,13.0,8.9
1996/12/21,11.7,16.2,9.0
1996/12/22,15.8,18.8,10.7
1996/12/23,12.3,15.2,10.3
1996/12/24,12.7,15.4,10.0
1996/12/25,15.7,18.7,12.2
1996/12/26,15.6,19.4,12.8
1996/12/27,16.0,18.6,13.0
1996/12/28,15.8,18.2,12.4
1996/12/29,15.5,20.1,11.4
1996/12/30,15.9,19.9,11.8
1996/12/31,16.3,20.0,11.7
1997/1/1,16.6,21.3,13.8
1997/1/2,11.7,14.3,10.4
1997/1/3,11.8,14.3,10.3
1997/1/4,11.3,13.3,8.6
1997/1/5,13.7,17.2,11.8
1997/1/6,10.3,12.1,8.8
1997/1/7,9.1,10.7,7.9
1997/1/8,9.4,11.3,6.8
1997/1/9,9.2,14.0,5.1
1997/1/10,11.1,14.1,7.3
1997/1/11,11.5,15.3,6.5
1997/1/12,12.5,15.6,9.4
1997/1/13,13.2,17.1,9.7
1997/1/14,14.6,18.5,10.0
1997/1/15,14.2,16.5,12.9
1997/1/16,14.0,16.6,12.4
1997/1/17,13.0,15.5,11.7
1997/1/18,13.0,14.6,11.6
1997/1/19,11.7,12.9,10.6
1997/1/20,13.8,17.0,11.6
1997/1/21,12.2,15.9,7.4
1997/1/22,6.7,9.9,3.8
1997/1/23,9.5,12.8,4.7
1997/1/24,10.2,11.5,8.8
1997/1/25,9.8,12.4,8.2
1997/1/26,11.7,14.3,9.2
1997/1/27,13.5,16.5,11.5
1997/1/28,12.9,15.3,10.2
1997/1/29,10.9,12.6,10.1
1997/1/30,9.7,12.1,7.7
1997/1/31,10.5,13.1,8.3
1997/2/1,10.6,13.4,7.8
1997/2/2,11.9,13.2,9.1
1997/2/3,11.5,13.6,8.0
1997/2/4,10.9,13.8,8.6
1997/2/5,11.0,11.7,10.1
1997/2/6,11.4,13.6,9.4
1997/2/7,11.2,13.8,6.9
1997/2/8,12.6,14.0,10.8
1997/2/9,13.8,16.6,11.4
1997/2/10,13.5,16.3,11.7
1997/2/11,10.1,13.2,8.2
1997/2/12,9.3,11.4,8.1
1997/2/13,9.7,12.0,8.3
1997/2/14,9.9,12.6,7.8
1997/2/15,12.7,14.5,9.6
1997/2/16,11.5,14.3,8.0
1997/2/17,9.8,12.6,7.7
1997/2/18,10.1,12.5,8.8
1997/2/19,9.1,11.6,7.6
1997/2/20,11.7,16.1,8.0
1997/2/21,12.8,15.1,9.5
1997/2/22,9.5,13.0,5.5
1997/2/23,12.1,15.9,7.3
1997/2/24,16.0,21.3,11.2
1997/2/25,18.0,22.4,14.1
1997/2/26,18.5,21.9,15.7
1997/2/27,16.8,18.7,14.9
1997/2/28,16.5,18.0,15.0
1997/3/1,16.8,18.5,14.7
1997/3/2,13.6,16.5,9.2
1997/3/3,10.0,13.8,7.5
1997/3/4,11.9,15.8,9.0
1997/3/5,13.6,19.0,8.6
1997/3/6,15.8,21.4,7.9
1997/3/7,17.3,20.6,15.6
1997/3/8,16.6,20.6,11.3
1997/3/9,16.0,21.5,10.4
1997/3/10,18.3,22.7,12.8
1997/3/11,18.9,21.8,17.1
1997/3/12,16.7,18.1,14.9
1997/3/13,15.5,17.6,13.5
1997/3/14,18.7,20.9,15.9
1997/3/15,18.6,22.1,16.4
1997/3/16,14.9,16.4,13.9
1997/3/17,13.5,14.3,12.8
1997/3/18,14.6,15.8,13.6
1997/3/19,15.0,17.6,13.2
1997/3/20,12.6,14.2,11.9
1997/3/21,15.4,18.8,12.5
1997/3/22,14.5,17.2,10.6
1997/3/23,15.1,18.9,10.9
1997/3/24,11.0,13.4,7.8
1997/3/25,14.1,19.6,8.0
1997/3/26,16.0,18.8,14.0
1997/3/27,15.7,19.8,12.7
1997/3/28,16.4,19.8,11.0
1997/3/29,18.3,20.2,15.7
1997/3/30,16.2,19.1,12.2
1997/3/31,13.5,17.1,10.8
