ダウンロードした時刻：2019/10/10 16:21:41

,佐賀,佐賀,佐賀
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2006/12/1,9.0,14.7,3.6
2006/12/2,8.6,13.2,6.0
2006/12/3,6.8,8.1,5.7
2006/12/4,6.0,10.6,3.0
2006/12/5,5.7,10.5,1.0
2006/12/6,9.2,16.0,3.4
2006/12/7,10.9,13.2,8.6
2006/12/8,13.1,18.4,9.5
2006/12/9,12.0,14.0,10.9
2006/12/10,9.9,13.5,5.9
2006/12/11,9.4,14.8,2.5
2006/12/12,11.4,14.0,8.7
2006/12/13,11.7,13.9,10.5
2006/12/14,10.7,11.8,9.9
2006/12/15,9.6,14.0,5.4
2006/12/16,9.2,12.4,6.1
2006/12/17,6.5,9.5,4.5
2006/12/18,6.7,10.4,4.4
2006/12/19,6.7,12.8,1.3
2006/12/20,10.1,16.4,4.0
2006/12/21,10.8,13.7,7.9
2006/12/22,9.0,14.7,5.1
2006/12/23,7.0,13.5,1.6
2006/12/24,8.2,14.7,2.9
2006/12/25,10.7,17.3,4.3
2006/12/26,12.3,16.7,7.7
2006/12/27,10.5,16.5,6.0
2006/12/28,5.5,9.9,2.0
2006/12/29,2.0,5.2,-1.2
2006/12/30,2.8,9.3,-3.4
2006/12/31,6.1,13.1,0.3
2007/1/1,7.4,12.2,2.2
2007/1/2,9.9,13.7,7.9
2007/1/3,9.5,12.7,6.0
2007/1/4,8.5,10.6,5.6
2007/1/5,8.4,12.7,4.6
2007/1/6,5.7,9.1,1.7
2007/1/7,6.4,10.1,1.6
2007/1/8,6.2,9.0,2.8
2007/1/9,4.6,10.1,0.1
2007/1/10,4.9,9.4,0.9
2007/1/11,4.1,10.7,-1.1
2007/1/12,5.2,11.0,-0.5
2007/1/13,4.2,7.4,1.2
2007/1/14,4.2,10.4,-0.3
2007/1/15,5.3,12.1,-1.2
2007/1/16,8.0,9.8,5.8
2007/1/17,8.7,11.2,3.6
2007/1/18,5.1,10.5,1.0
2007/1/19,6.1,12.6,0.5
2007/1/20,9.0,13.7,4.5
2007/1/21,8.3,10.9,4.8
2007/1/22,7.0,13.6,1.4
2007/1/23,7.8,13.0,3.3
2007/1/24,7.7,12.0,4.4
2007/1/25,7.0,13.3,1.7
2007/1/26,7.5,13.5,3.9
2007/1/27,5.6,9.3,2.9
2007/1/28,4.0,9.1,0.1
2007/1/29,4.3,10.0,0.0
2007/1/30,5.0,10.4,-1.4
2007/1/31,5.4,9.4,1.1
2007/2/1,3.0,6.2,0.3
2007/2/2,1.3,4.7,-1.8
2007/2/3,2.2,7.7,-3.6
2007/2/4,7.6,14.4,2.0
2007/2/5,8.3,15.4,1.6
2007/2/6,11.5,18.0,5.3
2007/2/7,11.5,17.3,6.6
2007/2/8,11.7,15.9,7.3
2007/2/9,12.9,14.5,9.1
2007/2/10,10.1,13.0,7.6
2007/2/11,8.0,12.8,3.6
2007/2/12,7.3,13.8,1.3
2007/2/13,10.4,16.5,2.3
2007/2/14,12.0,16.2,5.8
2007/2/15,7.0,13.0,2.5
2007/2/16,6.2,10.1,1.0
2007/2/17,9.0,11.5,6.5
2007/2/18,10.9,13.1,7.7
2007/2/19,9.4,15.6,3.8
2007/2/20,9.8,16.9,3.6
2007/2/21,10.7,18.2,3.9
2007/2/22,10.7,18.1,4.7
2007/2/23,11.6,16.5,6.9
2007/2/24,9.0,13.4,6.5
2007/2/25,8.6,13.0,5.7
2007/2/26,10.8,18.9,4.1
2007/2/27,12.9,18.8,7.6
2007/2/28,10.1,14.5,5.3
2007/3/1,10.3,18.8,3.0
2007/3/2,13.7,20.8,7.7
2007/3/3,16.2,22.1,11.3
2007/3/4,17.1,23.3,10.3
2007/3/5,10.4,16.5,5.8
2007/3/6,5.0,7.9,0.9
2007/3/7,3.8,8.1,0.1
2007/3/8,5.6,10.7,1.7
2007/3/9,6.5,13.1,0.9
2007/3/10,6.7,10.1,2.4
2007/3/11,6.8,9.9,5.0
2007/3/12,7.5,12.8,2.5
2007/3/13,7.7,14.8,2.7
2007/3/14,7.7,12.2,1.8
2007/3/15,7.2,10.0,4.9
2007/3/16,8.9,10.7,7.1
2007/3/17,8.9,14.4,4.3
2007/3/18,7.9,13.1,4.0
2007/3/19,8.0,11.3,4.5
2007/3/20,8.5,14.1,4.0
2007/3/21,9.3,16.7,1.8
2007/3/22,11.3,18.9,4.8
2007/3/23,13.0,21.3,3.3
2007/3/24,15.9,18.6,12.4
2007/3/25,15.1,19.0,10.3
2007/3/26,13.7,20.5,7.1
2007/3/27,13.3,16.2,9.4
2007/3/28,14.4,20.5,8.0
2007/3/29,18.7,23.3,13.9
2007/3/30,16.7,21.2,10.8
2007/3/31,16.6,23.5,9.1
