ダウンロードした時刻：2019/10/10 15:53:48

,名古屋,名古屋,名古屋
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1982/12/1,11.8,16.2,8.4
1982/12/2,10.3,15.7,6.0
1982/12/3,10.8,15.9,6.9
1982/12/4,9.3,16.2,4.4
1982/12/5,10.0,15.6,6.1
1982/12/6,6.1,10.7,2.8
1982/12/7,5.3,10.2,0.2
1982/12/8,6.5,11.5,2.2
1982/12/9,5.7,10.8,2.1
1982/12/10,7.9,15.2,1.8
1982/12/11,8.6,11.0,5.0
1982/12/12,8.8,13.9,4.2
1982/12/13,5.6,11.3,1.9
1982/12/14,5.3,10.7,2.2
1982/12/15,5.5,11.4,0.3
1982/12/16,7.2,12.1,2.9
1982/12/17,7.0,9.9,5.4
1982/12/18,5.0,9.1,2.1
1982/12/19,4.3,10.0,-0.4
1982/12/20,5.7,12.0,-0.3
1982/12/21,6.8,12.6,1.3
1982/12/22,6.8,8.0,5.2
1982/12/23,7.5,12.0,4.1
1982/12/24,8.4,13.1,4.6
1982/12/25,8.8,12.8,5.1
1982/12/26,4.8,6.0,3.9
1982/12/27,7.1,11.2,3.7
1982/12/28,6.0,11.3,1.4
1982/12/29,5.9,12.1,-0.1
1982/12/30,6.7,11.1,3.2
1982/12/31,4.8,9.1,1.8
1983/1/1,4.3,9.6,-0.3
1983/1/2,4.2,10.0,-0.9
1983/1/3,5.0,10.3,0.7
1983/1/4,4.3,11.0,0.0
1983/1/5,4.6,6.7,0.4
1983/1/6,9.4,14.4,6.5
1983/1/7,8.4,10.1,6.3
1983/1/8,8.3,12.2,5.3
1983/1/9,4.7,7.9,3.3
1983/1/10,1.4,3.6,-0.4
1983/1/11,2.3,6.0,-0.9
1983/1/12,3.6,7.7,-0.3
1983/1/13,4.3,8.8,0.0
1983/1/14,3.7,7.9,0.1
1983/1/15,4.5,9.2,1.3
1983/1/16,4.8,10.1,-0.5
1983/1/17,6.7,10.8,1.9
1983/1/18,5.2,7.3,4.1
1983/1/19,5.3,9.8,1.3
1983/1/20,2.7,6.2,-0.2
1983/1/21,2.0,7.0,-2.7
1983/1/22,0.5,4.4,-2.0
1983/1/23,1.2,5.8,-4.6
1983/1/24,3.3,7.4,-0.5
1983/1/25,4.5,10.6,-0.9
1983/1/26,5.9,12.6,0.0
1983/1/27,5.7,12.3,-0.7
1983/1/28,7.4,13.4,0.9
1983/1/29,7.9,14.4,1.4
1983/1/30,7.4,13.1,3.9
1983/1/31,4.9,9.5,1.0
1983/2/1,6.3,12.8,-1.5
1983/2/2,7.3,8.9,5.8
1983/2/3,6.1,10.2,2.1
1983/2/4,4.7,9.9,0.7
1983/2/5,4.3,11.4,-1.7
1983/2/6,6.0,11.6,0.3
1983/2/7,5.5,8.9,2.5
1983/2/8,4.2,9.3,0.6
1983/2/9,3.1,8.0,-0.6
1983/2/10,1.7,6.4,-0.4
1983/2/11,2.8,6.5,-1.4
1983/2/12,2.7,7.3,0.5
1983/2/13,0.9,3.9,-1.2
1983/2/14,1.3,6.8,-3.7
1983/2/15,4.0,10.6,-0.9
1983/2/16,5.7,11.3,-0.1
1983/2/17,6.0,7.7,4.6
1983/2/18,5.3,10.2,0.9
1983/2/19,2.6,7.4,-0.7
1983/2/20,2.8,8.6,-0.4
1983/2/21,1.7,6.8,-2.0
1983/2/22,3.3,8.9,-1.7
1983/2/23,5.5,11.4,-0.8
1983/2/24,5.6,11.1,1.9
1983/2/25,5.7,10.7,2.0
1983/2/26,3.6,8.4,0.4
1983/2/27,4.7,9.2,0.0
1983/2/28,6.4,13.8,0.7
1983/3/1,7.4,14.3,-0.3
1983/3/2,7.9,9.1,6.3
1983/3/3,10.0,14.0,6.4
1983/3/4,6.7,11.4,3.9
1983/3/5,4.5,8.8,1.6
1983/3/6,4.1,11.0,-0.3
1983/3/7,3.5,8.7,-0.9
1983/3/8,3.6,8.8,-0.7
1983/3/9,5.5,12.3,-1.6
1983/3/10,6.3,7.3,4.4
1983/3/11,9.4,15.2,4.6
1983/3/12,9.8,14.3,4.2
1983/3/13,9.3,11.5,6.0
1983/3/14,5.0,8.4,1.7
1983/3/15,6.4,11.9,0.4
1983/3/16,8.1,13.2,3.8
1983/3/17,7.5,12.9,4.0
1983/3/18,4.2,7.6,2.5
1983/3/19,7.1,14.0,-0.1
1983/3/20,9.6,17.4,1.5
1983/3/21,9.8,14.3,8.0
1983/3/22,12.3,18.4,5.6
1983/3/23,11.2,14.0,10.2
1983/3/24,12.1,16.4,7.9
1983/3/25,9.2,14.9,6.0
1983/3/26,9.7,14.8,2.8
1983/3/27,10.2,13.4,7.5
1983/3/28,11.1,17.9,7.0
1983/3/29,9.9,13.1,8.1
1983/3/30,11.1,14.4,8.0
1983/3/31,12.8,17.1,9.4
