ダウンロードした時刻：2019/10/10 16:10:53

,神戸,神戸,神戸
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1990/12/1,15.3,18.5,11.8
1990/12/2,10.8,12.9,9.3
1990/12/3,7.9,10.8,5.1
1990/12/4,9.1,13.1,5.6
1990/12/5,9.2,14.2,4.8
1990/12/6,9.8,15.7,5.5
1990/12/7,10.6,15.5,6.5
1990/12/8,11.3,16.8,7.9
1990/12/9,12.4,17.0,9.1
1990/12/10,13.7,17.3,11.5
1990/12/11,10.7,15.9,7.1
1990/12/12,7.5,10.5,5.3
1990/12/13,8.1,11.4,4.4
1990/12/14,10.6,14.4,7.5
1990/12/15,10.0,13.2,7.5
1990/12/16,7.1,11.5,4.3
1990/12/17,6.7,9.3,3.2
1990/12/18,6.2,10.5,3.8
1990/12/19,6.8,9.4,3.9
1990/12/20,7.3,10.3,3.5
1990/12/21,9.6,14.3,6.7
1990/12/22,11.4,15.5,6.6
1990/12/23,6.3,12.3,2.6
1990/12/24,5.4,8.2,2.7
1990/12/25,7.1,10.9,4.1
1990/12/26,7.3,12.4,0.7
1990/12/27,3.8,8.6,0.5
1990/12/28,6.2,8.8,2.4
1990/12/29,6.9,10.3,4.6
1990/12/30,6.0,11.5,2.0
1990/12/31,7.3,10.2,3.8
1991/1/1,11.2,14.9,8.6
1991/1/2,10.3,13.7,6.6
1991/1/3,6.0,9.6,2.8
1991/1/4,4.6,8.3,2.3
1991/1/5,3.0,5.7,0.5
1991/1/6,2.5,6.4,-0.6
1991/1/7,5.6,9.7,1.7
1991/1/8,5.0,9.4,1.5
1991/1/9,4.0,8.9,0.9
1991/1/10,6.3,10.0,2.6
1991/1/11,7.6,10.2,6.0
1991/1/12,6.6,10.4,4.1
1991/1/13,3.7,7.5,1.2
1991/1/14,3.5,7.3,0.7
1991/1/15,4.1,9.3,1.6
1991/1/16,5.9,9.6,2.2
1991/1/17,6.3,10.4,3.0
1991/1/18,3.1,6.6,0.6
1991/1/19,5.6,10.2,0.9
1991/1/20,7.8,12.4,2.9
1991/1/21,8.6,10.1,7.7
1991/1/22,7.8,11.7,4.4
1991/1/23,3.6,7.1,0.3
1991/1/24,4.9,8.8,0.2
1991/1/25,7.3,10.3,4.2
1991/1/26,5.4,9.3,2.3
1991/1/27,4.3,8.6,0.9
1991/1/28,3.1,6.4,0.5
1991/1/29,3.4,7.1,0.7
1991/1/30,3.7,7.5,1.8
1991/1/31,4.6,8.5,1.2
1991/2/1,5.3,9.4,0.9
1991/2/2,4.5,8.6,1.6
1991/2/3,4.0,8.1,1.8
1991/2/4,5.3,9.4,1.9
1991/2/5,3.8,8.8,1.3
1991/2/6,4.7,8.0,0.2
1991/2/7,6.6,10.9,3.4
1991/2/8,5.3,9.9,1.8
1991/2/9,4.5,9.2,-0.4
1991/2/10,8.4,11.0,5.0
1991/2/11,9.9,14.1,5.8
1991/2/12,7.2,11.5,4.1
1991/2/13,5.4,7.7,1.6
1991/2/14,9.9,14.0,5.4
1991/2/15,12.1,15.3,10.0
1991/2/16,6.2,10.0,2.1
1991/2/17,2.7,6.0,0.2
1991/2/18,3.4,6.2,0.0
1991/2/19,3.4,6.9,-0.5
1991/2/20,2.2,6.4,-0.8
1991/2/21,1.9,6.1,-0.9
1991/2/22,1.3,6.9,-2.3
1991/2/23,-0.7,2.2,-3.5
1991/2/24,0.0,4.3,-2.9
1991/2/25,1.2,5.9,-2.7
1991/2/26,3.9,9.0,-0.1
1991/2/27,7.1,13.6,0.6
1991/2/28,10.2,13.2,6.3
1991/3/1,4.3,8.0,1.3
1991/3/2,4.8,9.7,0.4
1991/3/3,6.2,11.1,2.2
1991/3/4,9.0,14.0,2.8
1991/3/5,12.0,15.3,9.0
1991/3/6,14.0,18.2,11.0
1991/3/7,9.3,13.6,5.9
1991/3/8,7.9,12.1,4.9
1991/3/9,12.2,15.5,7.5
1991/3/10,9.0,12.6,5.6
1991/3/11,8.4,9.5,7.0
1991/3/12,9.1,14.2,5.7
1991/3/13,9.3,13.6,4.6
1991/3/14,5.8,9.3,1.5
1991/3/15,3.9,7.7,-0.6
1991/3/16,4.1,5.8,2.4
1991/3/17,7.6,12.7,4.2
1991/3/18,8.2,13.7,2.9
1991/3/19,13.1,19.0,6.2
1991/3/20,15.5,17.7,13.5
1991/3/21,9.0,13.5,6.3
1991/3/22,10.1,12.3,7.0
1991/3/23,13.4,18.6,10.3
1991/3/24,12.1,17.8,8.0
1991/3/25,11.3,15.4,7.2
1991/3/26,14.2,21.1,9.3
1991/3/27,16.1,19.6,12.1
1991/3/28,10.9,15.1,8.2
1991/3/29,11.1,15.8,7.8
1991/3/30,12.1,15.4,8.9
1991/3/31,10.0,13.0,8.4
