ダウンロードした時刻：2019/10/10 16:15:42

,松山,松山,松山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2011/12/1,12.7,16.6,11.0
2011/12/2,11.6,12.6,10.6
2011/12/3,13.0,16.2,10.5
2011/12/4,10.9,15.8,6.8
2011/12/5,10.4,16.4,7.0
2011/12/6,10.9,15.1,7.1
2011/12/7,11.6,16.1,8.1
2011/12/8,10.1,11.8,8.3
2011/12/9,7.8,11.4,5.3
2011/12/10,7.2,8.6,5.2
2011/12/11,6.9,10.6,3.2
2011/12/12,9.2,13.7,6.2
2011/12/13,9.7,15.3,5.2
2011/12/14,11.0,16.4,7.3
2011/12/15,10.9,15.3,7.1
2011/12/16,6.1,8.9,3.3
2011/12/17,4.5,8.6,1.4
2011/12/18,6.6,10.7,2.0
2011/12/19,6.8,10.5,4.0
2011/12/20,6.3,11.3,2.2
2011/12/21,7.2,12.3,3.5
2011/12/22,7.9,12.2,5.2
2011/12/23,5.8,9.4,3.0
2011/12/24,5.0,9.3,1.8
2011/12/25,3.7,5.6,2.6
2011/12/26,4.3,7.4,1.9
2011/12/27,4.4,9.6,1.4
2011/12/28,4.8,10.6,-0.1
2011/12/29,6.4,12.4,2.1
2011/12/30,6.0,9.9,1.4
2011/12/31,5.0,11.2,-0.4
2012/1/1,7.0,9.2,3.9
2012/1/2,5.4,9.8,1.8
2012/1/3,5.9,10.0,1.5
2012/1/4,4.8,6.6,3.5
2012/1/5,5.2,8.1,2.6
2012/1/6,5.0,9.8,0.8
2012/1/7,5.4,10.6,1.2
2012/1/8,5.4,11.1,0.2
2012/1/9,7.3,11.6,3.6
2012/1/10,6.2,11.4,1.2
2012/1/11,5.9,9.4,1.9
2012/1/12,3.9,8.8,-1.0
2012/1/13,5.9,8.4,3.8
2012/1/14,5.3,10.7,1.1
2012/1/15,5.5,8.6,2.6
2012/1/16,5.4,7.4,3.5
2012/1/17,5.0,11.0,0.2
2012/1/18,6.7,11.7,1.7
2012/1/19,7.5,8.3,6.9
2012/1/20,9.3,13.0,6.9
2012/1/21,8.4,10.1,4.5
2012/1/22,8.0,12.9,3.8
2012/1/23,6.2,9.2,2.9
2012/1/24,2.5,5.3,0.3
2012/1/25,2.1,5.9,-0.7
2012/1/26,,,-0.9
2012/1/27,2.8,7.3,-1.1
2012/1/28,5.8,10.4,2.0
2012/1/29,4.5,10.2,-0.1
2012/1/30,4.2,8.9,1.3
2012/1/31,3.2,8.1,-0.6
2012/2/1,5.4,8.7,0.6
2012/2/2,0.4,2.7,-1.9
2012/2/3,1.5,5.2,-2.7
2012/2/4,5.2,7.9,1.6
2012/2/5,4.4,7.7,0.6
2012/2/6,7.3,9.9,5.1
2012/2/7,7.9,10.2,4.6
2012/2/8,1.9,5.0,-1.3
2012/2/9,2.1,6.2,-2.4
2012/2/10,4.2,7.8,0.2
2012/2/11,4.4,9.3,-0.4
2012/2/12,4.3,9.7,-0.6
2012/2/13,5.3,6.1,3.6
2012/2/14,6.9,8.8,5.7
2012/2/15,7.8,10.5,5.1
2012/2/16,5.6,9.8,3.8
2012/2/17,3.6,7.0,1.4
2012/2/18,2.2,6.0,-0.1
2012/2/19,2.6,6.8,-2.4
2012/2/20,4.1,8.3,0.4
2012/2/21,6.0,9.0,2.5
2012/2/22,6.8,8.2,5.1
2012/2/23,9.3,12.6,7.1
2012/2/24,9.1,14.6,4.4
2012/2/25,8.1,9.8,6.4
2012/2/26,5.7,7.8,1.5
2012/2/27,4.7,10.8,-0.4
2012/2/28,5.7,11.0,2.3
2012/2/29,7.7,12.8,3.7
2012/3/1,9.3,13.0,6.4
2012/3/2,10.8,12.7,9.1
2012/3/3,11.0,14.9,7.3
2012/3/4,8.2,10.1,6.7
2012/3/5,9.1,11.2,6.9
2012/3/6,11.9,16.1,9.6
2012/3/7,10.0,12.0,7.8
2012/3/8,8.3,11.7,5.1
2012/3/9,7.7,10.1,5.7
2012/3/10,8.3,13.6,3.9
2012/3/11,5.8,11.3,1.5
2012/3/12,3.9,7.9,0.4
2012/3/13,4.7,10.0,0.3
2012/3/14,6.1,11.6,0.7
2012/3/15,9.1,15.0,3.7
2012/3/16,7.6,10.4,3.9
2012/3/17,12.8,17.2,8.2
2012/3/18,12.1,13.4,9.4
2012/3/19,9.3,13.1,5.8
2012/3/20,8.1,13.6,3.4
2012/3/21,8.0,13.9,2.2
2012/3/22,11.5,17.0,4.9
2012/3/23,9.9,12.1,7.6
2012/3/24,10.0,12.1,9.1
2012/3/25,7.9,11.2,3.6
2012/3/26,6.7,11.0,3.1
2012/3/27,8.6,14.6,1.9
2012/3/28,11.7,17.1,5.6
2012/3/29,11.6,18.2,4.2
2012/3/30,17.7,22.9,12.6
2012/3/31,11.9,17.9,5.5
