ダウンロードした時刻：2017/07/24 15:41:13

,飯田,飯田,飯田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/1/1,2.7,10.3,-2.2
2004/1/2,4.7,11.3,-0.9
2004/1/3,4.5,9.2,0.1
2004/1/4,2.2,9.6,-3.0
2004/1/5,1.6,9.6,-4.0
2004/1/6,1.0,9.3,-4.1
2004/1/7,2.0,9.5,-3.9
2004/1/8,1.6,5.7,-3.5
2004/1/9,-1.0,6.5,-6.4
2004/1/10,-0.4,4.7,-6.0
2004/1/11,1.5,8.5,-3.1
2004/1/12,1.0,8.5,-6.0
2004/1/13,1.6,5.6,-1.3
2004/1/14,-0.8,2.8,-3.9
2004/1/15,-1.0,4.9,-6.3
2004/1/16,-1.6,4.5,-7.2
2004/1/17,-1.9,-1.1,-3.4
2004/1/18,-1.0,4.0,-4.4
2004/1/19,1.7,5.9,-1.9
2004/1/20,0.3,7.7,-6.0
2004/1/21,0.1,4.7,-3.7
2004/1/22,-3.7,0.8,-6.7
2004/1/23,-3.2,0.1,-6.9
2004/1/24,-1.2,3.2,-4.5
2004/1/25,-2.3,4.0,-7.7
2004/1/26,-1.6,5.7,-8.1
2004/1/27,-0.5,4.8,-3.6
2004/1/28,-0.7,6.3,-7.3
2004/1/29,2.1,9.3,-4.1
2004/1/30,1.7,9.8,-4.0
2004/1/31,1.0,9.3,-4.5
2004/2/1,1.1,9.8,-5.3
2004/2/2,1.7,8.4,-1.1
2004/2/3,4.0,7.5,0.6
2004/2/4,0.3,4.4,-2.6
2004/2/5,-0.5,2.3,-2.3
2004/2/6,-1.3,2.6,-5.7
2004/2/7,-2.1,0.0,-4.0
2004/2/8,-1.0,4.1,-6.9
2004/2/9,1.9,7.2,-2.5
2004/2/10,0.9,8.9,-4.8
2004/2/11,2.2,8.6,-2.5
2004/2/12,3.5,8.9,-0.8
2004/2/13,2.8,10.9,-4.1
2004/2/14,4.7,12.2,-1.0
2004/2/15,2.5,6.3,0.3
2004/2/16,3.0,9.4,-1.2
2004/2/17,1.5,7.6,-4.0
2004/2/18,3.8,11.4,-1.9
2004/2/19,4.5,14.9,-3.4
2004/2/20,6.4,17.2,-1.9
2004/2/21,8.9,17.5,1.4
2004/2/22,8.5,14.6,2.3
2004/2/23,5.4,11.2,-1.0
2004/2/24,3.6,12.7,-3.9
2004/2/25,7.6,14.1,2.8
2004/2/26,5.3,10.2,0.4
2004/2/27,1.7,7.1,-2.3
2004/2/28,3.5,11.9,-3.9
2004/2/29,5.3,12.5,1.1
2004/3/1,2.6,4.7,0.4
2004/3/2,1.6,7.8,-2.6
2004/3/3,2.2,8.1,-3.0
2004/3/4,2.1,6.5,-0.9
2004/3/5,1.1,7.8,-5.1
2004/3/6,1.0,5.1,-2.8
2004/3/7,-1.1,3.9,-4.7
2004/3/8,-0.1,7.1,-7.3
2004/3/9,3.7,10.8,-2.7
2004/3/10,7.2,16.6,-2.7
2004/3/11,10.4,11.9,7.0
2004/3/12,6.0,8.4,1.2
2004/3/13,5.0,14.0,-2.2
2004/3/14,5.9,14.0,-1.7
2004/3/15,7.4,16.4,-0.9
2004/3/16,8.9,18.9,-0.4
2004/3/17,12.6,18.8,6.5
2004/3/18,8.1,13.9,2.1
2004/3/19,5.2,13.7,0.1
2004/3/20,3.8,7.2,1.3
2004/3/21,4.9,12.3,-1.1
2004/3/22,2.5,4.7,0.7
2004/3/23,5.5,10.5,1.5
2004/3/24,6.4,10.1,3.0
2004/3/25,7.5,11.7,4.3
2004/3/26,6.9,13.0,3.3
2004/3/27,7.0,16.4,-0.6
2004/3/28,9.0,20.3,-0.1
2004/3/29,11.2,20.8,1.7
2004/3/30,11.0,14.4,8.4
2004/3/31,10.7,17.5,4.1
2004/4/1,9.4,19.7,0.5
2004/4/2,10.5,15.9,7.6
2004/4/3,9.6,14.4,4.8
2004/4/4,5.6,9.1,2.8
2004/4/5,7.9,16.2,1.5
2004/4/6,10.2,20.1,1.7
2004/4/7,12.6,20.8,4.7
2004/4/8,10.8,16.7,5.4
2004/4/9,11.6,20.0,2.7
2004/4/10,13.8,25.4,4.1
2004/4/11,14.3,23.1,6.8
2004/4/12,16.0,25.0,7.1
2004/4/13,15.5,23.3,9.4
2004/4/14,13.5,16.6,11.1
2004/4/15,14.0,22.9,7.1
2004/4/16,15.4,22.2,9.6
2004/4/17,17.1,24.4,9.7
2004/4/18,16.9,25.8,7.9
2004/4/19,13.2,16.9,11.4
2004/4/20,17.5,23.2,10.6
2004/4/21,16.0,27.0,6.8
2004/4/22,18.9,29.5,9.0
2004/4/23,14.4,19.6,9.3
2004/4/24,9.3,15.3,3.7
2004/4/25,9.8,17.1,1.4
2004/4/26,13.6,22.1,4.4
2004/4/27,14.7,19.3,10.6
2004/4/28,9.6,14.4,4.5
2004/4/29,14.1,23.7,1.8
2004/4/30,16.2,26.6,7.2
2004/5/1,19.2,28.9,12.3
