ダウンロードした時刻：2019/10/10 16:22:53

,福江,福江,福江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1984/12/1,11.8,17.3,7.5
1984/12/2,9.8,12.8,4.7
1984/12/3,8.2,14.5,2.6
1984/12/4,10.4,17.6,3.7
1984/12/5,10.5,14.9,7.1
1984/12/6,11.4,14.1,8.7
1984/12/7,11.6,15.4,5.7
1984/12/8,11.6,16.5,4.9
1984/12/9,16.3,19.4,12.2
1984/12/10,18.8,21.9,16.5
1984/12/11,16.1,17.6,14.8
1984/12/12,14.0,16.5,10.9
1984/12/13,12.6,15.8,9.0
1984/12/14,13.3,14.8,11.5
1984/12/15,12.4,15.5,9.2
1984/12/16,11.7,14.1,9.2
1984/12/17,10.8,12.5,10.0
1984/12/18,7.8,10.6,5.9
1984/12/19,6.4,7.4,4.2
1984/12/20,8.5,11.2,4.1
1984/12/21,9.1,11.2,7.3
1984/12/22,5.0,7.4,3.5
1984/12/23,4.0,5.6,1.4
1984/12/24,3.6,4.5,2.3
1984/12/25,3.0,4.5,0.9
1984/12/26,5.7,7.3,3.0
1984/12/27,5.9,7.5,4.4
1984/12/28,4.1,5.6,2.6
1984/12/29,2.1,3.5,0.8
1984/12/30,3.3,4.7,2.0
1984/12/31,5.8,7.1,3.4
1985/1/1,5.6,10.1,1.5
1985/1/2,6.6,10.2,0.6
1985/1/3,9.8,12.1,6.7
1985/1/4,7.0,9.8,4.8
1985/1/5,6.3,8.9,2.3
1985/1/6,5.9,7.5,3.2
1985/1/7,5.0,6.3,4.1
1985/1/8,5.4,6.5,4.1
1985/1/9,5.8,7.2,4.5
1985/1/10,5.8,8.5,4.7
1985/1/11,4.5,6.8,0.3
1985/1/12,5.8,12.1,0.1
1985/1/13,3.0,5.9,-0.3
1985/1/14,1.7,3.4,0.5
1985/1/15,4.7,8.7,0.7
1985/1/16,5.9,9.4,-0.1
1985/1/17,4.6,8.1,-1.7
1985/1/18,6.4,8.0,4.2
1985/1/19,8.3,13.3,-0.7
1985/1/20,7.4,11.0,5.4
1985/1/21,6.0,11.8,0.9
1985/1/22,9.4,12.6,1.3
1985/1/23,10.7,13.9,5.2
1985/1/24,6.5,9.4,5.2
1985/1/25,4.4,7.4,0.4
1985/1/26,4.0,9.6,-0.2
1985/1/27,7.7,13.7,-0.4
1985/1/28,3.8,8.8,2.6
1985/1/29,2.4,5.5,-0.7
1985/1/30,0.9,2.8,-1.3
1985/1/31,5.2,7.9,2.5
1985/2/1,10.4,13.5,6.8
1985/2/2,10.1,13.1,4.2
1985/2/3,10.2,14.9,2.7
1985/2/4,7.5,12.2,1.6
1985/2/5,10.5,15.1,7.1
1985/2/6,11.4,14.4,7.7
1985/2/7,11.3,15.8,6.5
1985/2/8,11.1,12.4,8.8
1985/2/9,12.8,16.4,9.5
1985/2/10,8.8,10.5,7.2
1985/2/11,8.4,11.3,5.6
1985/2/12,9.1,11.9,5.4
1985/2/13,7.3,9.6,4.8
1985/2/14,5.0,9.1,-0.5
1985/2/15,6.3,10.0,-1.4
1985/2/16,8.9,13.9,6.2
1985/2/17,8.3,11.0,5.9
1985/2/18,8.6,9.7,6.7
1985/2/19,9.5,11.1,8.6
1985/2/20,6.4,8.9,4.9
1985/2/21,3.1,4.9,1.2
1985/2/22,3.3,4.7,0.7
1985/2/23,3.8,4.7,2.9
1985/2/24,2.6,5.1,-0.5
1985/2/25,4.9,7.3,-1.0
1985/2/26,7.7,9.8,4.4
1985/2/27,8.4,9.9,6.7
1985/2/28,10.5,11.4,9.5
1985/3/1,11.4,14.7,8.9
1985/3/2,12.0,14.1,9.5
1985/3/3,11.2,13.5,9.3
1985/3/4,9.7,11.9,6.4
1985/3/5,8.5,12.4,4.1
1985/3/6,7.9,12.3,2.3
1985/3/7,11.1,14.5,3.4
1985/3/8,14.7,18.6,10.8
1985/3/9,8.3,10.9,5.9
1985/3/10,8.5,10.7,6.1
1985/3/11,7.9,9.3,7.3
1985/3/12,7.9,10.2,5.6
1985/3/13,7.8,10.3,5.3
1985/3/14,9.6,11.7,7.9
1985/3/15,9.7,11.7,8.0
1985/3/16,10.5,12.5,7.8
1985/3/17,11.3,12.4,10.2
1985/3/18,11.9,15.8,7.7
1985/3/19,11.0,14.2,9.8
1985/3/20,10.3,12.4,8.6
1985/3/21,12.2,15.5,9.1
1985/3/22,11.7,16.7,6.6
1985/3/23,12.1,16.8,6.5
1985/3/24,13.2,18.3,7.2
1985/3/25,17.5,19.2,11.5
1985/3/26,14.6,18.1,11.8
1985/3/27,14.1,17.8,11.2
1985/3/28,12.8,15.7,9.9
1985/3/29,10.0,12.6,7.0
1985/3/30,8.1,10.5,6.1
1985/3/31,7.6,10.9,2.0
