ダウンロードした時刻：2019/10/10 15:49:55

,松本,松本,松本
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/12/1,1.8,9.3,-2.7
2004/12/2,2.5,9.4,-2.1
2004/12/3,6.1,14.4,-3.8
2004/12/4,12.0,17.6,7.9
2004/12/5,10.6,17.7,4.6
2004/12/6,4.0,9.5,-0.8
2004/12/7,7.1,11.2,-1.4
2004/12/8,7.0,12.0,1.1
2004/12/9,4.0,10.4,-0.5
2004/12/10,5.3,16.9,-1.6
2004/12/11,4.0,10.3,-0.6
2004/12/12,6.9,14.7,-0.6
2004/12/13,6.3,11.8,2.8
2004/12/14,3.5,9.7,-0.8
2004/12/15,2.5,8.7,-1.6
2004/12/16,3.2,13.7,-3.0
2004/12/17,1.0,5.9,-2.7
2004/12/18,3.4,12.5,-3.7
2004/12/19,4.9,8.3,1.6
2004/12/20,8.6,15.1,3.0
2004/12/21,3.1,7.2,-0.6
2004/12/22,1.1,7.2,-2.2
2004/12/23,0.1,6.3,-3.5
2004/12/24,-0.8,5.5,-6.5
2004/12/25,1.2,6.4,-6.0
2004/12/26,2.1,4.6,-0.7
2004/12/27,-0.2,3.6,-2.8
2004/12/28,-0.8,4.3,-4.0
2004/12/29,-1.3,0.5,-2.3
2004/12/30,-1.5,3.3,-4.7
2004/12/31,-3.7,-1.8,-6.1
2005/1/1,-4.0,1.6,-8.5
2005/1/2,-7.3,-0.7,-14.1
2005/1/3,2.9,7.3,-7.9
2005/1/4,5.2,9.9,-1.0
2005/1/5,-2.0,3.5,-5.7
2005/1/6,1.9,7.8,-6.3
2005/1/7,4.7,9.1,-0.7
2005/1/8,-1.1,3.6,-4.4
2005/1/9,-1.1,3.6,-6.2
2005/1/10,-2.6,3.8,-8.8
2005/1/11,0.1,3.5,-1.7
2005/1/12,-1.7,0.9,-6.6
2005/1/13,-2.2,6.1,-8.7
2005/1/14,-0.9,6.5,-7.3
2005/1/15,0.0,1.7,-1.0
2005/1/16,0.9,2.3,0.0
2005/1/17,0.7,5.1,-3.6
2005/1/18,-1.8,4.7,-7.5
2005/1/19,1.5,6.8,-4.6
2005/1/20,0.8,3.7,-1.5
2005/1/21,-1.6,2.6,-5.8
2005/1/22,-3.3,3.4,-8.4
2005/1/23,-3.7,-0.1,-6.8
2005/1/24,0.4,8.7,-8.9
2005/1/25,1.5,5.3,-0.3
2005/1/26,-0.1,4.2,-4.1
2005/1/27,-0.9,5.8,-5.6
2005/1/28,0.2,7.8,-4.6
2005/1/29,3.6,10.2,-5.7
2005/1/30,0.3,5.8,-3.8
2005/1/31,-1.5,3.0,-6.0
2005/2/1,-3.0,0.5,-5.0
2005/2/2,-2.7,0.4,-5.1
2005/2/3,-2.3,3.8,-5.6
2005/2/4,-2.4,4.7,-8.8
2005/2/5,0.3,6.9,-3.3
2005/2/6,-1.9,4.9,-7.6
2005/2/7,-1.1,4.1,-5.9
2005/2/8,0.6,2.2,-1.1
2005/2/9,4.9,13.0,-1.4
2005/2/10,3.2,8.6,-2.5
2005/2/11,-1.5,4.0,-4.9
2005/2/12,-2.4,3.3,-6.9
2005/2/13,-1.0,7.1,-7.3
2005/2/14,-0.4,5.1,-2.9
2005/2/15,0.7,10.2,-6.2
2005/2/16,1.3,3.2,0.1
2005/2/17,2.6,6.7,0.1
2005/2/18,1.8,6.5,-0.7
2005/2/19,0.0,1.1,-1.0
2005/2/20,0.8,4.8,-3.4
2005/2/21,-1.3,3.8,-5.7
2005/2/22,0.0,5.3,-5.3
2005/2/23,4.5,9.4,0.7
2005/2/24,0.5,3.2,-2.1
2005/2/25,3.2,11.2,-0.1
2005/2/26,-1.6,2.6,-4.9
2005/2/27,-2.4,4.6,-7.7
2005/2/28,-0.5,8.7,-7.9
2005/3/1,-1.4,3.5,-5.3
2005/3/2,-1.8,6.3,-7.8
2005/3/3,-0.1,5.0,-3.5
2005/3/4,0.0,2.8,-1.8
2005/3/5,-0.1,4.2,-3.0
2005/3/6,-1.0,6.2,-6.2
2005/3/7,1.3,12.6,-6.7
2005/3/8,8.4,15.1,0.4
2005/3/9,7.8,15.1,-0.7
2005/3/10,8.5,18.7,-2.0
2005/3/11,11.4,14.4,5.7
2005/3/12,3.8,9.2,-2.4
2005/3/13,-1.1,4.1,-4.0
2005/3/14,-0.1,5.1,-4.7
2005/3/15,2.4,8.8,-4.9
2005/3/16,7.1,15.8,0.9
2005/3/17,7.8,13.2,0.2
2005/3/18,4.8,10.3,-1.6
2005/3/19,2.1,10.1,-4.2
2005/3/20,3.3,13.6,-4.2
2005/3/21,5.2,11.8,-1.1
2005/3/22,8.4,12.4,6.3
2005/3/23,5.5,12.0,1.0
2005/3/24,4.7,12.4,0.6
2005/3/25,-0.2,2.8,-2.4
2005/3/26,3.3,8.8,-1.1
2005/3/27,8.0,18.2,-2.5
2005/3/28,7.2,9.7,4.9
2005/3/29,5.9,10.6,0.3
2005/3/30,3.3,9.9,-2.0
2005/3/31,4.3,11.4,-1.1
