ダウンロードした時刻：2019/10/10 15:42:06

,小名浜,小名浜,小名浜
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2004/12/1,9.6,14.6,3.9
2004/12/2,10.1,14.0,4.9
2004/12/3,8.3,15.3,1.0
2004/12/4,10.6,15.4,3.5
2004/12/5,17.0,25.4,10.2
2004/12/6,8.5,12.1,3.4
2004/12/7,8.9,14.4,1.5
2004/12/8,10.4,16.3,4.4
2004/12/9,8.2,10.6,6.9
2004/12/10,11.3,16.7,8.2
2004/12/11,10.5,15.1,7.1
2004/12/12,6.8,8.3,4.7
2004/12/13,9.4,15.1,5.7
2004/12/14,6.1,10.0,2.5
2004/12/15,8.9,14.0,1.8
2004/12/16,12.2,19.0,7.7
2004/12/17,7.3,10.4,4.3
2004/12/18,6.5,11.3,2.4
2004/12/19,8.5,11.9,4.1
2004/12/20,10.5,13.9,6.6
2004/12/21,7.2,11.0,4.2
2004/12/22,6.1,10.7,3.6
2004/12/23,4.4,8.0,1.5
2004/12/24,4.4,10.1,-1.2
2004/12/25,4.9,11.0,-0.6
2004/12/26,5.2,9.3,1.2
2004/12/27,4.7,9.6,-0.4
2004/12/28,3.8,8.3,-0.2
2004/12/29,1.3,3.5,0.5
2004/12/30,1.8,4.5,-1.3
2004/12/31,1.2,3.8,-2.6
2005/1/1,2.4,6.8,-0.8
2005/1/2,1.5,8.5,-4.3
2005/1/3,5.6,11.7,-2.3
2005/1/4,9.6,15.0,3.4
2005/1/5,2.2,5.2,-0.8
2005/1/6,2.3,6.8,-3.1
2005/1/7,6.1,12.5,0.9
2005/1/8,2.9,6.5,-0.8
2005/1/9,2.5,8.7,-2.3
2005/1/10,2.6,7.5,-3.4
2005/1/11,2.5,6.5,-1.4
2005/1/12,0.9,5.7,-2.3
2005/1/13,4.0,8.6,-0.1
2005/1/14,4.8,9.9,0.3
2005/1/15,5.1,7.7,3.0
2005/1/16,6.2,8.8,2.6
2005/1/17,4.3,7.3,1.8
2005/1/18,5.7,9.8,1.8
2005/1/19,3.9,6.3,1.7
2005/1/20,4.7,10.0,0.0
2005/1/21,4.8,9.0,1.7
2005/1/22,2.9,5.8,1.1
2005/1/23,3.0,6.5,-0.1
2005/1/24,3.8,8.4,-2.5
2005/1/25,5.6,8.7,2.3
2005/1/26,3.3,5.3,0.8
2005/1/27,4.5,8.5,-1.0
2005/1/28,4.5,9.1,0.0
2005/1/29,7.0,10.6,0.6
2005/1/30,3.9,10.1,-0.3
2005/1/31,2.7,8.9,-1.1
2005/2/1,0.8,5.9,-3.0
2005/2/2,1.5,6.2,-1.6
2005/2/3,2.9,7.2,-0.2
2005/2/4,4.0,9.5,1.0
2005/2/5,2.8,6.1,0.6
2005/2/6,3.8,7.8,0.4
2005/2/7,4.9,9.7,1.7
2005/2/8,2.9,4.7,1.0
2005/2/9,4.9,9.0,-1.4
2005/2/10,6.3,14.2,1.7
2005/2/11,1.9,5.9,-1.4
2005/2/12,2.3,6.0,-0.1
2005/2/13,2.3,6.2,-2.6
2005/2/14,3.2,7.6,-0.8
2005/2/15,5.5,12.5,-1.4
2005/2/16,2.4,6.2,0.6
2005/2/17,6.3,11.9,2.7
2005/2/18,3.8,8.7,0.8
2005/2/19,4.1,6.4,2.7
2005/2/20,7.2,11.7,0.7
2005/2/21,3.0,6.5,0.1
2005/2/22,3.0,8.6,-1.4
2005/2/23,5.8,16.7,-1.3
2005/2/24,3.7,7.7,0.6
2005/2/25,2.3,4.7,0.5
2005/2/26,1.9,5.5,-1.5
2005/2/27,1.0,5.1,-3.1
2005/2/28,2.9,8.3,-2.2
2005/3/1,2.5,6.8,-0.2
2005/3/2,2.3,6.3,-1.3
2005/3/3,2.5,6.4,-2.5
2005/3/4,1.2,3.1,0.6
2005/3/5,2.0,5.3,-1.0
2005/3/6,1.7,5.0,-2.1
2005/3/7,4.1,8.1,-1.2
2005/3/8,4.8,12.0,-1.8
2005/3/9,6.9,13.6,1.4
2005/3/10,5.0,7.3,1.7
2005/3/11,7.2,10.6,2.7
2005/3/12,6.9,11.7,1.7
2005/3/13,2.7,7.5,-0.9
2005/3/14,2.8,8.5,-2.4
2005/3/15,4.0,8.9,-2.5
2005/3/16,6.6,15.5,0.0
2005/3/17,8.1,14.0,3.9
2005/3/18,11.6,18.1,5.2
2005/3/19,6.6,11.3,3.3
2005/3/20,5.7,8.5,1.3
2005/3/21,7.9,13.8,3.2
2005/3/22,8.0,12.2,2.9
2005/3/23,8.9,12.1,6.2
2005/3/24,7.4,10.0,4.7
2005/3/25,4.7,8.2,0.3
2005/3/26,4.9,11.2,-1.7
2005/3/27,7.0,12.4,-0.2
2005/3/28,7.2,9.6,5.4
2005/3/29,9.9,14.4,5.5
2005/3/30,7.4,12.5,3.3
2005/3/31,7.7,14.2,1.3
