ダウンロードした時刻：2019/10/10 16:23:30

,福江,福江,福江
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2013/12/1,10.3,15.2,6.4
2013/12/2,10.7,13.4,7.3
2013/12/3,10.2,14.1,6.5
2013/12/4,10.5,14.3,5.1
2013/12/5,9.4,16.0,3.5
2013/12/6,11.4,16.0,6.4
2013/12/7,8.7,13.9,4.7
2013/12/8,8.4,14.8,2.8
2013/12/9,11.2,16.0,4.6
2013/12/10,9.6,11.5,8.9
2013/12/11,9.1,12.2,6.6
2013/12/12,7.3,10.9,3.1
2013/12/13,10.2,12.8,7.7
2013/12/14,8.9,11.6,7.2
2013/12/15,9.7,11.7,7.2
2013/12/16,10.2,11.7,7.4
2013/12/17,8.8,11.1,7.7
2013/12/18,9.8,12.3,7.8
2013/12/19,7.3,10.5,3.9
2013/12/20,6.9,8.5,3.6
2013/12/21,6.8,8.8,3.6
2013/12/22,6.8,9.6,2.5
2013/12/23,7.5,8.9,3.8
2013/12/24,8.2,10.1,6.6
2013/12/25,9.1,11.1,5.6
2013/12/26,8.7,10.5,6.5
2013/12/27,5.6,8.4,4.2
2013/12/28,4.8,6.9,3.5
2013/12/29,5.9,7.7,3.7
2013/12/30,8.8,12.7,4.3
2013/12/31,11.7,14.4,8.5
2014/1/1,10.4,14.2,3.8
2014/1/2,8.2,14.4,3.7
2014/1/3,9.2,14.7,4.2
2014/1/4,10.5,13.8,5.1
2014/1/5,8.3,11.2,3.9
2014/1/6,7.8,11.2,3.7
2014/1/7,9.0,13.4,3.2
2014/1/8,10.2,12.3,8.3
2014/1/9,4.4,8.4,2.7
2014/1/10,4.0,6.2,1.9
2014/1/11,6.0,8.1,2.6
2014/1/12,7.0,8.7,2.6
2014/1/13,5.8,8.6,3.1
2014/1/14,6.5,10.1,2.2
2014/1/15,5.6,7.3,2.7
2014/1/16,5.1,9.6,-0.6
2014/1/17,7.8,10.1,4.2
2014/1/18,7.2,8.9,5.2
2014/1/19,5.2,9.4,0.2
2014/1/20,9.6,14.2,1.3
2014/1/21,3.8,7.4,1.6
2014/1/22,4.5,6.9,1.0
2014/1/23,4.4,10.8,-0.9
2014/1/24,9.0,16.8,0.6
2014/1/25,15.7,19.2,8.2
2014/1/26,9.8,13.2,7.5
2014/1/27,7.0,11.2,2.5
2014/1/28,8.9,16.5,1.7
2014/1/29,9.5,15.5,2.6
2014/1/30,14.6,17.3,10.7
2014/1/31,10.4,16.0,5.4
2014/2/1,14.4,20.9,5.6
2014/2/2,16.4,19.0,13.4
2014/2/3,12.8,15.9,9.7
2014/2/4,4.0,9.8,2.1
2014/2/5,5.8,8.8,2.1
2014/2/6,6.4,7.3,5.2
2014/2/7,7.5,8.4,6.4
2014/2/8,8.7,11.8,6.6
2014/2/9,7.4,8.7,6.1
2014/2/10,7.9,10.2,6.2
2014/2/11,6.0,7.5,4.3
2014/2/12,6.5,8.7,4.4
2014/2/13,7.2,8.7,5.7
2014/2/14,6.9,9.7,5.8
2014/2/15,8.0,11.4,4.6
2014/2/16,8.9,12.5,5.1
2014/2/17,8.2,10.5,6.8
2014/2/18,7.5,8.4,6.5
2014/2/19,7.5,10.1,5.9
2014/2/20,7.8,11.6,4.3
2014/2/21,7.0,11.0,2.9
2014/2/22,6.9,13.3,1.8
2014/2/23,7.5,13.5,1.9
2014/2/24,8.1,14.6,2.3
2014/2/25,9.4,14.4,3.3
2014/2/26,13.6,16.4,9.4
2014/2/27,13.0,15.2,7.3
2014/2/28,11.7,16.6,7.0
2014/3/1,11.5,13.4,9.5
2014/3/2,11.5,14.3,9.3
2014/3/3,9.5,12.3,7.4
2014/3/4,11.7,16.1,5.3
2014/3/5,9.9,11.7,8.1
2014/3/6,7.3,9.0,5.7
2014/3/7,6.7,9.2,4.3
2014/3/8,5.6,9.9,-0.6
2014/3/9,8.6,11.7,5.1
2014/3/10,6.5,10.9,1.7
2014/3/11,7.8,14.0,0.0
2014/3/12,14.7,19.1,6.1
2014/3/13,11.2,16.8,6.9
2014/3/14,7.6,10.1,5.9
2014/3/15,9.4,15.2,2.9
2014/3/16,12.3,18.0,5.8
2014/3/17,13.6,18.5,6.0
2014/3/18,17.2,21.2,13.3
2014/3/19,14.1,16.6,11.7
2014/3/20,11.2,13.7,7.9
2014/3/21,8.9,12.5,4.9
2014/3/22,8.5,14.6,2.6
2014/3/23,10.7,17.3,5.1
2014/3/24,12.7,18.2,4.4
2014/3/25,17.2,19.0,15.4
2014/3/26,18.2,21.6,15.3
2014/3/27,15.6,20.9,8.7
2014/3/28,15.5,21.5,7.1
2014/3/29,16.9,19.1,14.3
2014/3/30,15.0,17.4,12.7
2014/3/31,13.4,18.2,8.7
