ダウンロードした時刻：2019/10/10 16:24:34

,延岡,延岡,延岡
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1986/12/1,7.2,16.3,0.7
1986/12/2,9.3,17.8,2.8
1986/12/3,12.4,20.3,5.8
1986/12/4,9.9,14.2,5.6
1986/12/5,7.9,16.0,2.5
1986/12/6,10.2,18.6,3.3
1986/12/7,9.2,14.4,3.5
1986/12/8,6.7,13.1,1.2
1986/12/9,9.0,17.8,1.8
1986/12/10,11.4,19.2,5.6
1986/12/11,8.4,18.4,0.4
1986/12/12,9.3,20.1,3.2
1986/12/13,11.9,20.7,4.5
1986/12/14,14.4,16.7,12.4
1986/12/15,14.0,17.8,10.5
1986/12/16,9.6,14.1,5.9
1986/12/17,8.8,14.7,4.4
1986/12/18,11.8,14.7,8.2
1986/12/19,8.8,12.1,6.0
1986/12/20,6.8,12.4,2.2
1986/12/21,7.9,14.3,1.8
1986/12/22,7.7,14.1,1.5
1986/12/23,7.8,15.0,0.7
1986/12/24,10.1,16.9,5.4
1986/12/25,9.7,16.6,4.4
1986/12/26,6.7,13.8,0.3
1986/12/27,5.5,8.3,2.8
1986/12/28,5.9,9.7,2.2
1986/12/29,4.3,12.3,-1.9
1986/12/30,7.4,15.3,0.8
1986/12/31,13.4,20.1,7.7
1987/1/1,9.2,14.1,4.8
1987/1/2,11.0,15.1,6.0
1987/1/3,14.1,20.3,5.0
1987/1/4,8.1,15.4,0.7
1987/1/5,7.2,9.6,2.8
1987/1/6,6.9,14.6,2.0
1987/1/7,6.9,14.6,0.5
1987/1/8,9.8,15.2,6.7
1987/1/9,10.2,16.3,1.2
1987/1/10,8.0,14.5,1.7
1987/1/11,3.7,11.0,-2.5
1987/1/12,5.3,13.9,1.9
1987/1/13,1.5,5.0,-0.9
1987/1/14,2.7,9.7,-2.3
1987/1/15,4.9,14.1,-2.5
1987/1/16,9.0,16.2,1.4
1987/1/17,10.3,15.8,5.2
1987/1/18,7.0,10.3,1.5
1987/1/19,5.6,9.3,1.5
1987/1/20,3.7,11.9,-3.1
1987/1/21,4.8,12.7,-1.7
1987/1/22,6.9,13.4,0.0
1987/1/23,10.5,13.1,7.9
1987/1/24,6.5,12.7,1.0
1987/1/25,3.4,7.4,0.5
1987/1/26,4.2,11.4,-2.0
1987/1/27,5.7,12.1,-0.7
1987/1/28,6.0,14.7,-0.7
1987/1/29,7.0,15.6,0.0
1987/1/30,9.1,15.5,5.2
1987/1/31,6.1,12.2,1.3
1987/2/1,3.5,10.6,-2.5
1987/2/2,4.2,11.6,0.6
1987/2/3,2.3,5.7,-0.9
1987/2/4,4.4,9.2,-1.0
1987/2/5,4.4,13.2,-4.3
1987/2/6,8.0,15.9,-0.2
1987/2/7,10.7,17.6,4.6
1987/2/8,9.3,17.9,3.9
1987/2/9,8.7,18.6,1.3
1987/2/10,10.7,19.0,2.2
1987/2/11,15.3,25.0,6.0
1987/2/12,15.6,24.0,11.0
1987/2/13,10.0,15.8,5.5
1987/2/14,11.5,19.2,4.1
1987/2/15,7.2,11.5,0.6
1987/2/16,7.5,16.6,-0.1
1987/2/17,8.9,10.4,6.9
1987/2/18,10.5,13.7,8.9
1987/2/19,7.2,9.1,6.1
1987/2/20,7.5,13.5,3.5
1987/2/21,7.2,11.0,3.2
1987/2/22,9.1,13.9,6.4
1987/2/23,8.7,17.2,3.2
1987/2/24,11.1,17.4,5.7
1987/2/25,4.2,9.0,1.4
1987/2/26,4.0,8.8,1.2
1987/2/27,3.0,7.8,-0.3
1987/2/28,3.9,10.5,-2.2
1987/3/1,4.9,9.0,1.7
1987/3/2,3.6,10.0,-1.3
1987/3/3,5.8,14.3,-1.8
1987/3/4,8.2,15.0,1.4
1987/3/5,13.8,21.1,4.4
1987/3/6,12.5,20.0,5.4
1987/3/7,8.6,12.9,3.0
1987/3/8,7.6,13.5,0.8
1987/3/9,8.0,12.0,6.2
1987/3/10,6.4,12.0,0.7
1987/3/11,9.4,16.3,4.1
1987/3/12,9.1,15.9,2.7
1987/3/13,12.3,14.9,8.9
1987/3/14,13.7,17.1,9.4
1987/3/15,10.4,15.4,3.4
1987/3/16,9.2,15.1,2.3
1987/3/17,8.8,10.7,6.7
1987/3/18,13.6,19.9,8.1
1987/3/19,12.7,19.1,8.2
1987/3/20,14.6,19.6,7.5
1987/3/21,13.4,18.7,7.5
1987/3/22,15.0,18.7,12.0
1987/3/23,15.7,16.9,14.1
1987/3/24,16.4,21.8,12.8
1987/3/25,8.8,12.9,4.3
1987/3/26,6.1,12.4,1.1
1987/3/27,6.1,11.4,0.8
1987/3/28,8.3,13.6,2.2
1987/3/29,9.2,11.6,5.9
1987/3/30,13.7,16.2,11.3
1987/3/31,11.6,15.4,4.8
