ダウンロードした時刻：2019/10/10 16:06:57

,浜田,浜田,浜田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1992/12/1,12.7,17.5,7.3
1992/12/2,10.5,14.1,7.0
1992/12/3,9.3,14.0,4.9
1992/12/4,9.7,14.0,4.1
1992/12/5,7.9,13.6,2.7
1992/12/6,12.8,18.0,5.8
1992/12/7,15.9,20.0,12.9
1992/12/8,14.1,16.3,13.0
1992/12/9,11.3,14.7,6.8
1992/12/10,12.2,15.8,7.7
1992/12/11,6.6,9.9,5.0
1992/12/12,7.4,9.1,6.3
1992/12/13,11.1,14.5,7.5
1992/12/14,5.2,7.6,4.1
1992/12/15,5.5,7.1,4.4
1992/12/16,5.8,8.1,4.4
1992/12/17,8.0,9.4,5.0
1992/12/18,7.8,10.9,4.4
1992/12/19,8.5,13.5,4.0
1992/12/20,8.8,10.6,6.7
1992/12/21,12.6,15.6,9.1
1992/12/22,9.0,11.5,4.8
1992/12/23,5.7,9.0,3.2
1992/12/24,3.7,6.3,2.3
1992/12/25,5.7,7.9,2.8
1992/12/26,8.3,12.1,2.7
1992/12/27,11.5,16.0,9.4
1992/12/28,13.9,16.2,10.5
1992/12/29,10.5,11.7,9.3
1992/12/30,9.5,10.4,8.5
1992/12/31,8.4,10.7,4.9
1993/1/1,6.7,12.6,2.2
1993/1/2,9.7,14.0,4.8
1993/1/3,11.3,13.2,9.7
1993/1/4,7.5,10.5,2.9
1993/1/5,5.4,9.5,1.8
1993/1/6,6.4,10.4,1.3
1993/1/7,9.9,13.4,7.4
1993/1/8,8.9,12.1,5.0
1993/1/9,8.7,12.1,4.6
1993/1/10,9.6,11.0,8.4
1993/1/11,10.0,11.7,6.4
1993/1/12,6.7,10.2,2.9
1993/1/13,7.7,9.7,6.5
1993/1/14,7.9,8.9,6.7
1993/1/15,10.4,12.7,7.6
1993/1/16,6.9,9.4,3.0
1993/1/17,4.8,7.6,2.5
1993/1/18,3.7,6.2,1.0
1993/1/19,3.5,5.0,2.3
1993/1/20,4.0,5.4,2.3
1993/1/21,3.3,7.5,1.8
1993/1/22,4.0,8.6,1.7
1993/1/23,5.7,11.2,0.6
1993/1/24,6.7,12.2,3.7
1993/1/25,8.0,13.0,3.5
1993/1/26,8.0,10.9,4.7
1993/1/27,4.2,8.5,-0.7
1993/1/28,1.4,3.5,-1.8
1993/1/29,4.3,6.0,2.8
1993/1/30,6.5,7.7,4.9
1993/1/31,8.6,10.3,5.9
1993/2/1,4.6,7.7,2.3
1993/2/2,3.8,6.2,0.6
1993/2/3,7.4,10.9,2.6
1993/2/4,9.2,11.2,5.7
1993/2/5,10.9,14.1,5.8
1993/2/6,17.9,21.4,13.4
1993/2/7,11.7,19.2,5.8
1993/2/8,4.1,5.9,2.1
1993/2/9,3.8,5.8,0.7
1993/2/10,5.5,8.6,2.5
1993/2/11,8.0,10.1,5.0
1993/2/12,7.8,9.3,6.3
1993/2/13,9.7,12.0,5.6
1993/2/14,6.2,11.1,0.8
1993/2/15,7.5,13.1,0.1
1993/2/16,11.5,16.3,6.2
1993/2/17,11.3,16.6,8.3
1993/2/18,8.4,12.1,4.5
1993/2/19,6.2,11.2,3.5
1993/2/20,7.3,12.6,2.6
1993/2/21,11.6,18.5,7.0
1993/2/22,9.1,11.3,4.5
1993/2/23,2.1,5.5,-0.7
1993/2/24,1.6,3.0,0.2
1993/2/25,3.4,8.0,1.2
1993/2/26,5.3,9.3,1.6
1993/2/27,7.9,10.5,4.1
1993/2/28,8.0,10.4,5.7
1993/3/1,2.6,5.9,0.0
1993/3/2,3.0,5.5,-0.3
1993/3/3,7.2,9.8,4.2
1993/3/4,7.6,12.1,3.9
1993/3/5,9.2,14.0,1.0
1993/3/6,12.6,16.8,4.9
1993/3/7,8.4,13.0,5.8
1993/3/8,5.8,6.7,2.8
1993/3/9,5.1,10.4,-0.6
1993/3/10,7.1,11.6,3.1
1993/3/11,7.0,11.4,2.7
1993/3/12,5.3,10.6,1.8
1993/3/13,5.0,10.4,0.3
1993/3/14,6.5,11.7,-0.1
1993/3/15,7.0,9.1,5.6
1993/3/16,4.8,6.9,2.7
1993/3/17,3.5,6.1,1.6
1993/3/18,3.5,6.9,1.8
1993/3/19,4.1,9.8,1.0
1993/3/20,4.4,10.1,0.3
1993/3/21,5.4,11.0,-0.2
1993/3/22,8.7,14.5,2.4
1993/3/23,10.6,14.9,4.4
1993/3/24,12.0,16.6,10.3
1993/3/25,11.1,13.8,8.8
1993/3/26,10.8,14.3,7.5
1993/3/27,10.7,15.4,5.5
1993/3/28,10.8,14.0,8.3
1993/3/29,6.0,8.5,1.8
1993/3/30,8.1,14.3,-0.3
1993/3/31,13.2,15.9,9.2
