ダウンロードした時刻：2019/10/10 15:59:31

,東京,東京,東京
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2010/12/1,13.5,17.3,9.9
2010/12/2,13.9,17.7,9.5
2010/12/3,17.0,23.7,12.3
2010/12/4,12.4,16.4,9.4
2010/12/5,11.7,16.3,7.2
2010/12/6,12.9,16.7,9.4
2010/12/7,12.2,15.9,8.4
2010/12/8,9.2,13.3,6.3
2010/12/9,9.1,13.2,5.1
2010/12/10,10.6,13.1,7.4
2010/12/11,13.1,18.4,5.8
2010/12/12,11.9,14.4,9.5
2010/12/13,8.2,10.3,7.1
2010/12/14,11.2,13.9,7.5
2010/12/15,10.6,13.9,6.6
2010/12/16,6.1,7.1,4.5
2010/12/17,7.0,10.8,3.4
2010/12/18,8.2,13.6,3.8
2010/12/19,7.4,10.2,4.7
2010/12/20,10.7,15.9,6.3
2010/12/21,9.9,12.1,7.7
2010/12/22,13.3,17.0,8.6
2010/12/23,12.1,15.0,7.8
2010/12/24,8.2,13.6,4.1
2010/12/25,5.6,9.7,2.2
2010/12/26,6.7,10.7,3.4
2010/12/27,7.2,11.3,2.5
2010/12/28,7.2,11.5,2.1
2010/12/29,8.1,12.6,5.2
2010/12/30,4.9,7.6,3.4
2010/12/31,5.8,10.5,2.5
2011/1/1,6.6,10.8,2.2
2011/1/2,7.0,11.0,4.1
2011/1/3,5.9,9.2,3.1
2011/1/4,6.3,9.8,3.3
2011/1/5,7.3,11.0,2.8
2011/1/6,6.5,10.8,3.1
2011/1/7,4.0,7.3,1.8
2011/1/8,5.9,10.0,1.0
2011/1/9,6.1,12.2,0.6
2011/1/10,3.4,6.1,1.4
2011/1/11,3.8,6.4,0.5
2011/1/12,5.1,9.5,1.9
2011/1/13,4.4,7.7,2.4
2011/1/14,3.8,7.3,0.0
2011/1/15,4.0,7.4,0.2
2011/1/16,2.2,5.9,-1.1
2011/1/17,5.0,11.0,-0.2
2011/1/18,5.5,10.6,0.1
2011/1/19,6.3,10.6,1.7
2011/1/20,5.4,10.1,2.2
2011/1/21,5.0,8.5,2.3
2011/1/22,6.0,10.4,2.6
2011/1/23,5.7,9.4,2.4
2011/1/24,5.1,8.2,2.5
2011/1/25,5.9,10.2,2.9
2011/1/26,5.3,9.7,1.4
2011/1/27,5.5,10.5,0.9
2011/1/28,3.7,8.0,0.4
2011/1/29,4.2,7.6,1.4
2011/1/30,2.9,6.1,0.6
2011/1/31,2.9,7.4,-1.0
2011/2/1,5.9,12.7,-0.8
2011/2/2,5.8,9.0,2.4
2011/2/3,7.4,11.9,2.0
2011/2/4,8.8,13.8,3.8
2011/2/5,8.1,11.4,3.8
2011/2/6,8.3,12.2,5.5
2011/2/7,8.2,13.8,4.5
2011/2/8,5.8,7.8,3.5
2011/2/9,5.0,9.1,1.2
2011/2/10,6.5,9.6,4.1
2011/2/11,2.0,5.5,0.8
2011/2/12,2.1,3.9,0.8
2011/2/13,4.7,8.7,-0.2
2011/2/14,3.3,6.6,0.3
2011/2/15,5.3,10.3,0.7
2011/2/16,6.8,12.2,1.6
2011/2/17,10.0,14.6,5.6
2011/2/18,9.1,14.5,5.3
2011/2/19,6.1,8.7,3.7
2011/2/20,7.0,9.1,5.0
2011/2/21,7.1,9.9,4.6
2011/2/22,6.5,11.2,3.1
2011/2/23,8.4,13.0,3.9
2011/2/24,11.4,14.2,8.0
2011/2/25,14.1,20.8,6.8
2011/2/26,7.2,10.8,3.8
2011/2/27,10.4,18.7,4.1
2011/2/28,4.9,9.5,2.2
2011/3/1,5.8,7.8,4.4
2011/3/2,6.8,10.3,2.6
2011/3/3,4.4,8.1,1.8
2011/3/4,4.6,8.3,1.9
2011/3/5,7.4,11.5,1.6
2011/3/6,9.3,15.0,2.9
2011/3/7,4.5,9.3,1.0
2011/3/8,6.9,10.0,2.6
2011/3/9,7.4,12.0,3.7
2011/3/10,6.2,10.0,2.7
2011/3/11,6.5,11.3,2.9
2011/3/12,8.2,12.9,2.3
2011/3/13,11.3,15.9,5.2
2011/3/14,14.1,20.2,6.7
2011/3/15,10.9,14.0,9.2
2011/3/16,7.5,13.0,3.5
2011/3/17,4.6,8.9,1.8
2011/3/18,6.1,10.1,1.2
2011/3/19,12.3,18.2,6.7
2011/3/20,13.7,17.0,9.4
2011/3/21,9.6,13.4,7.3
2011/3/22,6.9,7.6,5.7
2011/3/23,6.4,10.0,2.7
2011/3/24,5.4,8.1,2.9
2011/3/25,8.1,13.4,3.5
2011/3/26,7.4,11.6,4.3
2011/3/27,7.4,12.0,2.9
2011/3/28,8.6,12.7,4.4
2011/3/29,10.9,15.3,5.2
2011/3/30,11.6,16.5,6.7
2011/3/31,9.7,15.5,5.8
