É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2019/10/10 15:55:07

,çbï{,çbï{,çbï{
îNåéì˙,ïΩãœãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,
1980/12/1,8.5,17.6,2.2
1980/12/2,9.0,13.9,2.0
1980/12/3,12.5,19.0,7.4
1980/12/4,8.3,13.7,0.9
1980/12/5,4.0,11.3,-2.1
1980/12/6,3.9,11.6,-1.9
1980/12/7,5.4,12.7,-1.8
1980/12/8,6.7,13.2,0.8
1980/12/9,4.6,10.7,0.8
1980/12/10,4.5,13.1,-1.3
1980/12/11,3.7,11.3,-2.4
1980/12/12,4.1,10.4,-0.3
1980/12/13,3.5,6.5,-2.3
1980/12/14,1.1,7.7,-4.5
1980/12/15,3.5,8.6,-1.4
1980/12/16,0.2,6.3,-5.1
1980/12/17,1.1,9.8,-5.1
1980/12/18,1.4,8.6,-4.0
1980/12/19,3.4,10.9,-2.6
1980/12/20,2.3,8.6,-2.0
1980/12/21,0.7,7.2,-5.3
1980/12/22,0.1,7.7,-6.1
1980/12/23,0.5,3.5,-3.7
1980/12/24,3.6,6.5,0.2
1980/12/25,6.8,12.2,0.6
1980/12/26,3.9,11.0,-2.4
1980/12/27,2.1,6.4,-2.2
1980/12/28,-0.4,5.5,-4.0
1980/12/29,1.1,6.4,-4.8
1980/12/30,1.5,8.6,-5.3
1980/12/31,0.7,8.4,-5.8
1981/1/1,0.1,7.3,-6.1
1981/1/2,1.8,7.8,-2.1
1981/1/3,-0.1,6.7,-6.4
1981/1/4,2.2,8.6,-4.0
1981/1/5,-0.4,6.0,-6.5
1981/1/6,-0.2,6.1,-6.5
1981/1/7,1.7,7.3,-4.1
1981/1/8,2.4,8.5,-2.7
1981/1/9,0.8,8.8,-6.1
1981/1/10,1.3,10.1,-4.7
1981/1/11,-0.7,6.0,-5.3
1981/1/12,-1.1,6.1,-7.6
1981/1/13,-2.0,3.8,-6.5
1981/1/14,-1.2,6.2,-9.1
1981/1/15,-0.3,6.0,-7.8
1981/1/16,2.4,8.7,-2.2
1981/1/17,0.4,7.6,-5.9
1981/1/18,-1.1,5.8,-7.9
1981/1/19,1.3,10.8,-6.4
1981/1/20,2.8,8.0,-2.0
1981/1/21,1.2,7.4,-6.2
1981/1/22,1.3,6.5,-2.4
1981/1/23,-0.3,7.9,-8.0
1981/1/24,2.1,8.7,-5.6
1981/1/25,4.5,10.8,-0.1
1981/1/26,1.8,5.8,-1.7
1981/1/27,-0.5,6.7,-7.2
1981/1/28,-0.2,6.8,-7.4
1981/1/29,1.7,9.4,-5.5
1981/1/30,1.8,8.6,-5.6
1981/1/31,1.1,8.2,-4.8
1981/2/1,-0.5,2.6,-2.2
1981/2/2,4.5,9.7,-1.8
1981/2/3,2.8,9.7,-1.1
1981/2/4,2.8,6.3,-0.8
1981/2/5,0.7,8.4,-6.3
1981/2/6,1.1,9.0,-6.6
1981/2/7,2.8,9.1,-1.4
1981/2/8,2.6,11.2,-5.2
1981/2/9,3.2,11.4,-4.5
1981/2/10,3.3,11.8,-4.5
1981/2/11,1.9,7.7,-3.8
1981/2/12,2.3,11.4,-6.8
1981/2/13,5.5,11.9,-2.9
1981/2/14,8.7,13.1,5.2
1981/2/15,8.8,14.6,5.2
1981/2/16,9.7,20.0,2.0
1981/2/17,2.8,8.0,-1.6
1981/2/18,1.0,6.7,-4.5
1981/2/19,5.2,11.8,0.7
1981/2/20,2.5,5.7,-2.2
1981/2/21,3.9,10.6,-1.6
1981/2/22,3.1,7.1,-1.5
1981/2/23,1.1,3.4,-0.3
1981/2/24,2.2,4.8,1.0
1981/2/25,1.8,5.7,-2.7
1981/2/26,-3.5,-0.2,-6.3
1981/2/27,-2.6,3.2,-8.8
1981/2/28,-0.9,6.6,-8.0
1981/3/1,2.0,8.8,-2.9
1981/3/2,2.2,7.2,-1.0
1981/3/3,4.9,11.3,-0.8
1981/3/4,6.8,11.8,3.7
1981/3/5,6.9,13.7,0.4
1981/3/6,4.2,11.5,-2.2
1981/3/7,5.6,12.7,-3.4
1981/3/8,8.9,17.5,1.0
1981/3/9,5.3,9.1,0.8
1981/3/10,6.0,10.3,2.3
1981/3/11,4.3,11.2,-3.2
1981/3/12,7.0,16.0,-0.4
1981/3/13,8.9,16.4,0.8
1981/3/14,9.8,12.2,7.0
1981/3/15,10.7,20.0,5.2
1981/3/16,7.7,14.0,3.1
1981/3/17,6.5,14.5,-1.0
1981/3/18,7.6,17.8,-1.4
1981/3/19,10.9,19.9,0.8
1981/3/20,12.9,20.4,8.0
1981/3/21,9.4,11.9,7.3
1981/3/22,12.0,21.3,6.7
1981/3/23,11.3,17.5,6.2
1981/3/24,9.7,15.9,3.7
1981/3/25,11.7,15.5,8.2
1981/3/26,12.6,20.2,5.6
1981/3/27,9.0,15.2,2.9
1981/3/28,8.0,14.2,2.0
1981/3/29,11.1,17.7,6.1
1981/3/30,8.5,12.3,6.5
1981/3/31,5.3,7.3,3.8
