ダウンロードした時刻：2019/10/10 15:38:29

,酒田,酒田,酒田
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1995/12/1,3.8,7.5,2.2
1995/12/2,7.5,9.4,2.2
1995/12/3,8.3,10.8,6.2
1995/12/4,6.3,10.8,3.4
1995/12/5,3.8,6.7,1.4
1995/12/6,5.7,9.7,1.3
1995/12/7,5.4,7.9,3.4
1995/12/8,2.8,5.2,-1.0
1995/12/9,4.2,6.9,0.0
1995/12/10,7.1,9.8,3.0
1995/12/11,8.7,11.8,4.9
1995/12/12,6.1,7.7,4.7
1995/12/13,4.8,5.9,3.7
1995/12/14,5.4,8.2,3.7
1995/12/15,5.0,10.7,0.6
1995/12/16,1.9,3.3,0.2
1995/12/17,1.6,2.7,0.1
1995/12/18,3.0,4.3,0.9
1995/12/19,4.2,5.4,3.1
1995/12/20,3.2,4.8,1.5
1995/12/21,2.9,5.0,0.7
1995/12/22,4.6,7.1,2.5
1995/12/23,5.4,7.0,2.5
1995/12/24,3.7,7.0,1.0
1995/12/25,-0.3,3.5,-3.2
1995/12/26,-0.3,2.0,-3.0
1995/12/27,-0.1,2.3,-1.2
1995/12/28,0.2,3.0,-1.8
1995/12/29,2.5,6.3,-2.2
1995/12/30,3.0,4.4,0.5
1995/12/31,4.7,6.8,3.2
1996/1/1,0.2,3.4,-2.3
1996/1/2,1.0,3.8,-2.6
1996/1/3,2.1,9.6,-3.1
1996/1/4,-0.5,1.7,-2.8
1996/1/5,3.1,4.6,1.6
1996/1/6,3.0,4.2,2.1
1996/1/7,3.6,6.5,-0.7
1996/1/8,2.4,6.8,-1.4
1996/1/9,-3.2,0.0,-4.7
1996/1/10,0.3,2.2,-4.4
1996/1/11,4.0,5.8,1.3
1996/1/12,4.3,6.0,3.5
1996/1/13,3.3,6.1,-1.3
1996/1/14,2.0,8.1,-2.6
1996/1/15,7.5,11.3,2.9
1996/1/16,3.8,5.7,0.8
1996/1/17,0.6,2.7,-0.8
1996/1/18,-0.7,0.8,-3.0
1996/1/19,0.1,1.7,-1.4
1996/1/20,2.1,6.6,-1.1
1996/1/21,1.7,3.1,0.0
1996/1/22,1.9,4.5,-0.9
1996/1/23,1.4,3.4,-1.1
1996/1/24,-2.2,1.4,-3.7
1996/1/25,-0.8,1.7,-3.3
1996/1/26,-0.7,0.9,-2.7
1996/1/27,2.1,4.5,0.2
1996/1/28,2.7,4.9,0.6
1996/1/29,2.1,5.1,0.1
1996/1/30,-2.1,0.9,-4.5
1996/1/31,-3.8,-2.2,-5.4
1996/2/1,-3.0,-1.4,-4.4
1996/2/2,-4.3,-0.3,-6.6
1996/2/3,-1.6,0.7,-3.5
1996/2/4,1.0,4.3,-1.3
1996/2/5,2.2,5.9,-0.4
1996/2/6,2.4,4.4,0.3
1996/2/7,2.7,4.0,1.8
1996/2/8,2.6,5.0,0.1
1996/2/9,0.0,1.7,-1.5
1996/2/10,-1.3,0.0,-3.0
1996/2/11,2.1,6.0,-1.1
1996/2/12,8.3,10.3,4.8
1996/2/13,8.7,13.2,5.7
1996/2/14,9.2,15.1,4.7
1996/2/15,3.7,7.4,0.4
1996/2/16,-1.6,0.4,-3.4
1996/2/17,-1.2,1.5,-3.8
1996/2/18,-0.9,3.3,-3.7
1996/2/19,-1.4,0.3,-3.0
1996/2/20,-0.4,1.4,-1.8
1996/2/21,-1.2,0.2,-2.4
1996/2/22,0.2,2.2,-2.1
1996/2/23,0.9,3.6,-2.0
1996/2/24,0.7,3.9,-1.9
1996/2/25,2.6,7.0,-0.6
1996/2/26,2.7,6.9,0.1
1996/2/27,4.7,10.5,0.3
1996/2/28,4.7,7.0,1.5
1996/2/29,5.9,10.0,1.9
1996/3/1,4.5,6.5,3.1
1996/3/2,1.2,4.0,-1.2
1996/3/3,0.7,2.7,-1.8
1996/3/4,1.0,5.5,-1.1
1996/3/5,-0.4,1.9,-2.2
1996/3/6,1.7,3.7,-0.8
1996/3/7,4.5,7.1,2.7
1996/3/8,4.3,6.8,2.1
1996/3/9,3.1,7.0,1.1
1996/3/10,2.5,4.0,0.4
1996/3/11,2.7,8.8,-0.6
1996/3/12,1.3,2.3,-0.8
1996/3/13,3.7,7.8,0.6
1996/3/14,6.2,10.6,0.4
1996/3/15,6.0,10.6,3.4
1996/3/16,5.5,8.3,3.2
1996/3/17,6.8,11.1,3.3
1996/3/18,3.6,7.7,-0.1
1996/3/19,3.0,5.7,0.9
1996/3/20,3.1,6.8,-0.8
1996/3/21,6.5,14.3,-2.5
1996/3/22,7.7,9.7,3.6
1996/3/23,2.1,4.6,0.3
1996/3/24,4.1,7.2,0.7
1996/3/25,5.3,6.9,3.2
1996/3/26,6.8,9.7,3.9
1996/3/27,4.6,9.7,-1.2
1996/3/28,5.6,8.5,2.1
1996/3/29,5.3,9.9,-0.7
1996/3/30,8.3,12.7,2.5
1996/3/31,8.6,11.2,6.5
