ダウンロードした時刻：2019/10/10 15:57:51

,浜松,浜松,浜松
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1994/12/1,11.4,14.3,8.4
1994/12/2,14.5,18.9,10.8
1994/12/3,11.6,14.1,7.5
1994/12/4,8.8,12.5,6.4
1994/12/5,9.2,12.6,6.6
1994/12/6,8.8,13.1,5.3
1994/12/7,10.3,15.6,4.7
1994/12/8,11.8,17.3,8.4
1994/12/9,11.9,13.4,9.3
1994/12/10,10.8,15.1,7.8
1994/12/11,11.6,13.7,9.5
1994/12/12,12.9,17.1,9.7
1994/12/13,12.3,14.2,9.4
1994/12/14,8.0,10.4,5.5
1994/12/15,8.4,12.4,4.7
1994/12/16,4.6,7.7,2.3
1994/12/17,4.2,8.8,0.2
1994/12/18,6.2,10.8,3.2
1994/12/19,5.1,8.7,2.7
1994/12/20,4.7,8.7,1.6
1994/12/21,6.7,9.6,2.0
1994/12/22,8.0,14.6,2.6
1994/12/23,9.9,16.2,4.7
1994/12/24,10.3,16.3,2.6
1994/12/25,12.0,17.4,9.7
1994/12/26,10.3,11.7,8.8
1994/12/27,12.3,17.5,8.6
1994/12/28,10.4,14.2,6.8
1994/12/29,7.9,12.2,5.2
1994/12/30,6.5,10.6,3.4
1994/12/31,7.5,11.0,4.8
1995/1/1,5.5,9.1,2.6
1995/1/2,5.6,11.0,2.3
1995/1/3,7.2,12.2,1.7
1995/1/4,10.3,13.1,8.3
1995/1/5,7.1,10.1,3.4
1995/1/6,3.5,7.2,1.4
1995/1/7,5.8,8.7,2.7
1995/1/8,7.9,13.4,3.6
1995/1/9,9.1,14.9,2.5
1995/1/10,6.2,11.8,3.6
1995/1/11,4.7,8.0,1.9
1995/1/12,5.3,8.6,3.1
1995/1/13,4.2,8.1,1.6
1995/1/14,2.1,6.0,0.0
1995/1/15,1.9,5.6,-0.8
1995/1/16,3.4,8.1,0.3
1995/1/17,4.1,11.0,-1.6
1995/1/18,4.7,8.3,-0.1
1995/1/19,5.0,8.3,1.6
1995/1/20,5.5,11.4,0.5
1995/1/21,7.0,12.6,1.2
1995/1/22,7.6,10.7,4.3
1995/1/23,10.3,12.7,7.5
1995/1/24,7.4,10.1,4.0
1995/1/25,5.4,10.4,1.9
1995/1/26,5.0,9.2,1.6
1995/1/27,5.1,9.9,1.6
1995/1/28,4.8,9.8,0.7
1995/1/29,5.0,9.1,2.3
1995/1/30,2.2,6.1,0.1
1995/1/31,1.5,5.1,-0.9
1995/2/1,2.8,7.0,-0.4
1995/2/2,4.6,9.8,0.8
1995/2/3,5.0,10.5,1.3
1995/2/4,5.8,11.2,0.9
1995/2/5,5.5,9.7,2.8
1995/2/6,4.6,9.1,1.7
1995/2/7,4.8,9.3,0.9
1995/2/8,7.4,12.4,2.6
1995/2/9,8.2,12.3,4.8
1995/2/10,5.6,9.9,2.3
1995/2/11,5.8,11.4,1.7
1995/2/12,7.3,12.6,1.7
1995/2/13,10.3,15.2,7.2
1995/2/14,8.8,13.3,4.7
1995/2/15,7.1,12.6,1.7
1995/2/16,7.1,11.9,3.2
1995/2/17,4.6,10.5,0.6
1995/2/18,6.1,11.0,1.3
1995/2/19,7.5,12.7,3.7
1995/2/20,6.2,11.5,2.7
1995/2/21,4.5,9.4,1.1
1995/2/22,5.7,11.5,1.4
1995/2/23,6.3,12.2,1.5
1995/2/24,7.8,13.4,3.8
1995/2/25,6.1,8.9,2.8
1995/2/26,6.0,10.8,3.8
1995/2/27,7.5,13.5,3.5
1995/2/28,7.1,12.8,1.8
1995/3/1,6.9,11.8,3.1
1995/3/2,6.9,11.6,3.8
1995/3/3,7.4,13.2,2.1
1995/3/4,5.5,9.2,3.6
1995/3/5,5.9,10.6,1.9
1995/3/6,7.6,13.2,2.8
1995/3/7,8.8,15.2,2.2
1995/3/8,9.5,15.5,2.8
1995/3/9,10.8,15.4,5.4
1995/3/10,8.8,10.7,6.3
1995/3/11,8.0,11.3,5.1
1995/3/12,8.0,13.9,3.9
1995/3/13,8.8,14.3,5.0
1995/3/14,8.6,13.7,4.6
1995/3/15,10.1,15.3,4.9
1995/3/16,10.2,13.5,8.0
1995/3/17,15.1,17.7,11.2
1995/3/18,8.7,12.4,5.2
1995/3/19,7.6,12.3,3.3
1995/3/20,8.8,14.9,3.1
1995/3/21,10.5,16.2,4.2
1995/3/22,14.4,21.1,7.5
1995/3/23,13.5,17.7,9.7
1995/3/24,12.9,14.3,11.7
1995/3/25,11.6,14.9,6.3
1995/3/26,6.6,11.4,3.9
1995/3/27,8.9,15.0,1.4
1995/3/28,10.6,15.6,6.5
1995/3/29,9.1,11.4,7.8
1995/3/30,11.0,14.0,8.7
1995/3/31,14.7,19.4,10.3
