ダウンロードした時刻：2019/10/10 16:04:05

,米子,米子,米子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1981/12/1,5.6,10.7,1.0
1981/12/2,2.8,4.9,0.5
1981/12/3,3.5,9.5,0.2
1981/12/4,6.2,13.0,0.3
1981/12/5,8.9,13.7,5.3
1981/12/6,6.9,12.0,4.0
1981/12/7,5.4,7.5,3.5
1981/12/8,6.6,10.9,3.5
1981/12/9,7.0,10.8,4.3
1981/12/10,6.0,11.3,0.8
1981/12/11,7.2,13.7,-0.8
1981/12/12,8.7,13.5,4.9
1981/12/13,6.2,7.9,2.7
1981/12/14,2.6,4.9,0.7
1981/12/15,3.0,6.5,0.8
1981/12/16,2.9,6.9,0.7
1981/12/17,3.8,10.3,-0.6
1981/12/18,4.9,11.0,-1.2
1981/12/19,6.6,8.9,3.1
1981/12/20,5.7,8.1,1.1
1981/12/21,8.2,12.4,4.7
1981/12/22,10.7,15.2,8.5
1981/12/23,10.0,13.7,7.5
1981/12/24,5.3,9.1,3.5
1981/12/25,5.8,10.7,0.6
1981/12/26,10.2,15.3,4.9
1981/12/27,10.6,17.1,6.6
1981/12/28,9.2,16.8,3.9
1981/12/29,8.8,18.8,3.6
1981/12/30,6.7,8.2,5.3
1981/12/31,6.8,10.6,4.2
1982/1/1,5.0,6.2,4.2
1982/1/2,4.7,9.0,2.8
1982/1/3,5.9,11.4,0.1
1982/1/4,11.6,15.3,8.2
1982/1/5,6.6,11.9,5.2
1982/1/6,5.4,10.0,0.7
1982/1/7,2.1,4.8,-0.9
1982/1/8,4.0,8.3,-2.0
1982/1/9,7.5,10.8,5.9
1982/1/10,5.7,10.4,2.1
1982/1/11,9.5,15.7,1.4
1982/1/12,8.1,12.7,4.3
1982/1/13,2.6,4.3,0.3
1982/1/14,3.0,4.9,1.2
1982/1/15,3.0,6.2,1.7
1982/1/16,1.0,4.0,0.2
1982/1/17,0.6,3.7,-1.7
1982/1/18,1.4,4.2,-0.7
1982/1/19,-0.4,1.9,-1.6
1982/1/20,1.5,3.9,-0.5
1982/1/21,4.1,8.0,0.6
1982/1/22,5.4,10.6,1.4
1982/1/23,4.4,8.2,-0.7
1982/1/24,5.0,9.1,-1.2
1982/1/25,5.1,9.0,3.2
1982/1/26,4.5,9.3,0.9
1982/1/27,3.2,7.0,0.2
1982/1/28,-0.2,2.6,-2.7
1982/1/29,-1.3,0.3,-3.8
1982/1/30,0.1,3.0,-1.6
1982/1/31,2.1,5.8,-1.1
1982/2/1,1.4,2.5,0.3
1982/2/2,1.1,4.1,-0.8
1982/2/3,3.3,7.2,0.0
1982/2/4,2.5,4.2,1.5
1982/2/5,2.6,4.2,1.0
1982/2/6,2.4,5.1,-0.6
1982/2/7,0.6,3.0,-0.9
1982/2/8,1.3,3.3,-0.9
1982/2/9,3.1,6.5,0.0
1982/2/10,3.2,6.6,0.4
1982/2/11,4.1,9.6,-0.9
1982/2/12,5.1,9.5,0.1
1982/2/13,3.7,8.9,0.9
1982/2/14,2.5,5.1,0.9
1982/2/15,3.2,8.6,-0.4
1982/2/16,4.7,11.3,-0.3
1982/2/17,4.0,9.9,-0.2
1982/2/18,5.2,11.9,-0.8
1982/2/19,9.8,13.2,3.3
1982/2/20,9.4,11.1,7.9
1982/2/21,7.2,8.4,3.8
1982/2/22,7.0,11.4,2.7
1982/2/23,6.5,10.6,3.1
1982/2/24,5.1,6.2,3.7
1982/2/25,4.4,7.9,2.3
1982/2/26,2.5,7.6,-1.6
1982/2/27,5.5,12.2,-1.4
1982/2/28,6.9,13.0,1.4
1982/3/1,5.2,6.4,4.2
1982/3/2,4.0,7.3,1.6
1982/3/3,4.5,9.0,-1.9
1982/3/4,9.7,14.2,2.0
1982/3/5,9.7,13.0,7.1
1982/3/6,6.4,9.7,3.6
1982/3/7,1.9,5.4,0.3
1982/3/8,3.3,9.0,-0.8
1982/3/9,5.4,11.6,0.1
1982/3/10,8.4,16.6,0.5
1982/3/11,9.9,17.6,4.2
1982/3/12,9.1,15.0,3.8
1982/3/13,8.5,13.0,4.2
1982/3/14,8.9,13.1,1.3
1982/3/15,14.1,20.2,10.6
1982/3/16,11.8,18.3,6.1
1982/3/17,8.3,11.1,7.0
1982/3/18,7.8,11.1,2.6
1982/3/19,7.4,11.7,1.1
1982/3/20,10.1,12.5,7.3
1982/3/21,10.2,14.6,5.3
1982/3/22,10.7,19.8,3.3
1982/3/23,13.1,21.0,5.5
1982/3/24,6.5,10.4,4.0
1982/3/25,4.0,7.3,1.5
1982/3/26,3.6,8.5,-1.0
1982/3/27,4.9,10.2,-1.6
1982/3/28,5.4,10.9,-1.1
1982/3/29,7.1,14.3,-1.6
1982/3/30,16.2,23.8,3.8
1982/3/31,10.2,16.5,5.8
