ダウンロードした時刻：2017/07/24 15:43:10

,米子,米子,米子
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
2000/1/1,7.3,9.3,2.8
2000/1/2,7.7,13.7,0.5
2000/1/3,8.9,12.0,2.4
2000/1/4,5.4,11.5,1.2
2000/1/5,8.0,13.0,0.0
2000/1/6,14.4,19.0,10.1
2000/1/7,6.0,11.3,2.9
2000/1/8,5.0,6.7,2.6
2000/1/9,7.5,10.8,4.8
2000/1/10,8.0,11.1,5.6
2000/1/11,6.9,7.9,6.2
2000/1/12,6.9,8.9,4.6
2000/1/13,9.0,11.8,6.1
2000/1/14,6.9,9.8,3.0
2000/1/15,5.3,9.9,1.7
2000/1/16,4.4,7.3,0.4
2000/1/17,6.5,10.9,2.8
2000/1/18,5.3,8.3,0.7
2000/1/19,3.2,5.9,0.0
2000/1/20,-0.5,1.8,-2.2
2000/1/21,1.0,3.0,-0.9
2000/1/22,1.8,4.9,-0.5
2000/1/23,4.1,6.2,2.1
2000/1/24,4.9,7.8,3.0
2000/1/25,2.3,4.9,0.4
2000/1/26,0.8,2.9,-0.3
2000/1/27,0.1,2.4,-1.4
2000/1/28,1.3,6.1,-1.6
2000/1/29,2.4,8.9,-4.1
2000/1/30,5.3,8.1,2.9
2000/1/31,2.3,4.2,0.8
2000/2/1,2.8,6.3,0.5
2000/2/2,4.2,8.4,0.7
2000/2/3,4.0,8.4,-0.4
2000/2/4,4.3,7.9,2.0
2000/2/5,4.5,8.9,-0.3
2000/2/6,6.8,8.6,4.9
2000/2/7,6.4,7.5,4.9
2000/2/8,1.1,5.8,-2.0
2000/2/9,1.5,4.9,-0.2
2000/2/10,3.7,9.0,-0.1
2000/2/11,6.9,11.0,2.0
2000/2/12,7.3,13.3,3.3
2000/2/13,5.4,11.0,1.5
2000/2/14,7.1,14.2,3.0
2000/2/15,1.3,6.7,-0.9
2000/2/16,-0.5,1.6,-2.5
2000/2/17,0.7,4.5,-2.4
2000/2/18,1.9,6.4,-1.6
2000/2/19,3.6,6.6,0.6
2000/2/20,3.9,7.0,1.6
2000/2/21,2.0,4.2,0.6
2000/2/22,2.1,4.4,0.6
2000/2/23,4.2,9.3,-0.9
2000/2/24,3.1,5.9,0.2
2000/2/25,1.8,4.6,-0.3
2000/2/26,1.9,4.4,-0.7
2000/2/27,3.0,7.4,-0.5
2000/2/28,4.0,8.6,-0.1
2000/2/29,1.9,7.1,-2.6
2000/3/1,4.2,10.6,-1.0
2000/3/2,7.0,14.1,1.1
2000/3/3,8.6,15.8,-0.8
2000/3/4,10.6,12.8,8.0
2000/3/5,8.2,12.6,4.2
2000/3/6,7.4,14.8,1.2
2000/3/7,7.2,10.2,2.7
2000/3/8,4.0,6.8,1.6
2000/3/9,3.8,7.2,0.6
2000/3/10,4.4,9.0,0.9
2000/3/11,5.7,10.5,2.0
2000/3/12,7.7,13.0,4.2
2000/3/13,6.4,11.2,1.6
2000/3/14,6.5,13.3,0.1
2000/3/15,7.7,12.9,0.3
2000/3/16,8.5,11.3,6.6
2000/3/17,7.1,10.4,2.3
2000/3/18,9.6,17.9,0.1
2000/3/19,10.2,12.5,7.6
2000/3/20,6.6,9.8,0.9
2000/3/21,6.4,11.3,0.1
2000/3/22,7.4,10.0,1.5
2000/3/23,7.7,14.7,-0.3
2000/3/24,9.2,11.5,5.6
2000/3/25,6.7,10.2,3.1
2000/3/26,8.0,12.7,3.0
2000/3/27,12.1,19.9,2.2
2000/3/28,12.7,16.2,9.2
2000/3/29,8.7,9.8,7.2
2000/3/30,9.7,14.4,6.0
2000/3/31,11.3,16.7,4.9
2000/4/1,9.7,16.3,3.7
2000/4/2,9.2,15.0,1.8
2000/4/3,11.2,15.7,6.4
2000/4/4,11.7,18.6,3.7
2000/4/5,12.1,16.5,8.2
2000/4/6,9.1,13.5,4.5
2000/4/7,13.9,21.0,4.2
2000/4/8,10.9,14.6,4.8
2000/4/9,12.6,20.4,2.5
2000/4/10,15.1,18.8,9.5
2000/4/11,11.5,15.8,7.8
2000/4/12,14.4,19.7,10.0
2000/4/13,15.1,20.2,7.7
2000/4/14,16.1,20.3,12.3
2000/4/15,10.7,12.5,8.4
2000/4/16,9.8,14.0,5.1
2000/4/17,12.5,19.0,4.6
2000/4/18,15.9,22.0,8.6
2000/4/19,15.3,19.6,12.1
2000/4/20,13.3,15.0,10.1
2000/4/21,13.9,20.3,9.4
2000/4/22,16.6,21.5,10.3
2000/4/23,14.8,19.4,9.8
2000/4/24,13.6,18.3,9.2
2000/4/25,15.1,22.4,8.3
2000/4/26,15.3,19.2,12.4
2000/4/27,12.0,14.9,9.7
2000/4/28,11.0,14.2,7.4
2000/4/29,13.1,20.8,5.2
2000/4/30,14.1,18.4,9.9
2000/5/1,15.8,20.4,11.6
