ダウンロードした時刻：2017/07/24 15:39:47

,高山,高山,高山
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1985/1/1,-2.0,3.0,-5.3
1985/1/2,-2.6,2.3,-5.4
1985/1/3,-2.4,0.4,-5.3
1985/1/4,-2.7,1.3,-6.4
1985/1/5,-4.2,-1.1,-6.1
1985/1/6,-4.3,-0.6,-7.1
1985/1/7,-4.8,0.1,-9.5
1985/1/8,-3.8,2.2,-7.5
1985/1/9,-3.9,4.6,-9.2
1985/1/10,-0.2,5.7,-4.7
1985/1/11,-0.3,3.4,-3.0
1985/1/12,-0.6,5.1,-6.0
1985/1/13,-2.7,2.0,-4.5
1985/1/14,-5.6,-3.3,-7.5
1985/1/15,-5.6,-1.1,-11.6
1985/1/16,-2.4,1.6,-4.6
1985/1/17,-6.3,-2.3,-12.9
1985/1/18,-8.1,-0.4,-14.5
1985/1/19,-5.2,4.0,-15.3
1985/1/20,0.8,3.6,-2.4
1985/1/21,-3.2,-0.2,-8.1
1985/1/22,-4.2,-0.6,-10.0
1985/1/23,-1.9,2.9,-6.8
1985/1/24,-4.3,0.4,-8.2
1985/1/25,-5.5,-1.2,-10.4
1985/1/26,-5.0,0.0,-9.8
1985/1/27,-4.1,3.3,-12.5
1985/1/28,-0.7,3.0,-3.7
1985/1/29,-4.1,-1.2,-6.6
1985/1/30,-7.0,-4.9,-9.0
1985/1/31,-5.6,-0.2,-13.6
1985/2/1,0.0,1.7,-3.4
1985/2/2,-0.4,3.6,-5.0
1985/2/3,-1.7,2.6,-7.9
1985/2/4,0.4,5.1,-2.0
1985/2/5,-0.3,1.1,-2.6
1985/2/6,2.0,5.0,0.3
1985/2/7,1.9,7.9,-0.8
1985/2/8,3.1,9.3,-1.0
1985/2/9,3.8,7.4,1.5
1985/2/10,3.3,8.1,-1.0
1985/2/11,-1.5,1.9,-4.5
1985/2/12,-1.0,4.2,-5.9
1985/2/13,0.2,4.1,-2.2
1985/2/14,-4.4,-1.8,-6.7
1985/2/15,-2.5,1.8,-6.1
1985/2/16,-2.2,2.3,-5.9
1985/2/17,-0.1,3.1,-3.4
1985/2/18,1.5,6.4,-2.9
1985/2/19,1.1,2.6,0.3
1985/2/20,1.7,4.6,-0.1
1985/2/21,-0.9,3.3,-6.1
1985/2/22,-3.9,-0.8,-5.9
1985/2/23,-2.7,1.8,-6.1
1985/2/24,-4.2,-1.4,-6.8
1985/2/25,-3.7,2.6,-10.8
1985/2/26,-1.8,4.4,-7.8
1985/2/27,-0.9,4.0,-6.3
1985/2/28,1.1,3.0,-1.0
1985/3/1,3.8,9.7,0.5
1985/3/2,2.4,4.4,0.8
1985/3/3,1.2,5.0,-1.9
1985/3/4,0.7,8.7,-4.6
1985/3/5,2.0,7.7,-2.6
1985/3/6,1.8,7.0,-1.8
1985/3/7,3.4,9.1,-1.8
1985/3/8,4.5,8.6,-0.9
1985/3/9,3.5,5.9,0.7
1985/3/10,1.4,5.1,-0.9
1985/3/11,0.2,1.9,-1.4
1985/3/12,1.1,5.0,-2.6
1985/3/13,0.7,5.5,-3.5
1985/3/14,1.0,3.6,-1.1
1985/3/15,1.0,4.4,-1.4
1985/3/16,4.3,13.1,-3.7
1985/3/17,4.4,5.7,3.0
1985/3/18,6.3,13.3,3.1
1985/3/19,2.9,5.5,1.1
1985/3/20,5.0,11.5,1.0
1985/3/21,3.9,7.0,1.7
1985/3/22,3.6,9.7,-0.4
1985/3/23,4.4,13.7,-0.3
1985/3/24,4.9,14.4,-3.0
1985/3/25,8.6,14.6,3.0
1985/3/26,8.3,14.2,2.6
1985/3/27,6.1,9.9,2.2
1985/3/28,7.3,15.5,2.8
1985/3/29,7.0,15.6,2.2
1985/3/30,3.0,8.0,-1.2
1985/3/31,0.9,6.0,-3.5
1985/4/1,1.9,8.1,-2.8
1985/4/2,5.5,14.0,-5.1
1985/4/3,10.3,16.9,4.1
1985/4/4,9.8,12.4,7.7
1985/4/5,8.2,13.9,3.5
1985/4/6,7.9,16.8,-0.9
1985/4/7,9.4,12.3,6.6
1985/4/8,11.5,19.7,6.0
1985/4/9,11.8,24.0,4.0
1985/4/10,13.7,25.5,1.9
1985/4/11,11.4,18.5,8.4
1985/4/12,9.8,11.8,8.1
1985/4/13,11.2,14.8,9.1
1985/4/14,14.0,19.0,9.4
1985/4/15,9.8,13.6,8.4
1985/4/16,9.0,16.1,2.5
1985/4/17,8.8,18.1,0.9
1985/4/18,7.3,14.5,2.1
1985/4/19,9.9,18.0,-0.7
1985/4/20,10.6,16.5,3.7
1985/4/21,11.0,24.1,1.2
1985/4/22,13.0,23.1,3.0
1985/4/23,15.7,23.3,10.8
1985/4/24,9.1,15.0,3.6
1985/4/25,12.3,24.8,1.5
1985/4/26,14.3,21.5,5.7
1985/4/27,10.9,17.7,4.5
1985/4/28,8.9,19.3,0.7
1985/4/29,11.0,21.7,1.1
1985/4/30,14.5,26.2,3.1
1985/5/1,15.7,26.9,6.0
