ダウンロードした時刻：2019/10/10 16:06:22

,舞鶴,舞鶴,舞鶴
年月日,平均気温(℃),最高気温(℃),最低気温(℃)
,,,
1996/12/1,3.0,6.9,-0.4
1996/12/2,2.9,7.4,0.7
1996/12/3,4.6,10.6,1.6
1996/12/4,5.6,11.6,-0.1
1996/12/5,13.1,16.1,6.8
1996/12/6,3.3,8.3,-0.8
1996/12/7,2.8,9.3,-1.4
1996/12/8,3.3,8.6,0.2
1996/12/9,6.4,11.4,2.2
1996/12/10,6.6,8.5,3.1
1996/12/11,7.6,12.6,4.6
1996/12/12,7.0,11.9,2.8
1996/12/13,7.9,12.8,3.8
1996/12/14,7.1,13.2,2.4
1996/12/15,7.3,13.0,2.6
1996/12/16,6.8,15.5,0.6
1996/12/17,11.6,12.7,8.2
1996/12/18,8.2,12.3,4.5
1996/12/19,4.3,7.3,0.4
1996/12/20,2.8,5.7,0.2
1996/12/21,4.5,11.1,0.0
1996/12/22,6.8,13.2,-0.3
1996/12/23,3.8,6.8,1.8
1996/12/24,4.1,11.1,0.0
1996/12/25,7.2,12.9,2.3
1996/12/26,7.2,9.3,5.1
1996/12/27,5.5,10.8,2.2
1996/12/28,5.6,8.9,2.0
1996/12/29,4.2,10.3,-0.8
1996/12/30,6.0,14.4,1.2
1996/12/31,7.6,14.7,3.5
1997/1/1,11.2,17.6,3.1
1997/1/2,6.6,12.7,3.5
1997/1/3,3.6,6.0,1.5
1997/1/4,3.1,7.4,0.8
1997/1/5,2.3,3.9,1.1
1997/1/6,4.3,9.2,1.2
1997/1/7,2.3,5.9,0.4
1997/1/8,2.7,6.6,0.4
1997/1/9,3.2,6.2,0.9
1997/1/10,3.1,7.5,0.2
1997/1/11,4.0,6.9,1.9
1997/1/12,3.2,7.0,0.4
1997/1/13,3.4,9.0,0.1
1997/1/14,4.9,11.2,-0.7
1997/1/15,4.0,7.0,1.0
1997/1/16,3.3,9.2,-1.3
1997/1/17,5.1,11.6,0.5
1997/1/18,5.5,9.2,2.4
1997/1/19,4.0,7.5,1.6
1997/1/20,4.5,12.1,-0.1
1997/1/21,1.5,8.6,-4.5
1997/1/22,-0.3,2.7,-4.8
1997/1/23,1.8,5.0,0.1
1997/1/24,2.9,4.3,1.7
1997/1/25,1.8,4.3,0.4
1997/1/26,2.3,4.6,0.6
1997/1/27,3.9,11.0,0.0
1997/1/28,3.5,9.3,-1.3
1997/1/29,2.6,6.5,-0.5
1997/1/30,0.6,2.8,-0.7
1997/1/31,1.6,4.2,-0.2
1997/2/1,1.1,4.2,-0.1
1997/2/2,1.7,4.4,-0.2
1997/2/3,2.5,6.0,0.7
1997/2/4,2.2,3.8,0.3
1997/2/5,3.1,7.5,0.3
1997/2/6,2.8,7.5,-1.0
1997/2/7,4.1,6.6,0.5
1997/2/8,3.0,9.3,-1.6
1997/2/9,4.0,11.5,-1.6
1997/2/10,4.7,11.8,-0.6
1997/2/11,3.0,7.3,0.5
1997/2/12,1.7,4.7,0.3
1997/2/13,1.5,5.8,-0.7
1997/2/14,2.1,8.9,-1.4
1997/2/15,4.4,11.5,-1.4
1997/2/16,5.6,10.9,3.0
1997/2/17,3.3,4.9,1.8
1997/2/18,1.7,5.9,0.0
1997/2/19,1.1,4.3,-1.2
1997/2/20,3.9,10.3,-1.1
1997/2/21,1.6,5.9,-1.5
1997/2/22,0.4,2.8,-2.4
1997/2/23,2.6,7.6,-1.3
1997/2/24,3.3,12.5,-2.6
1997/2/25,5.7,11.0,-0.8
1997/2/26,8.7,11.0,7.1
1997/2/27,6.2,9.8,0.4
1997/2/28,10.5,19.7,-0.4
1997/3/1,9.2,15.5,5.2
1997/3/2,5.8,11.6,-0.8
1997/3/3,5.0,7.5,1.7
1997/3/4,5.2,12.6,-0.6
1997/3/5,6.9,15.0,-0.5
1997/3/6,11.4,19.4,1.5
1997/3/7,13.1,20.6,6.9
1997/3/8,7.4,13.3,2.4
1997/3/9,5.0,9.7,1.3
1997/3/10,6.4,13.4,-1.0
1997/3/11,9.2,12.3,5.9
1997/3/12,6.4,10.4,2.4
1997/3/13,9.0,16.5,0.7
1997/3/14,12.7,17.5,9.9
1997/3/15,9.1,10.2,7.2
1997/3/16,7.9,9.9,6.5
1997/3/17,7.1,9.4,5.0
1997/3/18,6.0,11.9,0.5
1997/3/19,6.6,9.9,1.4
1997/3/20,7.7,10.4,2.7
1997/3/21,7.8,14.7,0.2
1997/3/22,9.0,11.0,6.5
1997/3/23,7.0,13.2,2.4
1997/3/24,3.9,7.2,-0.8
1997/3/25,6.8,17.1,-2.0
1997/3/26,9.6,16.5,2.4
1997/3/27,8.8,12.6,3.9
1997/3/28,10.3,19.2,2.3
1997/3/29,12.8,14.7,9.7
1997/3/30,8.2,13.1,1.9
1997/3/31,6.0,11.6,0.2
